comunidad_autonoma,provincia,anio,poblacion,edad_media,pct_menor_18,pct_65_mas,tamano_medio_hogar,pct_hogares_unipersonales,pct_poblacion_espanola
Castilla - La Mancha,Albacete,2015,390.627,42.0,17.9,18.6,2.6,27.7,93.9
Castilla - La Mancha,Albacete,2016,388.322,42.3,17.7,18.7,2.6,28.2,94.1
Castilla - La Mancha,Albacete,2017,387.139,42.6,17.7,19.0,2.6,28.3,93.9
Castilla - La Mancha,Albacete,2018,385.271,42.9,17.4,19.2,2.6,28.8,93.7
Castilla - La Mancha,Albacete,2019,384.847,43.2,17.2,19.4,2.5,29.0,93.2
Castilla - La Mancha,Albacete,2020,383.541,43.4,17.0,19.4,2.5,29.4,93.1
Castilla - La Mancha,Albacete,2021,382.761,43.6,16.8,19.7,2.5,29.8,92.9
Castilla - La Mancha,Albacete,2022,384.466,43.9,16.6,19.9,2.5,30.1,92.4
Castilla - La Mancha,Albacete,2023,385.575,44.1,16.4,20.4,2.5,30.5,91.8
Comunitat Valenciana,Alicante/Alacant,2015,,42.1,17.9,18.8,2.5,28.7,81.3
Comunitat Valenciana,Alicante/Alacant,2016,,42.3,18.0,19.0,2.5,28.7,82.2
Comunitat Valenciana,Alicante/Alacant,2017,,42.5,18.0,19.3,2.5,28.7,81.7
Comunitat Valenciana,Alicante/Alacant,2018,,42.8,17.7,19.5,2.5,28.9,80.9
Comunitat Valenciana,Alicante/Alacant,2019,,43.0,17.6,19.6,2.5,28.9,80.1
Comunitat Valenciana,Alicante/Alacant,2020,,43.3,17.4,19.9,2.5,29.2,80.2
Comunitat Valenciana,Alicante/Alacant,2021,,43.6,17.1,20.3,2.5,29.6,79.6
Comunitat Valenciana,Alicante/Alacant,2022,,43.7,17.0,20.5,2.5,29.5,77.9
Comunitat Valenciana,Alicante/Alacant,2023,,43.8,16.9,20.6,2.5,29.5,76.9
Andalucía,Almería,2015,699.417,38.9,20.2,14.0,2.7,28.0,80.4
Andalucía,Almería,2016,701.01,39.1,20.3,14.3,2.7,28.1,80.5
Andalucía,Almería,2017,704.093,39.3,20.3,14.5,2.7,28.1,80.3
Andalucía,Almería,2018,703.384,39.7,20.1,14.8,2.7,28.3,79.7
Andalucía,Almería,2019,713.44,39.9,19.9,15.0,2.7,28.2,78.8
Andalucía,Almería,2020,719.554,40.2,19.8,15.3,2.6,28.3,78.6
Andalucía,Almería,2021,727.74,40.4,19.7,15.5,2.6,28.6,78.1
Andalucía,Almería,2022,741.568,40.5,19.6,15.7,2.6,28.8,78.2
Andalucía,Almería,2023,748.573,40.8,19.4,16.1,2.6,28.9,78.0
País Vasco,Araba/Álava,2015,322.033,43.0,17.5,19.5,2.4,30.6,92.1
País Vasco,Araba/Álava,2016,323.815,43.2,17.7,19.8,2.4,30.8,91.8
País Vasco,Araba/Álava,2017,326.127,43.4,17.8,20.2,2.4,30.9,91.4
País Vasco,Araba/Álava,2018,327.92,43.6,17.7,20.4,2.4,31.0,90.9
País Vasco,Araba/Álava,2019,330.065,43.8,17.6,20.7,2.4,31.1,90.3
País Vasco,Araba/Álava,2020,330.646,44.1,17.4,21.1,2.4,31.3,90.3
País Vasco,Araba/Álava,2021,330.117,44.4,17.2,21.5,2.4,31.9,90.1
País Vasco,Araba/Álava,2022,332.282,44.6,17.0,21.8,2.4,32.1,89.8
País Vasco,Araba/Álava,2023,334.363,44.8,16.8,22.2,2.4,32.4,89.3
"Asturias, Principado de",Asturias,2015,,46.9,13.1,24.3,2.3,31.3,96.1
"Asturias, Principado de",Asturias,2016,,47.2,13.2,24.7,2.3,31.7,96.2
"Asturias, Principado de",Asturias,2017,,47.5,13.2,25.1,2.3,32.1,96.1
"Asturias, Principado de",Asturias,2018,,47.7,13.2,25.5,2.3,32.6,95.9
"Asturias, Principado de",Asturias,2019,,48.0,13.1,26.0,2.3,32.7,95.6
"Asturias, Principado de",Asturias,2020,,48.3,13.0,26.4,2.3,33.1,95.5
"Asturias, Principado de",Asturias,2021,996.757,48.6,12.8,27.0,2.2,33.7,95.5
"Asturias, Principado de",Asturias,2022,998.499,48.7,12.8,27.4,2.2,34.0,94.8
"Asturias, Principado de",Asturias,2023,,48.9,12.6,27.8,2.2,34.4,94.1
Extremadura,Badajoz,2015,682.115,41.9,17.8,18.5,2.6,26.8,97.1
Extremadura,Badajoz,2016,677.825,42.2,17.7,18.8,2.5,27.1,97.2
Extremadura,Badajoz,2017,674.788,42.5,17.6,19.0,2.5,27.2,97.2
Extremadura,Badajoz,2018,670.715,42.8,17.5,19.3,2.5,27.7,97.1
Extremadura,Badajoz,2019,669.125,43.1,17.3,19.5,2.5,28.0,96.9
Extremadura,Badajoz,2020,667.879,43.4,17.1,19.7,2.5,28.3,96.8
Extremadura,Badajoz,2021,664.288,43.7,16.8,20.0,2.5,28.8,96.8
Extremadura,Badajoz,2022,662.828,44.0,16.6,20.4,2.4,29.3,96.5
Extremadura,Badajoz,2023,662.774,44.3,16.4,20.9,2.4,29.9,96.2
"Balears, Illes","Balears, Illes",2015,,40.3,18.3,15.1,2.7,27.5,82.9
"Balears, Illes","Balears, Illes",2016,,40.4,18.4,15.3,2.7,27.4,83.3
"Balears, Illes","Balears, Illes",2017,,40.5,18.4,15.4,2.7,27.3,82.9
"Balears, Illes","Balears, Illes",2018,,40.7,18.1,15.5,2.7,27.3,82.2
"Balears, Illes","Balears, Illes",2019,,40.9,17.8,15.7,2.7,27.2,81.2
"Balears, Illes","Balears, Illes",2020,,41.2,17.6,16.0,2.7,27.3,81.2
"Balears, Illes","Balears, Illes",2021,,41.5,17.5,16.3,2.7,27.7,81.1
"Balears, Illes","Balears, Illes",2022,,41.8,17.1,16.5,2.7,27.5,79.9
"Balears, Illes","Balears, Illes",2023,,42.0,16.7,16.7,2.7,27.5,79.3
Cataluña,Barcelona,2015,,41.8,18.4,18.3,2.6,25.5,87.6
