codigo_ccaa,comunidad_autonoma,codigo_provincia,provincia,sexo,anio,poblacion
08,Castilla - La Mancha,02,Albacete,Hombres,2021,193487
08,Castilla - La Mancha,02,Albacete,Mujeres,2021,193239
08,Castilla - La Mancha,02,Albacete,Total,2021,386726
08,Castilla - La Mancha,02,Albacete,Hombres,2022,193236
08,Castilla - La Mancha,02,Albacete,Mujeres,2022,192731
08,Castilla - La Mancha,02,Albacete,Total,2022,385967
08,Castilla - La Mancha,02,Albacete,Hombres,2023,194012
08,Castilla - La Mancha,02,Albacete,Mujeres,2023,193517
08,Castilla - La Mancha,02,Albacete,Total,2023,387529
08,Castilla - La Mancha,02,Albacete,Hombres,2024,194761
08,Castilla - La Mancha,02,Albacete,Mujeres,2024,194309
08,Castilla - La Mancha,02,Albacete,Total,2024,389070
08,Castilla - La Mancha,02,Albacete,Hombres,2025,196118
08,Castilla - La Mancha,02,Albacete,Mujeres,2025,194633
08,Castilla - La Mancha,02,Albacete,Total,2025,390751
10,Comunitat Valenciana,03,Alicante/Alacant,Hombres,2021,935234
10,Comunitat Valenciana,03,Alicante/Alacant,Mujeres,2021,951802
10,Comunitat Valenciana,03,Alicante/Alacant,Total,2021,1887036
10,Comunitat Valenciana,03,Alicante/Alacant,Hombres,2022,945114
10,Comunitat Valenciana,03,Alicante/Alacant,Mujeres,2022,962380
10,Comunitat Valenciana,03,Alicante/Alacant,Total,2022,1907494
10,Comunitat Valenciana,03,Alicante/Alacant,Hombres,2023,966477
10,Comunitat Valenciana,03,Alicante/Alacant,Mujeres,2023,988791
10,Comunitat Valenciana,03,Alicante/Alacant,Total,2023,1955268
10,Comunitat Valenciana,03,Alicante/Alacant,Hombres,2024,984792
10,Comunitat Valenciana,03,Alicante/Alacant,Mujeres,2024,1008497
10,Comunitat Valenciana,03,Alicante/Alacant,Total,2024,1993289
10,Comunitat Valenciana,03,Alicante/Alacant,Hombres,2025,1005674
10,Comunitat Valenciana,03,Alicante/Alacant,Mujeres,2025,1027892
10,Comunitat Valenciana,03,Alicante/Alacant,Total,2025,2033566
01,Andalucía,04,Almería,Hombres,2021,372823
01,Andalucía,04,Almería,Mujeres,2021,357607
01,Andalucía,04,Almería,Total,2021,730430
01,Andalucía,04,Almería,Hombres,2022,378325
01,Andalucía,04,Almería,Mujeres,2022,361216
01,Andalucía,04,Almería,Total,2022,739541
01,Andalucía,04,Almería,Hombres,2023,385696
01,Andalucía,04,Almería,Mujeres,2023,367668
01,Andalucía,04,Almería,Total,2023,753364
01,Andalucía,04,Almería,Hombres,2024,389103
01,Andalucía,04,Almería,Mujeres,2024,371861
01,Andalucía,04,Almería,Total,2024,760964
