anio,alias,variable,frecuencia,unidad,descripcion,valor,observaciones_disponibles,observaciones_esperadas,cobertura_pct
2015,SI_1_1.46,confianza_construccion_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Construcción. Indicador de confianza. Datos CVEC,-26.633333333333336,12,12,100.0
2015,SI_1_1.2,confianza_consumidor_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Consumidores. Índice de confianza,15.533333333333333,12,12,100.0
2015,SI_1_1.40,confianza_industria_manufacturera_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Industria manufacturera. Indicador de confianza. Datos CVEC,-0.5916666666666666,12,12,100.0
2015,SI_1_1.84,ipc_general_variacion_interanual_pct,MENSUAL,Porcentaje,Estadísticas Generales. IPC. Índice general. Total Nacional. Tasa de variación interanual,-0.5,12,12,100.0
2015,SI_1_1.33,pib_indice_volumen_base_2020,TRIMESTRAL,Base 2020 = 100,Estadísticas Generales. CNTR. Base 2020. Producto interior bruto. Economía en su conjunto. Índices de volumen encadenados. Datos CVEC,101.5625,4,4,100.0
2015,SI_1_1.37,produccion_industrial_indice_base_2021,MENSUAL,Base 2021 = 100,Estadísticas Generales. IPI. Base 2021. Índice,97.06583333333333,12,12,100.0
2015,SI_1_1.67,tasa_paro_nacional_pct,TRIMESTRAL,Porcentaje,Estadísticas Generales. EPA. Base 2021. Total Nacional. Tasa de paro de la población. Ambos sexos. 16 y más años,22.0575,4,4,100.0
2015,SI_1_1.44,vab_construccion_indice_volumen_base_2020,TRIMESTRAL,Base 2020 = 100,Estadísticas Generales. CNTR. Base 2020. Valor añadido bruto. Economía en su conjunto. Construcción. Índices de volumen encadenados. Datos CVEC,103.2025,4,4,100.0
2016,SI_1_1.46,confianza_construccion_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Construcción. Indicador de confianza. Datos CVEC,-39.13333333333333,12,12,100.0
2016,SI_1_1.2,confianza_consumidor_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Consumidores. Índice de confianza,11.7425,12,12,100.0
2016,SI_1_1.40,confianza_industria_manufacturera_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Industria manufacturera. Indicador de confianza. Datos CVEC,-2.1083333333333334,12,12,100.0
2016,SI_1_1.84,ipc_general_variacion_interanual_pct,MENSUAL,Porcentaje,Estadísticas Generales. IPC. Índice general. Total Nacional. Tasa de variación interanual,-0.19166666666666668,12,12,100.0
2016,SI_1_1.33,pib_indice_volumen_base_2020,TRIMESTRAL,Base 2020 = 100,Estadísticas Generales. CNTR. Base 2020. Producto interior bruto. Economía en su conjunto. Índices de volumen encadenados. Datos CVEC,104.52250000000001,4,4,100.0
2016,SI_1_1.37,produccion_industrial_indice_base_2021,MENSUAL,Base 2021 = 100,Estadísticas Generales. IPI. Base 2021. Índice,98.58833333333332,12,12,100.0
2016,SI_1_1.67,tasa_paro_nacional_pct,TRIMESTRAL,Porcentaje,Estadísticas Generales. EPA. Base 2021. Total Nacional. Tasa de paro de la población. Ambos sexos. 16 y más años,19.634999999999998,4,4,100.0
2016,SI_1_1.44,vab_construccion_indice_volumen_base_2020,TRIMESTRAL,Base 2020 = 100,Estadísticas Generales. CNTR. Base 2020. Valor añadido bruto. Economía en su conjunto. Construcción. Índices de volumen encadenados. Datos CVEC,106.8475,4,4,100.0
2017,SI_1_1.46,confianza_construccion_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Construcción. Indicador de confianza. Datos CVEC,-25.099999999999998,12,12,100.0
2017,SI_1_1.2,confianza_consumidor_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Consumidores. Índice de confianza,14.342500000000001,12,12,100.0
2017,SI_1_1.40,confianza_industria_manufacturera_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Industria manufacturera. Indicador de confianza. Datos CVEC,1.375,12,12,100.0
2017,SI_1_1.84,ipc_general_variacion_interanual_pct,MENSUAL,Porcentaje,Estadísticas Generales. IPC. Índice general. Total Nacional. Tasa de variación interanual,1.9666666666666668,12,12,100.0
2017,SI_1_1.33,pib_indice_volumen_base_2020,TRIMESTRAL,Base 2020 = 100,Estadísticas Generales. CNTR. Base 2020. Producto interior bruto. Economía en su conjunto. Índices de volumen encadenados. Datos CVEC,107.5475,4,4,100.0
2017,SI_1_1.37,produccion_industrial_indice_base_2021,MENSUAL,Base 2021 = 100,Estadísticas Generales. IPI. Base 2021. Índice,101.40083333333332,12,12,100.0
2017,SI_1_1.67,tasa_paro_nacional_pct,TRIMESTRAL,Porcentaje,Estadísticas Generales. EPA. Base 2021. Total Nacional. Tasa de paro de la población. Ambos sexos. 16 y más años,17.225,4,4,100.0
2017,SI_1_1.44,vab_construccion_indice_volumen_base_2020,TRIMESTRAL,Base 2020 = 100,Estadísticas Generales. CNTR. Base 2020. Valor añadido bruto. Economía en su conjunto. Construcción. Índices de volumen encadenados. Datos CVEC,108.6925,4,4,100.0
2018,SI_1_1.46,confianza_construccion_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Construcción. Indicador de confianza. Datos CVEC,-5.949999999999999,12,12,100.0
2018,SI_1_1.2,confianza_consumidor_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Consumidores. Índice de confianza,11.44,12,12,100.0
2018,SI_1_1.40,confianza_industria_manufacturera_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Industria manufacturera. Indicador de confianza. Datos CVEC,-0.43333333333333335,12,12,100.0
2018,SI_1_1.84,ipc_general_variacion_interanual_pct,MENSUAL,Porcentaje,Estadísticas Generales. IPC. Índice general. Total Nacional. Tasa de variación interanual,1.6916666666666667,12,12,100.0
2018,SI_1_1.33,pib_indice_volumen_base_2020,TRIMESTRAL,Base 2020 = 100,Estadísticas Generales. CNTR. Base 2020. Producto interior bruto. Economía en su conjunto. Índices de volumen encadenados. Datos CVEC,110.1225,4,4,100.0
2018,SI_1_1.37,produccion_industrial_indice_base_2021,MENSUAL,Base 2021 = 100,Estadísticas Generales. IPI. Base 2021. Índice,102.15833333333335,12,12,100.0
2018,SI_1_1.67,tasa_paro_nacional_pct,TRIMESTRAL,Porcentaje,Estadísticas Generales. EPA. Base 2021. Total Nacional. Tasa de paro de la población. Ambos sexos. 16 y más años,15.254999999999999,4,4,100.0
2018,SI_1_1.44,vab_construccion_indice_volumen_base_2020,TRIMESTRAL,Base 2020 = 100,Estadísticas Generales. CNTR. Base 2020. Valor añadido bruto. Economía en su conjunto. Construcción. Índices de volumen encadenados. Datos CVEC,112.0025,4,4,100.0
2019,SI_1_1.46,confianza_construccion_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Construcción. Indicador de confianza. Datos CVEC,-7.691666666666666,12,12,100.0
2019,SI_1_1.2,confianza_consumidor_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Consumidores. Índice de confianza,6.376666666666666,12,12,100.0
2019,SI_1_1.40,confianza_industria_manufacturera_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Industria manufacturera. Indicador de confianza. Datos CVEC,-3.625,12,12,100.0
2019,SI_1_1.84,ipc_general_variacion_interanual_pct,MENSUAL,Porcentaje,Estadísticas Generales. IPC. Índice general. Total Nacional. Tasa de variación interanual,0.6916666666666668,12,12,100.0
2019,SI_1_1.33,pib_indice_volumen_base_2020,TRIMESTRAL,Base 2020 = 100,Estadísticas Generales. CNTR. Base 2020. Producto interior bruto. Economía en su conjunto. Índices de volumen encadenados. Datos CVEC,112.2825,4,4,100.0
2019,SI_1_1.37,produccion_industrial_indice_base_2021,MENSUAL,Base 2021 = 100,Estadísticas Generales. IPI. Base 2021. Índice,102.83583333333333,12,12,100.0
2019,SI_1_1.67,tasa_paro_nacional_pct,TRIMESTRAL,Porcentaje,Estadísticas Generales. EPA. Base 2021. Total Nacional. Tasa de paro de la población. Ambos sexos. 16 y más años,14.105,4,4,100.0
2019,SI_1_1.44,vab_construccion_indice_volumen_base_2020,TRIMESTRAL,Base 2020 = 100,Estadísticas Generales. CNTR. Base 2020. Valor añadido bruto. Economía en su conjunto. Construcción. Índices de volumen encadenados. Datos CVEC,117.2425,4,4,100.0
2020,SI_1_1.46,confianza_construccion_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Construcción. Indicador de confianza. Datos CVEC,-17.433333333333334,12,12,100.0
2020,SI_1_1.2,confianza_consumidor_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Consumidores. Índice de confianza,-12.395000000000001,12,12,100.0
2020,SI_1_1.40,confianza_industria_manufacturera_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Industria manufacturera. Indicador de confianza. Datos CVEC,-13.575000000000001,12,12,100.0
2020,SI_1_1.84,ipc_general_variacion_interanual_pct,MENSUAL,Porcentaje,Estadísticas Generales. IPC. Índice general. Total Nacional. Tasa de variación interanual,-0.30833333333333335,12,12,100.0
2020,SI_1_1.33,pib_indice_volumen_base_2020,TRIMESTRAL,Base 2020 = 100,Estadísticas Generales. CNTR. Base 2020. Producto interior bruto. Economía en su conjunto. Índices de volumen encadenados. Datos CVEC,99.9975,4,4,100.0
2020,SI_1_1.37,produccion_industrial_indice_base_2021,MENSUAL,Base 2021 = 100,Estadísticas Generales. IPI. Base 2021. Índice,93.41000000000001,12,12,100.0
2020,SI_1_1.67,tasa_paro_nacional_pct,TRIMESTRAL,Porcentaje,Estadísticas Generales. EPA. Base 2021. Total Nacional. Tasa de paro de la población. Ambos sexos. 16 y más años,15.532499999999999,4,4,100.0
2020,SI_1_1.44,vab_construccion_indice_volumen_base_2020,TRIMESTRAL,Base 2020 = 100,Estadísticas Generales. CNTR. Base 2020. Valor añadido bruto. Economía en su conjunto. Construcción. Índices de volumen encadenados. Datos CVEC,100.0,4,4,100.0
2021,SI_1_1.46,confianza_construccion_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Construcción. Indicador de confianza. Datos CVEC,-1.8916666666666666,12,12,100.0
2021,SI_1_1.2,confianza_consumidor_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Consumidores. Índice de confianza,4.314166666666666,12,12,100.0
2021,SI_1_1.40,confianza_industria_manufacturera_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Industria manufacturera. Indicador de confianza. Datos CVEC,0.6,12,12,100.0
2021,SI_1_1.84,ipc_general_variacion_interanual_pct,MENSUAL,Porcentaje,Estadísticas Generales. IPC. Índice general. Total Nacional. Tasa de variación interanual,3.0833333333333335,12,12,100.0
2021,SI_1_1.33,pib_indice_volumen_base_2020,TRIMESTRAL,Base 2020 = 100,Estadísticas Generales. CNTR. Base 2020. Producto interior bruto. Economía en su conjunto. Índices de volumen encadenados. Datos CVEC,106.6825,4,4,100.0
2021,SI_1_1.37,produccion_industrial_indice_base_2021,MENSUAL,Base 2021 = 100,Estadísticas Generales. IPI. Base 2021. Índice,100.00083333333333,12,12,100.0
2021,SI_1_1.67,tasa_paro_nacional_pct,TRIMESTRAL,Porcentaje,Estadísticas Generales. EPA. Base 2021. Total Nacional. Tasa de paro de la población. Ambos sexos. 16 y más años,14.92,4,4,100.0
2021,SI_1_1.44,vab_construccion_indice_volumen_base_2020,TRIMESTRAL,Base 2020 = 100,Estadísticas Generales. CNTR. Base 2020. Valor añadido bruto. Economía en su conjunto. Construcción. Índices de volumen encadenados. Datos CVEC,98.97749999999999,4,4,100.0
