provincia,anio,renta_bruta_media_por_hogar_eur,renta_bruta_media_por_persona_eur,renta_media_por_unidad_consumo_eur,renta_mediana_por_unidad_consumo_eur,renta_neta_media_por_hogar_eur,renta_neta_media_por_persona_eur
Albacete,2015,27962,10616,13842,11550,24100,9150
Albacete,2016,28893,11012,14270,12250,24785,9446
Albacete,2017,29955,11511,14862,12950,25627,9847
Albacete,2018,31289,12121,15578,13650,26719,10351
Albacete,2019,32889,12807,16369,14350,27995,10901
Albacete,2020,33270,13059,16616,14350,28288,11104
Albacete,2021,34891,13804,17432,15050,29451,11652
Albacete,2022,36724,14620,18341,15750,30908,12305
Albacete,2023,38954,15603,19289,17150,32600,13058
Alicante/Alacant,2015,26370,10174,13217,11550,22536,8695
Alicante/Alacant,2016,27197,10348,13506,11550,23165,8814
Alicante/Alacant,2017,28397,10968,14172,12250,24112,9313
Alicante/Alacant,2018,29710,11496,14835,12950,25161,9736
Alicante/Alacant,2019,31051,12019,15491,13650,26293,10177
Alicante/Alacant,2020,30983,12070,15545,13650,26274,10236
Alicante/Alacant,2021,32573,12813,16321,14350,27380,10770
Alicante/Alacant,2022,34746,13649,17303,15050,28965,11378
Alicante/Alacant,2023,37794,14770,18211,15750,31507,12313
Almería,2015,25538,9304,12323,10150,22039,8029
Almería,2016,26286,9518,12637,10850,22666,8207
Almería,2017,27283,9992,13184,11550,23399,8569
Almería,2018,28805,10573,13926,12250,24714,9072
Almería,2019,30072,11043,14480,12250,25698,9436
Almería,2020,30726,11354,14850,12950,26276,9709
Almería,2021,31958,11877,15412,13650,27184,10103
Almería,2022,33611,12532,16171,13650,28442,10605
Almería,2023,36672,13683,17369,15050,30936,11543
Araba/Álava,2015,,,,,,
Araba/Álava,2016,,,,,,
Araba/Álava,2017,,,,,,
Araba/Álava,2018,,,,,,
Araba/Álava,2019,,,,,,
Araba/Álava,2020,42474,17945,21618,19950,35412,14962
Araba/Álava,2021,43981,18700,22423,20650,36546,15539
Araba/Álava,2022,46375,19714,23611,21350,38586,16403
Araba/Álava,2023,50270,21356,25589,23450,41914,17806
Asturias,2015,33165,14172,17409,15750,27986,11959
Asturias,2016,33567,14406,17666,15750,28303,12147
Asturias,2017,34338,14857,18137,16450,28866,12489
Asturias,2018,35298,15391,18722,17150,29637,12923
Asturias,2019,36726,16057,19464,17850,30798,13465
Asturias,2020,36583,16115,19475,17850,30658,13505
Asturias,2021,37978,16882,20202,18550,31623,14057
Asturias,2022,40199,17948,21303,19250,33242,14842
Asturias,2023,42776,19146,22436,20650,35265,15784
Badajoz,2015,25056,9699,12725,10850,21824,8448
Badajoz,2016,25560,9942,13001,10850,22222,8643
Badajoz,2017,26345,10333,13471,11550,22872,8971
Badajoz,2018,27417,10857,14104,12250,23780,9417
Badajoz,2019,28670,11430,14781,12950,24819,9895
Badajoz,2020,28819,11573,14905,12950,24905,10001
Badajoz,2021,30326,12280,15689,13650,26050,10549
Badajoz,2022,31945,13084,16529,14350,27243,11158
Badajoz,2023,34256,14142,17700,15750,29231,12068
"Balears, Illes",2015,37416,13568,17391,15050,30921,11213
