provincia,anio,renta_bruta_media_por_hogar_eur,renta_bruta_media_por_persona_eur,renta_media_por_unidad_consumo_eur,renta_mediana_por_unidad_consumo_eur,renta_neta_media_por_hogar_eur,renta_neta_media_por_persona_eur
Albacete,2023,38954,15603,19289,17150,32600,13058
Alicante/Alacant,2023,37794,14770,18211,15750,31507,12313
Almería,2023,36672,13683,17369,15050,30936,11543
Araba/Álava,2023,50270,21356,25589,23450,41914,17806
Asturias,2023,42776,19146,22436,20650,35265,15784
Badajoz,2023,34256,14142,17700,15750,29231,12068
"Balears, Illes",2023,56349,20267,24556,21350,44812,16118
Barcelona,2023,56212,21677,25418,22050,44243,17062
Bizkaia,2023,53492,22562,27145,24150,44425,18738
Burgos,2023,44572,19467,22910,20650,36605,15988
Cantabria,2023,44330,18314,21915,19950,36412,15043
Castellón/Castelló,2023,41858,17022,20572,18550,34497,14029
Ceuta,2023,50185,16344,22419,17150,44907,14625
Ciudad Real,2023,36909,14872,18468,16450,31095,12529
"Coruña, A",2023,45187,18720,22422,19950,36978,15319
Cuenca,2023,35929,14921,18512,16450,30641,12725
Cáceres,2023,33494,14949,18255,16450,28614,12771
Cádiz,2023,38309,14619,18414,15750,32323,12335
Córdoba,2023,36646,14682,18384,15750,30917,12386
Gipuzkoa,2023,55995,23614,28434,26250,46514,19616
Girona,2023,49742,18765,22590,19950,40105,15130
Granada,2023,37261,15122,18642,15750,31314,12709
Guadalajara,2023,45961,17859,21795,19950,37803,14689
Huelva,2023,36602,14148,17893,15750,31066,12008
Huesca,2023,45024,18419,22156,19950,37009,15140
Jaén,2023,33920,13800,17412,15050,29119,11847
León,2023,39999,18108,21417,19250,33378,15110
Lleida,2023,46318,18016,21822,19250,37826,14713
Lugo,2023,38985,16997,20578,18550,32837,14316
Madrid,2023,62303,23159,27444,22050,48806,18142
Melilla,2023,51216,15585,22055,17150,45989,13995
Murcia,2023,41763,14872,18972,16450,34951,12446
Málaga,2023,40805,15602,19335,16450,33868,12950
Navarra,2023,53547,20588,24406,22387,42714,16423
Ourense,2023,36744,16562,19984,17850,31170,14049
Palencia,2023,40797,18156,21553,19250,34037,15147
"Palmas, Las",2023,44535,16603,20758,17850,37032,13806
Pontevedra,2023,42569,16949,20909,18550,35506,14137
"Rioja, La",2023,43448,18119,21551,19250,35555,14827
Salamanca,2023,38869,17488,20687,17850,32411,14583
Santa Cruz de Tenerife,2023,42381,15888,20068,17150,35654,13366
Segovia,2023,43063,18039,21624,19250,35688,14949
Sevilla,2023,41113,15553,19507,16450,34269,12964
Soria,2023,43463,18916,22367,19950,35904,15626
Tarragona,2023,45349,17831,21537,19250,37029,14559
Teruel,2023,41921,17593,21163,19250,34725,14573
Toledo,2023,38997,14810,18627,16450,32711,12422
Valencia/València,2023,44714,17668,21363,18550,36532,14435
Valladolid,2023,44890,19025,22612,19950,36785,15590
Zamora,2023,35207,16369,19504,17150,29891,13897
Zaragoza,2023,47179,19313,22913,20650,38230,15650
Ávila,2023,35556,16036,19267,17150,30159,13602
