codigo_provincia,provincia,anio,trimestre,periodo,tasa_actividad_pct_hombres,tasa_empleo_pct_hombres,tasa_paro_pct_hombres,tasa_actividad_pct_mujeres,tasa_empleo_pct_mujeres,tasa_paro_pct_mujeres,tasa_actividad_pct_total,tasa_empleo_pct_total,tasa_paro_pct_total
01,Araba/Álava,2025,4,2025T4,64.08,59.82,6.65,51.72,47.22,8.69,57.78,53.4,7.58
02,Albacete,2025,4,2025T4,67.48,61.43,8.97,55.08,48.62,11.71,61.31,55.06,10.19
03,Alicante/Alacant,2025,4,2025T4,64.18,58.97,8.11,51.91,45.21,12.9,57.95,51.98,10.29
04,Almería,2025,4,2025T4,66.29,56.84,14.25,52.8,44.66,15.41,59.68,50.87,14.76
05,Ávila,2025,4,2025T4,57.19,52.06,8.97,44.67,41.45,7.21,50.98,46.79,8.2
06,Badajoz,2025,4,2025T4,61.71,55.31,10.37,51.31,42.62,16.95,56.4,48.82,13.43
07,"Balears, Illes",2025,4,2025T4,67.25,61.86,8.01,57.53,53.18,7.55,62.33,57.47,7.8
08,Barcelona,2025,4,2025T4,66.16,60.79,8.11,57.63,53.19,7.72,61.78,56.89,7.92
09,Burgos,2025,4,2025T4,59.82,57.7,3.55,50.85,45.47,10.58,55.33,51.58,6.78
10,Cáceres,2025,4,2025T4,57.5,51.5,10.43,48.96,40.71,16.85,53.19,46.05,13.41
11,Cádiz,2025,4,2025T4,58.62,50.04,14.64,47.99,37.97,20.88,53.19,43.87,17.52
12,Castellón/Castelló,2025,4,2025T4,64.38,59.94,6.9,53.49,46.53,13.02,58.88,53.17,9.71
13,Ciudad Real,2025,4,2025T4,59.15,53.28,9.92,51.85,44.32,14.54,55.48,48.77,12.09
14,Córdoba,2025,4,2025T4,64.3,55.75,13.3,53.06,41.73,21.36,58.55,48.57,17.04
15,"Coruña, A",2025,4,2025T4,57.97,54.19,6.52,51.44,47.04,8.56,54.53,50.43,7.53
16,Cuenca,2025,4,2025T4,66.7,59.15,11.31,48.78,40.11,17.77,57.84,49.74,14.0
17,Girona,2025,4,2025T4,65.69,58.37,11.15,55.3,50.37,8.91,60.48,54.35,10.13
18,Granada,2025,4,2025T4,61.36,51.75,15.67,49.81,40.23,19.22,55.47,45.88,17.3
19,Guadalajara,2025,4,2025T4,67.84,62.6,7.73,58.1,49.88,14.13,63.06,56.36,10.62
20,Gipuzkoa,2025,4,2025T4,55.51,53.59,3.45,52.43,47.53,9.34,53.93,50.48,6.39
21,Huelva,2025,4,2025T4,61.81,51.57,16.56,53.72,45.93,14.5,57.76,48.75,15.6
22,Huesca,2025,4,2025T4,63.99,62.36,2.55,55.3,51.28,7.26,59.72,56.92,4.69
23,Jaén,2025,4,2025T4,60.32,54.21,10.14,46.91,36.98,21.16,53.51,45.46,15.04
24,León,2025,4,2025T4,55.56,50.83,8.52,47.46,42.46,10.53,51.37,46.5,9.48
25,Lleida,2025,4,2025T4,65.72,62.5,4.9,57.2,53.36,6.73,61.55,58.02,5.73
26,"Rioja, La",2025,4,2025T4,63.41,58.79,7.28,56.5,51.54,8.77,59.88,55.1,8.0
27,Lugo,2025,4,2025T4,54.88,51.28,6.56,51.09,47.03,7.94,52.93,49.09,7.25
28,Madrid,2025,4,2025T4,67.46,62.85,6.84,58.88,54.61,7.25,62.95,58.52,7.04
29,Málaga,2025,4,2025T4,65.22,59.35,9.01,55.38,47.25,14.68,60.13,53.09,11.71
30,Murcia,2025,4,2025T4,67.19,60.79,9.53,53.4,46.48,12.97,60.28,53.61,11.06
31,Navarra,2025,4,2025T4,64.1,59.83,6.66,55.33,49.95,9.71,59.65,54.82,8.1
32,Ourense,2025,4,2025T4,49.61,46.5,6.26,45.85,41.36,9.78,47.65,43.82,8.03
33,Asturias,2025,4,2025T4,56.43,52.71,6.58,48.92,43.87,10.32,52.47,48.06,8.42
34,Palencia,2025,4,2025T4,57.23,54.02,5.6,50.74,45.5,10.33,53.97,49.74,7.83
35,"Palmas, Las",2025,4,2025T4,65.1,57.57,11.57,58.11,49.37,15.05,61.57,53.43,13.23
36,Pontevedra,2025,4,2025T4,58.75,52.44,10.74,53.75,49.3,8.28,56.14,50.8,9.51
37,Salamanca,2025,4,2025T4,59.78,55.35,7.41,48.52,44.26,8.8,53.95,49.6,8.06
38,Santa Cruz de Tenerife,2025,4,2025T4,63.43,56.66,10.68,54.75,47.43,13.36,58.96,51.91,11.96
39,Cantabria,2025,4,2025T4,59.6,55.83,6.33,50.71,47.04,7.25,54.99,51.26,6.77
40,Segovia,2025,4,2025T4,61.29,56.69,7.5,53.26,49.84,6.43,57.29,53.27,7.0
41,Sevilla,2025,4,2025T4,64.4,57.69,10.42,53.31,44.6,16.34,58.67,50.92,13.2
42,Soria,2025,4,2025T4,63.61,57.11,10.22,51.2,48.04,6.17,57.51,52.65,8.45
43,Tarragona,2025,4,2025T4,66.76,61.61,7.72,51.58,44.89,12.97,59.18,53.26,10.0
44,Teruel,2025,4,2025T4,60.37,56.9,5.75,52.52,47.58,9.39,56.53,52.35,7.4
45,Toledo,2025,4,2025T4,69.08,62.46,9.58,50.79,41.74,17.81,59.9,52.07,13.08
46,Valencia/València,2025,4,2025T4,63.97,57.94,9.42,54.61,48.09,11.94,59.15,52.86,10.62
47,Valladolid,2025,4,2025T4,64.54,60.7,5.95,51.34,45.33,11.71,57.73,52.77,8.59
48,Bizkaia,2025,4,2025T4,61.28,56.47,7.85,53.62,49.12,8.39,57.3,52.65,8.11
49,Zamora,2025,4,2025T4,54.87,49.12,10.48,46.94,41.65,11.25,50.85,45.34,10.84
50,Zaragoza,2025,4,2025T4,62.01,57.98,6.49,53.68,47.97,10.65,57.77,52.89,8.46
51,Ceuta,2025,4,2025T4,71.09,59.28,16.61,57.73,40.79,29.35,64.53,50.2,22.21
52,Melilla,2025,4,2025T4,60.45,49.22,18.57,46.19,33.12,28.29,53.0,40.81,23.0
