codigo_provincia,provincia,anio,trimestre,periodo,tasa_actividad_pct_hombres,tasa_empleo_pct_hombres,tasa_paro_pct_hombres,tasa_actividad_pct_mujeres,tasa_empleo_pct_mujeres,tasa_paro_pct_mujeres,tasa_actividad_pct_total,tasa_empleo_pct_total,tasa_paro_pct_total
01,Araba/Álava,2015,1,2015T1,65.06,52.76,18.9,57.57,46.6,19.06,61.22,49.61,18.97
01,Araba/Álava,2015,2,2015T2,64.08,54.18,15.45,55.77,47.04,15.65,59.83,50.53,15.54
01,Araba/Álava,2015,3,2015T3,63.39,55.19,12.93,52.59,45.34,13.79,57.86,50.14,13.33
01,Araba/Álava,2015,4,2015T4,64.43,57.71,10.43,54.86,47.08,14.18,59.52,52.25,12.21
01,Araba/Álava,2016,1,2016T1,62.64,55.8,10.92,55.29,49.49,10.49,58.86,52.56,10.71
01,Araba/Álava,2016,2,2016T2,62.3,54.57,12.4,53.67,46.21,13.89,57.86,50.27,13.11
01,Araba/Álava,2016,3,2016T3,63.15,55.87,11.53,53.45,46.58,12.86,58.16,51.09,12.16
01,Araba/Álava,2016,4,2016T4,63.18,56.4,10.73,54.76,47.46,13.32,58.85,51.8,11.97
01,Araba/Álava,2017,1,2017T1,61.62,55.25,10.34,52.34,45.06,13.9,56.85,50.01,12.03
01,Araba/Álava,2017,2,2017T2,60.26,54.11,10.21,54.13,45.45,16.03,57.11,49.65,13.05
01,Araba/Álava,2017,3,2017T3,62.1,56.87,8.43,51.63,44.5,13.81,56.71,50.5,10.95
01,Araba/Álava,2017,4,2017T4,63.56,58.52,7.94,52.66,47.24,10.29,57.96,52.72,9.04
01,Araba/Álava,2018,1,2018T1,63.04,57.83,8.27,52.39,45.52,13.12,57.56,51.49,10.54
01,Araba/Álava,2018,2,2018T2,62.77,56.85,9.44,52.92,46.71,11.74,57.7,51.63,10.53
01,Araba/Álava,2018,3,2018T3,64.27,59.38,7.61,51.63,47.28,8.44,57.77,53.15,7.99
01,Araba/Álava,2018,4,2018T4,64.16,59.72,6.92,52.43,48.27,7.93,58.13,53.83,7.39
01,Araba/Álava,2019,1,2019T1,63.21,59.06,6.56,55.78,50.99,8.59,59.38,54.91,7.54
01,Araba/Álava,2019,2,2019T2,61.81,56.64,8.38,55.08,50.85,7.68,58.35,53.66,8.04
01,Araba/Álava,2019,3,2019T3,61.21,55.48,9.36,53.46,47.5,11.16,57.22,51.37,10.23
01,Araba/Álava,2019,4,2019T4,60.41,56.63,6.26,52.62,48.17,8.45,56.4,52.28,7.31
01,Araba/Álava,2020,1,2020T1,60.01,56.34,6.12,50.75,48.21,5.01,55.24,52.15,5.59
01,Araba/Álava,2020,2,2020T2,57.85,54.27,6.19,50.5,45.67,9.56,54.06,49.84,7.81
01,Araba/Álava,2020,3,2020T3,59.02,55.33,6.25,50.89,45.8,10.0,54.83,50.42,8.04
01,Araba/Álava,2020,4,2020T4,58.96,53.79,8.76,51.49,45.66,11.32,55.11,49.6,9.99
01,Araba/Álava,2021,1,2021T1,61.09,53.49,12.44,51.7,44.91,13.14,56.3,49.12,12.76
01,Araba/Álava,2021,2,2021T2,60.0,52.23,12.96,50.94,46.55,8.62,55.37,49.32,10.92
01,Araba/Álava,2021,3,2021T3,62.71,54.79,12.62,54.4,47.89,11.96,58.45,51.26,12.3
01,Araba/Álava,2021,4,2021T4,63.29,56.65,10.5,54.73,50.15,8.37,58.91,53.32,9.48
01,Araba/Álava,2022,1,2022T1,60.08,53.21,11.43,52.84,48.15,8.88,56.38,50.63,10.21
01,Araba/Álava,2022,2,2022T2,61.07,55.99,8.31,52.89,46.99,11.16,56.88,51.39,9.67
01,Araba/Álava,2022,3,2022T3,64.07,57.44,10.34,52.29,48.39,7.46,58.02,52.79,9.01
01,Araba/Álava,2022,4,2022T4,64.26,58.95,8.27,53.16,49.22,7.41,58.57,53.96,7.87
01,Araba/Álava,2023,1,2023T1,64.41,60.89,5.46,53.12,48.84,8.05,58.6,54.7,6.67
01,Araba/Álava,2023,2,2023T2,66.01,61.71,6.52,50.8,46.74,8.0,58.18,54.0,7.18
01,Araba/Álava,2023,3,2023T3,66.45,60.87,8.39,49.67,44.02,11.37,57.86,52.25,9.7
01,Araba/Álava,2023,4,2023T4,65.61,61.86,5.72,47.74,45.51,4.65,56.43,53.47,5.26
01,Araba/Álava,2024,1,2024T1,65.75,59.45,9.59,48.99,45.18,7.79,57.13,52.1,8.8
01,Araba/Álava,2024,2,2024T2,64.12,58.14,9.34,50.15,46.65,6.99,56.96,52.25,8.28
01,Araba/Álava,2024,3,2024T3,65.51,57.91,11.59,47.41,44.33,6.49,56.28,50.99,9.4
01,Araba/Álava,2024,4,2024T4,63.48,59.71,5.94,48.91,43.97,10.1,56.04,51.68,7.79
01,Araba/Álava,2025,1,2025T1,60.82,57.1,6.12,51.54,47.87,7.12,56.09,52.4,6.59
01,Araba/Álava,2025,2,2025T2,62.36,57.39,7.98,49.64,46.88,5.56,55.87,52.02,6.88
01,Araba/Álava,2025,3,2025T3,63.6,58.45,8.1,50.72,47.02,7.31,57.03,52.61,7.74
01,Araba/Álava,2025,4,2025T4,64.08,59.82,6.65,51.72,47.22,8.69,57.78,53.4,7.58
02,Albacete,2015,1,2015T1,64.15,47.24,26.36,50.34,34.27,31.93,57.21,40.72,28.82
02,Albacete,2015,2,2015T2,63.97,50.55,20.98,52.48,37.21,29.11,58.19,43.84,24.66
02,Albacete,2015,3,2015T3,63.97,50.42,21.18,51.54,38.21,25.85,57.72,44.28,23.28
02,Albacete,2015,4,2015T4,63.17,51.49,18.5,53.03,39.22,26.05,58.07,45.32,21.97
02,Albacete,2016,1,2016T1,59.89,46.74,21.96,52.55,37.98,27.72,56.19,42.33,24.67
02,Albacete,2016,2,2016T2,61.55,48.21,21.66,52.19,37.94,27.3,56.84,43.05,24.27
02,Albacete,2016,3,2016T3,58.06,45.44,21.73,50.26,37.91,24.58,54.14,41.65,23.06
02,Albacete,2016,4,2016T4,60.83,48.52,20.24,51.25,37.47,26.9,56.01,42.96,23.31
02,Albacete,2017,1,2017T1,62.24,50.3,19.19,52.66,36.51,30.66,57.42,43.36,24.48
02,Albacete,2017,2,2017T2,65.87,51.19,22.29,51.83,36.74,29.12,58.81,43.92,25.32
02,Albacete,2017,3,2017T3,64.22,53.35,16.92,51.83,38.58,25.58,57.98,45.92,20.81
02,Albacete,2017,4,2017T4,65.61,52.46,20.04,53.89,40.75,24.38,59.72,46.57,22.01
02,Albacete,2018,1,2018T1,65.57,53.65,18.17,52.45,36.31,30.79,58.97,44.92,23.82
02,Albacete,2018,2,2018T2,67.41,56.23,16.59,53.48,39.72,25.73,60.4,47.92,20.66
02,Albacete,2018,3,2018T3,68.53,57.58,15.98,50.42,41.32,18.05,59.41,49.39,16.86
02,Albacete,2018,4,2018T4,67.4,57.9,14.09,50.96,39.67,22.16,59.13,48.73,17.59
02,Albacete,2019,1,2019T1,65.92,56.53,14.24,48.95,37.86,22.66,57.38,47.13,17.85
02,Albacete,2019,2,2019T2,65.66,56.75,13.57,46.36,35.48,23.47,55.95,46.05,17.7
02,Albacete,2019,3,2019T3,63.04,55.9,11.33,49.14,37.82,23.05,56.05,46.8,16.5
02,Albacete,2019,4,2019T4,61.03,52.81,13.48,50.12,39.81,20.56,55.54,46.27,16.69
02,Albacete,2020,1,2020T1,62.81,51.67,17.74,50.43,38.13,24.4,56.58,44.85,20.72
02,Albacete,2020,2,2020T2,59.98,51.8,13.63,47.22,36.76,22.15,53.56,44.23,17.41
02,Albacete,2020,3,2020T3,62.4,53.84,13.72,50.61,39.45,22.06,56.47,46.61,17.48
02,Albacete,2020,4,2020T4,63.95,56.65,11.41,53.91,40.69,24.53,58.9,48.63,17.44
02,Albacete,2021,1,2021T1,62.54,53.05,15.18,52.7,39.28,25.47,57.58,46.1,19.93
02,Albacete,2021,2,2021T2,63.64,56.81,10.73,51.55,41.71,19.08,57.55,49.21,14.49
02,Albacete,2021,3,2021T3,65.19,57.18,12.3,51.81,41.51,19.88,58.48,49.31,15.67
02,Albacete,2021,4,2021T4,63.1,57.0,9.66,46.16,39.13,15.21,54.6,48.04,12.02
02,Albacete,2022,1,2022T1,65.9,57.39,12.91,49.2,38.6,21.54,57.5,47.94,16.62
02,Albacete,2022,2,2022T2,65.86,58.44,11.27,49.17,42.04,14.49,57.48,50.21,12.65
02,Albacete,2022,3,2022T3,64.61,59.73,7.56,49.38,41.73,15.49,56.97,50.69,11.01
02,Albacete,2022,4,2022T4,67.5,60.78,9.96,49.52,43.24,12.67,58.46,51.96,11.11
02,Albacete,2023,1,2023T1,66.62,59.04,11.38,51.45,42.66,17.1,58.98,50.78,13.89
02,Albacete,2023,2,2023T2,67.78,60.57,10.64,51.01,43.1,15.5,59.38,51.81,12.74
02,Albacete,2023,3,2023T3,66.31,60.98,8.04,50.29,45.01,10.5,58.24,52.93,9.11
02,Albacete,2023,4,2023T4,63.37,57.31,9.57,51.54,43.73,15.16,57.42,50.47,12.09
02,Albacete,2024,1,2024T1,61.2,55.17,9.86,50.42,41.72,17.26,55.77,48.39,13.23
02,Albacete,2024,2,2024T2,61.82,55.96,9.47,51.01,44.76,12.26,56.4,50.34,10.74
02,Albacete,2024,3,2024T3,63.69,59.53,6.54,51.01,43.8,14.14,57.35,51.66,9.92
02,Albacete,2024,4,2024T4,62.49,57.03,8.73,51.02,43.57,14.6,56.74,50.29,11.37
02,Albacete,2025,1,2025T1,63.56,57.83,9.02,52.47,44.07,16.0,58.01,50.95,12.18
02,Albacete,2025,2,2025T2,66.57,60.46,9.18,55.75,47.26,15.24,61.17,53.86,11.94
02,Albacete,2025,3,2025T3,65.95,60.53,8.22,51.35,43.93,14.46,58.67,52.25,10.94
02,Albacete,2025,4,2025T4,67.48,61.43,8.97,55.08,48.62,11.71,61.31,55.06,10.19
03,Alicante/Alacant,2015,1,2015T1,63.86,46.77,26.76,51.44,38.07,26.0,57.58,42.37,26.42
03,Alicante/Alacant,2015,2,2015T2,63.98,49.4,22.79,52.88,39.31,25.65,58.36,44.29,24.11
03,Alicante/Alacant,2015,3,2015T3,64.28,50.0,22.22,52.3,39.34,24.79,58.21,44.6,23.39
03,Alicante/Alacant,2015,4,2015T4,63.7,49.52,22.25,53.17,40.52,23.79,58.36,44.96,22.96
03,Alicante/Alacant,2016,1,2016T1,63.91,50.07,21.66,52.28,38.71,25.96,58.02,44.31,23.62
03,Alicante/Alacant,2016,2,2016T2,66.26,52.63,20.57,54.79,40.93,25.3,60.44,46.7,22.74
03,Alicante/Alacant,2016,3,2016T3,65.63,54.39,17.14,54.01,43.02,20.35,59.74,48.62,18.61
03,Alicante/Alacant,2016,4,2016T4,63.6,52.33,17.72,53.73,43.64,18.77,58.59,47.93,18.21
03,Alicante/Alacant,2017,1,2017T1,64.44,51.82,19.58,53.22,42.57,20.01,58.75,47.13,19.77
