comunidad_autonoma,provincia,anio,sexo,asalariados,percepciones_por_persona,salarios_totales_euros,salario_medio_anual_euros
Galicia,A Coruña,2023,Total,475031,1.31,12331155861,25959
Castilla - La Mancha,Albacete,2023,Total,176844,1.48,3815608157,21576
Comunitat Valenciana,Alicante,2023,Total,791945,1.34,16617893618,20984
Andalucía,Almería,2023,Total,350008,1.45,6556772621,18733
"Asturias, Principado de","Asturias, Principado de",2023,Total,399369,1.33,10171908032,25470
Extremadura,Badajoz,2023,Total,287385,1.55,5439440889,18927
"Balears, Illes","Balears,Illes",2023,Total,599808,1.37,14547747461,24254
Cataluña,Barcelona,2023,Total,2812557,1.36,82281335439,29255
Castilla y León,Burgos,2023,Total,156273,1.36,3888638539,24884
Cantabria,Cantabria,2023,Total,244688,1.32,5820444083,23787
Comunitat Valenciana,Castellón,2023,Total,273119,1.36,6313636338,23117
Ceuta,Ceuta,2023,Total,34701,1.34,903655840,26041
Castilla - La Mancha,Ciudad Real,2023,Total,205146,1.42,4412895699,21511
Castilla - La Mancha,Cuenca,2023,Total,82905,1.41,1697243341,20472
Extremadura,Cáceres,2023,Total,163124,1.44,3224860339,19769
Andalucía,Cádiz,2023,Total,509754,1.38,10608259819,20811
Andalucía,Córdoba,2023,Total,337050,1.6,6568453284,19488
Cataluña,Girona,2023,Total,390500,1.37,9378449720,24017
Andalucía,Granada,2023,Total,393579,1.47,8101302465,20584
Castilla - La Mancha,Guadalajara,2023,Total,136724,1.43,3423180687,25037
Andalucía,Huelva,2023,Total,266855,1.56,4806535956,18012
Aragón,Huesca,2023,Total,105539,1.38,2413253286,22866
Andalucía,Jaén,2023,Total,271212,1.86,4825312871,17792
Canarias,Las Palmas,2023,Total,530845,1.4,11626716421,21902
Castilla y León,León,2023,Total,177585,1.34,4140464525,23315
Cataluña,Lleida,2023,Total,215198,1.42,5065268801,23538
Galicia,Lugo,2023,Total,123739,1.33,2809325210,22704
"Madrid, Comunidad de","Madrid, Comunidad de",2023,Total,3476015,1.36,110923709204,31911
Melilla,Melilla,2023,Total,35549,1.4,873496751,24572
"Murcia, Región de","Murcia, Región de",2023,Total,705762,1.43,15161540489,21483
Andalucía,Málaga,2023,Total,739243,1.4,15877835914,21479
Galicia,Ourense,2023,Total,110142,1.31,2455514301,22294
Castilla y León,Palencia,2023,Total,66840,1.35,1541098436,23057
Galicia,Pontevedra,2023,Total,397826,1.33,9222324420,23182
"Rioja, La","Rioja, La",2023,Total,138691,1.39,3212275063,23161
Canarias,S. C. Tenerife,2023,Total,470845,1.39,10038882371,21321
Castilla y León,Salamanca,2023,Total,135105,1.35,3115488136,23060
Castilla y León,Segovia,2023,Total,71224,1.39,1597561521,22430
Andalucía,Sevilla,2023,Total,883453,1.45,19326222632,21876
Castilla y León,Soria,2023,Total,40498,1.39,954479931,23569
Cataluña,Tarragona,2023,Total,388283,1.37,9581785580,24677
Aragón,Teruel,2023,Total,57652,1.37,1312589146,22767
Castilla - La Mancha,Toledo,2023,Total,336242,1.38,7460413565,22188
Comunitat Valenciana,Valencia,2023,Total,1222819,1.37,29603543992,24209
Castilla y León,Valladolid,2023,Total,247280,1.39,6323137303,25571
Castilla y León,Zamora,2023,Total,64156,1.37,1345673788,20975
Aragón,Zaragoza,2023,Total,475843,1.38,12109171963,25448
Castilla y León,Ávila,2023,Total,63041,1.35,1340692878,21267
Galicia,A Coruña,2023,Hombre,243105,1.31,6942806519,28559
Castilla - La Mancha,Albacete,2023,Hombre,97462,1.54,2271724513,23309
Comunitat Valenciana,Alicante,2023,Hombre,418677,1.36,9487764119,22661
Andalucía,Almería,2023,Hombre,196008,1.52,3869136103,19740
"Asturias, Principado de","Asturias, Principado de",2023,Hombre,205379,1.34,5882123915,28640
Extremadura,Badajoz,2023,Hombre,153254,1.6,3131474548,20433
"Balears, Illes","Balears,Illes",2023,Hombre,308531,1.38,7994167598,25910
Cataluña,Barcelona,2023,Hombre,1453037,1.36,46838417763,32235
Castilla y León,Burgos,2023,Hombre,82304,1.33,2308685107,28051
Cantabria,Cantabria,2023,Hombre,125755,1.3,3326880279,26455
Comunitat Valenciana,Castellón,2023,Hombre,146305,1.36,3789638747,25902
Ceuta,Ceuta,2023,Hombre,20311,1.37,568583354,27994
Castilla - La Mancha,Ciudad Real,2023,Hombre,114769,1.47,2687135877,23413
Castilla - La Mancha,Cuenca,2023,Hombre,44946,1.45,980904616,21824
Extremadura,Cáceres,2023,Hombre,85531,1.48,1820062022,21280
Andalucía,Cádiz,2023,Hombre,279518,1.4,6599645122,23611
Andalucía,Córdoba,2023,Hombre,180754,1.69,3878938657,21460
Cataluña,Girona,2023,Hombre,206135,1.37,5341209978,25911
Andalucía,Granada,2023,Hombre,208020,1.55,4633487676,22274
Castilla - La Mancha,Guadalajara,2023,Hombre,73285,1.42,2043869261,27889
Andalucía,Huelva,2023,Hombre,138430,1.63,2859125724,20654
Aragón,Huesca,2023,Hombre,56744,1.39,1409914960,24847
Andalucía,Jaén,2023,Hombre,150251,2.05,2865201671,19069
Canarias,Las Palmas,2023,Hombre,273991,1.41,6341025661,23143
Castilla y León,León,2023,Hombre,91029,1.33,2326687485,25560
Cataluña,Lleida,2023,Hombre,117554,1.45,2921613701,24853
Galicia,Lugo,2023,Hombre,62698,1.32,1521815565,24272
"Madrid, Comunidad de","Madrid, Comunidad de",2023,Hombre,1784564,1.37,64017401565,35873
Melilla,Melilla,2023,Hombre,21004,1.46,541528664,25782
"Murcia, Región de","Murcia, Región de",2023,Hombre,389344,1.46,9045995969,23234
Andalucía,Málaga,2023,Hombre,383745,1.43,9091284494,23691
Galicia,Ourense,2023,Hombre,56336,1.31,1331758526,23640
Castilla y León,Palencia,2023,Hombre,34839,1.33,883600884,25362
Galicia,Pontevedra,2023,Hombre,204943,1.32,5246362644,25599
"Rioja, La","Rioja, La",2023,Hombre,71387,1.4,1800659270,25224
Canarias,S. C. Tenerife,2023,Hombre,241391,1.41,5345234801,22143
Castilla y León,Salamanca,2023,Hombre,69900,1.35,1748467121,25014
Castilla y León,Segovia,2023,Hombre,37021,1.39,911451918,24620
Andalucía,Sevilla,2023,Hombre,470328,1.48,11569196902,24598
Castilla y León,Soria,2023,Hombre,21328,1.38,533790665,25028
Cataluña,Tarragona,2023,Hombre,206689,1.38,5610325410,27144
Aragón,Teruel,2023,Hombre,30820,1.36,757636070,24583
Castilla - La Mancha,Toledo,2023,Hombre,185357,1.39,4507647846,24319
Comunitat Valenciana,Valencia,2023,Hombre,645756,1.38,17124705456,26519
Castilla y León,Valladolid,2023,Hombre,129176,1.37,3654353660,28290
Castilla y León,Zamora,2023,Hombre,33399,1.35,753504084,22561
Aragón,Zaragoza,2023,Hombre,251895,1.4,7148773043,28380
Castilla y León,Ávila,2023,Hombre,33237,1.35,764194529,22992
Galicia,A Coruña,2023,Mujer,231926,1.32,5388349343,23233
Castilla - La Mancha,Albacete,2023,Mujer,79382,1.4,1543883644,19449
Comunitat Valenciana,Alicante,2023,Mujer,373268,1.32,7130129499,19102
Andalucía,Almería,2023,Mujer,154000,1.37,2687636518,17452
"Asturias, Principado de","Asturias, Principado de",2023,Mujer,193990,1.32,4289784118,22113
Extremadura,Badajoz,2023,Mujer,134131,1.49,2307966340,17207
"Balears, Illes","Balears,Illes",2023,Mujer,291277,1.36,6553579862,22499
Cataluña,Barcelona,2023,Mujer,1359520,1.36,35442917676,26070
Castilla y León,Burgos,2023,Mujer,73969,1.39,1579953432,21360
Cantabria,Cantabria,2023,Mujer,118933,1.33,2493563803,20966
