codigo_provincia,provincia,anio,alquiler_mensual_eur_m2_mediana_vivienda_colectiva,alquiler_mensual_eur_m2_mediana_vivienda_unifamiliar,alquiler_mensual_eur_m2_p25_vivienda_colectiva,alquiler_mensual_eur_m2_p25_vivienda_unifamiliar,alquiler_mensual_eur_m2_p75_vivienda_colectiva,alquiler_mensual_eur_m2_p75_vivienda_unifamiliar,alquiler_mensual_total_eur_mediana_vivienda_colectiva,alquiler_mensual_total_eur_mediana_vivienda_unifamiliar,alquiler_mensual_total_eur_p25_vivienda_colectiva,alquiler_mensual_total_eur_p25_vivienda_unifamiliar,alquiler_mensual_total_eur_p75_vivienda_colectiva,alquiler_mensual_total_eur_p75_vivienda_unifamiliar,observaciones_alquiler_vivienda_colectiva,observaciones_alquiler_vivienda_unifamiliar,superficie_m2_mediana_vivienda_colectiva,superficie_m2_mediana_vivienda_unifamiliar,superficie_m2_p25_vivienda_colectiva,superficie_m2_p25_vivienda_unifamiliar,superficie_m2_p75_vivienda_colectiva,superficie_m2_p75_vivienda_unifamiliar
02,Albacete,2015,4.52741942941693,2.7027027027027,3.1496062992126,1.6304347826087,6.68816021126761,4.55342902711324,400.0,340.45,300.0,210.0,600.0,580.0,6835.0,814.0,99.0,213.0,80.0,147.0,118.0,274.5
02,Albacete,2016,4.7605210561974,2.85714285714286,3.33333333333333,1.74716392512762,7.0694009056078,4.65116279069768,430.0,350.0,314.8125,225.0,650.0,600.0,7439.0,897.0,98.0,202.5,80.0,142.0,117.0,269.0
02,Albacete,2017,4.81927710843374,2.82577353887102,3.45675300647549,1.84648164335664,7.24258781824041,4.90346445326597,440.0,360.555555555556,323.5,250.0,650.0,600.0,8037.0,983.0,97.0,205.0,78.0,143.0,117.0,272.0
02,Albacete,2018,4.94623655913979,2.8735632183908,3.57142857142857,1.91780821917808,7.5,5.07246376811594,450.0,375.0,331.666666666667,250.0,700.0,600.0,8748.0,1084.0,97.0,200.0,78.0,141.0,116.0,268.0
03,Alicante,2015,4.89130434782609,4.76190476190476,3.30459770114943,2.80373831775701,7.40740740740741,7.37010796221323,400.0,500.0,300.0,300.0,600.0,800.0,31848.0,5830.0,91.0,133.0,71.0,88.0,110.0,208.0
03,Alicante,2016,5.12820512820513,5.0,3.47826086956522,3.03030303030303,7.77852222222222,8.05856406673072,420.0,500.0,300.0,330.5475,650.0,825.0,36267.0,6520.0,90.0,131.0,71.0,88.0,110.0,206.0
03,Alicante,2017,5.27777777777778,5.15463917525773,3.60576923076923,3.09888255150739,7.94376251414643,8.01503094606543,430.0,500.0,320.0,346.458333333333,665.0,840.57,39816.0,7138.0,90.0,131.0,70.0,87.0,110.0,206.0
03,Alicante,2018,5.46666666666667,5.37634408602151,3.73831775700935,3.22704714640198,8.24742268041237,8.47457627118644,450.0,534.01647781737,333.333333333333,350.0,700.0,900.0,42970.0,7717.0,90.0,129.0,70.0,87.0,110.0,204.0
04,Almería,2015,4.76190476190476,3.6734693877551,3.39717171717172,2.41796440489433,7.11864406779661,5.69362894616441,380.0,400.0,291.666666666667,300.0,600.0,600.0,8584.0,1735.0,87.0,140.0,71.0,104.0,104.0,197.0
04,Almería,2016,5.0,3.91216690042076,3.59619081951454,2.57935721208917,7.64755342136855,6.30630630630631,400.0,400.001666666667,300.0,300.0,600.0,680.0,9798.0,2013.0,86.0,140.0,70.0,105.0,103.0,198.0
04,Almería,2017,5.06329113924051,3.81154156577885,3.67836701112248,2.56176305446378,7.75193798449612,6.12692445399212,400.0,400.0,300.0,300.0,600.0,650.0,10894.0,2195.0,85.0,141.0,70.0,104.0,103.0,199.0
04,Almería,2018,5.20833333333333,3.90625,3.8135593220339,2.5974025974026,8.0,6.14837398373984,400.0,411.666666666667,300.0,300.0,640.0,699.520876112252,11718.0,2400.0,85.0,139.0,70.0,103.0,102.0,196.0
05,Ávila,2015,4.28571428571429,3.1090268695857,3.03738317757009,1.92307692307692,6.81818181818182,4.936830402264,350.0,347.916666666667,250.0,215.416666666667,550.0,569.041666666667,2808.0,685.0,87.0,157.0,70.0,113.25,102.0,207.0
05,Ávila,2016,4.6,3.40909090909091,3.23076923076923,2.03951367781155,7.2289156626506,5.15630196208846,360.0,370.0,260.0,247.581666666667,600.0,600.0,2996.0,783.0,87.0,160.0,70.0,113.75,102.0,216.5
05,Ávila,2017,4.54545454545455,3.34936487481591,3.2967032967033,2.17391304347826,7.14285714285714,5.4032604032604,362.5,360.0,266.666666666667,250.0,600.0,600.0,3274.0,821.0,86.0,156.5,70.0,112.0,102.0,213.0
05,Ávila,2018,4.75278083363892,3.57142857142857,3.40652656346087,2.30790491984522,7.36842105263158,5.68114685289262,380.0,390.0,280.0,250.0,600.0,623.333333333333,3571.0,874.0,87.0,158.0,71.0,113.0,102.0,214.0
06,Badajoz,2015,4.50533333333333,2.77544351073763,3.19148936170213,1.7156862745098,6.73076923076923,4.51322290031967,380.0,327.606666666667,291.666666666667,215.0,600.0,540.0,7076.0,1573.0,92.0,174.0,76.0,125.0,110.0,252.0
06,Badajoz,2016,4.74576271186441,2.89855072463768,3.34671686746988,1.81979615866899,7.13178294573643,4.76153931339978,400.0,350.0,300.0,230.0,619.688385269122,575.0,7824.0,1678.0,92.0,170.0,75.0,125.0,110.0,246.0
06,Badajoz,2017,4.84848484848485,2.94736842105263,3.45423143350604,1.86567164179104,7.12871287128713,4.66666666666667,400.0,350.0,300.0,233.333333333333,620.0,557.0,8608.0,1844.0,92.0,167.0,75.0,125.0,110.0,244.0
06,Badajoz,2018,4.97269005847953,3.01204819277108,3.5,1.94106156056587,7.40740740740741,4.8804306402439,400.0,350.0,300.0,247.0,640.0,580.0,9327.0,1994.0,91.0,165.0,75.0,124.0,110.0,242.0
07,"Balears, Illes",2015,6.77083333333333,4.64285714285714,4.72222222222222,2.81526308223117,9.91130776794494,7.58179689786362,540.0,550.0,400.0,375.0,791.666666666667,900.0,40742.0,11731.0,87.0,171.0,66.0,112.0,108.0,263.0
07,"Balears, Illes",2016,7.06521739130435,4.86486486486487,4.93348348348348,2.94526085509107,10.4166666666667,8.0436891426898,550.0,582.416666666667,416.666666666667,400.0,800.005,1000.0,45172.0,12934.0,86.0,171.0,66.0,112.0,108.0,262.0
07,"Balears, Illes",2017,7.47663551401869,5.20389579539156,5.23809523809524,3.125,11.0655737704918,8.58159829495774,595.833333333333,600.0,450.0,400.0,874.050833333333,1000.0,47500.0,13539.0,85.0,170.0,65.0,111.0,107.0,262.0
07,"Balears, Illes",2018,8.06451612903226,5.50373134328358,5.58943089430894,3.33333333333333,12.0197861132267,9.08883230452675,624.083333333333,640.0,470.833333333333,420.833333333333,935.246805555556,1100.0,49755.0,14156.0,85.0,170.0,65.0,111.0,107.0,265.0
08,Barcelona,2015,8.75,5.59088853276353,6.11111111111111,3.24451121583408,12.4219618055556,8.94318663838812,600.0,700.0,450.0,445.0,900.0,1156.841875,229623.0,27283.0,73.0,182.0,60.0,123.0,91.0,256.0
08,Barcelona,2016,9.05089192708333,5.85106382978723,6.33333333333333,3.43915343915344,12.9496153846154,9.42005813953488,625.0,708.333333333333,459.0,456.0,950.0,1200.0,251048.0,29264.0,73.0,181.0,59.0,122.0,91.0,255.0
