codigo_provincia,provincia,anio,mes,periodo,pernoctaciones_residentes_espana,viajeros_residentes_espana,pernoctaciones_residentes_extranjero,viajeros_residentes_extranjero,pernoctaciones_total,viajeros_total,estancia_media_total,estancia_media_residentes_espana,estancia_media_residentes_extranjero
01,Araba/Álava,2025,12,2025M12,56500,29337,21558,7988,78059,37325,2.09133288680509,1.9258956266830283,2.698798197295944
02,Albacete,2025,12,2025M12,42055,26639,5945,3777,48001,30417,1.578097774270967,1.5787004016667292,1.5740005295207837
03,Alicante/Alacant,2025,12,2025M12,451617,163325,558304,134363,1009920,297688,3.39254521512456,2.7651431195469156,4.155191533383446
04,Almería,2025,12,2025M12,80823,38528,32182,11829,113005,50357,2.2440772881625195,2.0977730481727574,2.720601910558796
05,Ávila,2025,12,2025M12,39066,24665,3776,2773,42842,27439,1.5613542767593571,1.5838637745793636,1.3617021276595744
06,Badajoz,2025,12,2025M12,67292,38343,15406,10781,82698,49124,1.6834541161143228,1.7550009128132906,1.4289954549670718
07,"Balears, Illes",2025,12,2025M12,75792,38624,248142,65965,323934,104589,3.0972090755241948,1.9623032311516155,3.761722125369514
08,Barcelona,2025,12,2025M12,496206,290040,1523919,627290,2020125,917329,2.2021815510029663,1.7108191973520894,2.4293691912831386
09,Burgos,2025,12,2025M12,76286,48534,20094,14482,96380,63015,1.5294771086249306,1.571805332344336,1.3875155365281038
10,Cáceres,2025,12,2025M12,68791,38437,9217,5703,78008,44140,1.7672859084730403,1.7897078335978354,1.61616692968613
11,Cádiz,2025,12,2025M12,191686,96936,94733,39636,286419,136573,2.097186120243386,1.977449038540893,2.3900746795842163
12,Castellón/Castelló,2025,12,2025M12,77081,41319,23269,11326,100350,52645,1.9061639281983094,1.8655098138870738,2.054476425922656
13,Ciudad Real,2025,12,2025M12,45257,27270,6455,3995,51711,31265,1.6539581001119463,1.6595892922625597,1.6157697121401753
14,Córdoba,2025,12,2025M12,106324,61547,48783,30183,155107,91730,1.6909080998582797,1.7275253058638114,1.6162409303250174
15,"Coruña, A",2025,12,2025M12,166043,94876,43246,22368,209288,117245,1.7850484029169686,1.750105400733589,1.9333869814020028
16,Cuenca,2025,12,2025M12,31541,18203,3976,2051,35517,20254,1.7535795398439815,1.732736362138109,1.9385665529010239
17,Girona,2025,12,2025M12,169324,96521,107827,63160,277151,159681,1.7356542105823485,1.7542710912651134,1.7072039265357821
18,Granada,2025,12,2025M12,261087,132221,172240,87057,433327,219278,1.9761535584965204,1.974625815868886,1.9784738734392409
19,Guadalajara,2025,12,2025M12,33087,18438,5495,2897,38582,21335,1.8083899695336303,1.794500488122356,1.8967897825336555
20,Gipuzkoa,2025,12,2025M12,112847,60473,75625,45057,188472,105530,1.785956600018952,1.8660724620905198,1.6784295447988105
21,Huelva,2025,12,2025M12,41931,23538,13354,4350,55284,27887,1.982429088822749,1.7814172826918175,3.0698850574712644
22,Huesca,2025,12,2025M12,133346,62046,15890,6454,149237,68500,2.1786423357664235,2.1491474067627245,2.462039045553145
23,Jaén,2025,12,2025M12,68965,39887,6214,3717,75179,43604,1.7241308136868176,1.7290094517010555,1.6717783158461124
24,León,2025,12,2025M12,70532,39923,7797,4760,78329,44683,1.7529933084170715,1.7667008992310198,1.6380252100840336
25,Lleida,2025,12,2025M12,165729,72883,30824,14702,196553,87586,2.2441143561756447,2.2739047514509556,2.096585498571623
26,"Rioja, La",2025,12,2025M12,64388,39725,9031,4910,73419,44635,1.644875098017251,1.6208432976714915,1.8393075356415478
27,Lugo,2025,12,2025M12,50675,27009,4470,3159,55145,30168,1.8279302572262,1.876226443037506,1.4150047483380817
28,Madrid,2025,12,2025M12,1140478,633169,1150231,495898,2290709,1129066,2.0288530519916463,1.8012221065781806,2.31949110502563
29,Málaga,2025,12,2025M12,282864,140369,679696,188784,962561,329153,2.924357365723539,2.015145794299311,3.6003898635477585
30,Murcia,2025,12,2025M12,134833,79385,38595,17855,173429,97240,1.7835150143973673,1.698469484159476,2.161579389526743
31,Navarra,2025,12,2025M12,87850,49344,25807,11990,113657,61333,1.8531133321376747,1.7803583009079118,2.1523769808173476
32,Ourense,2025,12,2025M12,40858,23148,6481,3196,47340,26344,1.7969936228363195,1.7650768964921375,2.0278473091364204
33,Asturias,2025,12,2025M12,165789,90971,25220,11253,191009,102224,1.868533808107685,1.822437919776632,2.2411801297431797
34,Palencia,2025,12,2025M12,19241,9334,2784,1710,22025,11044,1.9942955450923578,2.061388472251982,1.6280701754385964
35,"Palmas, Las",2025,12,2025M12,272896,74423,3359453,453758,3632349,528181,6.877091375873044,3.6668234282412695,7.403622635854354
36,Pontevedra,2025,12,2025M12,130546,71029,48435,32650,178981,103679,1.7262994434745706,1.8379253544326966,1.4834609494640123
37,Salamanca,2025,12,2025M12,90121,52903,34671,24644,124792,77547,1.609243426567114,1.7035139784133224,1.4068738841097224
38,Santa Cruz de Tenerife,2025,12,2025M12,257085,72069,1983270,300664,2240355,372733,6.010616178336772,3.567206427173958,6.596300188915201
39,Cantabria,2025,12,2025M12,103079,57916,15732,8565,118811,66481,1.7871421910019405,1.7798017818910146,1.8367775831873905
40,Segovia,2025,12,2025M12,53241,32660,17112,7185,70353,39845,1.7656669594679382,1.6301592161665646,2.3816283924843424
41,Sevilla,2025,12,2025M12,275677,152082,336486,146227,612164,298309,2.0521137478252416,1.8126865769782092,2.301120860032689
42,Soria,2025,12,2025M12,24648,13686,1896,846,26544,14531,1.826715298327713,1.8009644892590968,2.2411347517730498
43,Tarragona,2025,12,2025M12,126249,82765,40363,22463,166612,105228,1.5833428365073934,1.5253911677641516,1.7968659573520902
44,Teruel,2025,12,2025M12,50074,27132,9938,2717,60012,29849,2.010519615397501,1.8455698068701165,3.6577107103422892
45,Toledo,2025,12,2025M12,93277,57098,25033,13037,118310,70136,1.6868655184213528,1.6336298994710847,1.9201503413361969
46,Valencia/València,2025,12,2025M12,222871,128407,280241,112812,503111,241219,2.0857022042210605,1.7356608284595076,2.4841417579690104
47,Valladolid,2025,12,2025M12,79303,44478,11472,6815,90775,51293,1.7697346616497378,1.7829713566257475,1.6833455612619221
48,Bizkaia,2025,12,2025M12,142210,81758,71672,35144,213882,116902,1.8295837539135344,1.7394016487683162,2.0393808331436376
49,Zamora,2025,12,2025M12,19474,12056,1522,1055,20996,13111,1.6014034017237435,1.6152952886529528,1.442654028436019
50,Zaragoza,2025,12,2025M12,158681,95521,38995,23403,197676,118924,1.6622044330833137,1.6612158582929408,1.6662393710208092
51,Ceuta,2025,12,2025M12,5587,2964,2789,1392,8376,4357,1.9224236860224926,1.8849527665317138,2.0035919540229883
52,Melilla,2025,12,2025M12,7747,3488,1844,1148,9592,4636,2.069025021570319,2.2210435779816513,1.6062717770034842
