codigo_provincia,provincia,anio,residencia,variable,valor
01,Araba/Álava,2015,residentes_espana,pernoctaciones,487701
01,Araba/Álava,2015,residentes_espana,viajeros,279463
01,Araba/Álava,2015,residentes_extranjero,pernoctaciones,181491
01,Araba/Álava,2015,residentes_extranjero,viajeros,107225
01,Araba/Álava,2015,total,pernoctaciones,669193
01,Araba/Álava,2015,total,viajeros,386688
01,Araba/Álava,2016,residentes_espana,pernoctaciones,501649
01,Araba/Álava,2016,residentes_espana,viajeros,283843
01,Araba/Álava,2016,residentes_extranjero,pernoctaciones,209032
01,Araba/Álava,2016,residentes_extranjero,viajeros,117529
01,Araba/Álava,2016,total,pernoctaciones,710680
01,Araba/Álava,2016,total,viajeros,401372
01,Araba/Álava,2017,residentes_espana,pernoctaciones,554935
01,Araba/Álava,2017,residentes_espana,viajeros,296429
01,Araba/Álava,2017,residentes_extranjero,pernoctaciones,223915
01,Araba/Álava,2017,residentes_extranjero,viajeros,124020
01,Araba/Álava,2017,total,pernoctaciones,778850
01,Araba/Álava,2017,total,viajeros,420450
01,Araba/Álava,2018,residentes_espana,pernoctaciones,564408
01,Araba/Álava,2018,residentes_espana,viajeros,295267
01,Araba/Álava,2018,residentes_extranjero,pernoctaciones,227253
01,Araba/Álava,2018,residentes_extranjero,viajeros,125299
01,Araba/Álava,2018,total,pernoctaciones,791660
01,Araba/Álava,2018,total,viajeros,420566
01,Araba/Álava,2019,residentes_espana,pernoctaciones,552658
01,Araba/Álava,2019,residentes_espana,viajeros,292597
01,Araba/Álava,2019,residentes_extranjero,pernoctaciones,229502
01,Araba/Álava,2019,residentes_extranjero,viajeros,119525
01,Araba/Álava,2019,total,pernoctaciones,782157
01,Araba/Álava,2019,total,viajeros,412124
01,Araba/Álava,2020,residentes_espana,pernoctaciones,264319
01,Araba/Álava,2020,residentes_espana,viajeros,135072
01,Araba/Álava,2020,residentes_extranjero,pernoctaciones,66247
01,Araba/Álava,2020,residentes_extranjero,viajeros,35077
01,Araba/Álava,2020,total,pernoctaciones,330565
01,Araba/Álava,2020,total,viajeros,170149
01,Araba/Álava,2021,residentes_espana,pernoctaciones,468141
01,Araba/Álava,2021,residentes_espana,viajeros,239888
01,Araba/Álava,2021,residentes_extranjero,pernoctaciones,119925
01,Araba/Álava,2021,residentes_extranjero,viajeros,67294
01,Araba/Álava,2021,total,pernoctaciones,588067
01,Araba/Álava,2021,total,viajeros,307185
01,Araba/Álava,2022,residentes_espana,pernoctaciones,583521
01,Araba/Álava,2022,residentes_espana,viajeros,294842
01,Araba/Álava,2022,residentes_extranjero,pernoctaciones,229478
01,Araba/Álava,2022,residentes_extranjero,viajeros,126006
01,Araba/Álava,2022,total,pernoctaciones,812999
01,Araba/Álava,2022,total,viajeros,420849
01,Araba/Álava,2023,residentes_espana,pernoctaciones,651080
01,Araba/Álava,2023,residentes_espana,viajeros,318214
01,Araba/Álava,2023,residentes_extranjero,pernoctaciones,280811
01,Araba/Álava,2023,residentes_extranjero,viajeros,143661
01,Araba/Álava,2023,total,pernoctaciones,931891
01,Araba/Álava,2023,total,viajeros,461878
01,Araba/Álava,2024,residentes_espana,pernoctaciones,694660
01,Araba/Álava,2024,residentes_espana,viajeros,337122
01,Araba/Álava,2024,residentes_extranjero,pernoctaciones,313415
01,Araba/Álava,2024,residentes_extranjero,viajeros,152454
01,Araba/Álava,2024,total,pernoctaciones,1008077
01,Araba/Álava,2024,total,viajeros,489577
01,Araba/Álava,2025,residentes_espana,pernoctaciones,745920
01,Araba/Álava,2025,residentes_espana,viajeros,354052
01,Araba/Álava,2025,residentes_extranjero,pernoctaciones,354879
01,Araba/Álava,2025,residentes_extranjero,viajeros,157871
01,Araba/Álava,2025,total,pernoctaciones,1100800
01,Araba/Álava,2025,total,viajeros,511928
02,Albacete,2015,residentes_espana,pernoctaciones,568340
02,Albacete,2015,residentes_espana,viajeros,286261
02,Albacete,2015,residentes_extranjero,pernoctaciones,49813
02,Albacete,2015,residentes_extranjero,viajeros,23337
02,Albacete,2015,total,pernoctaciones,618150
02,Albacete,2015,total,viajeros,309598
02,Albacete,2016,residentes_espana,pernoctaciones,582029
02,Albacete,2016,residentes_espana,viajeros,299563
02,Albacete,2016,residentes_extranjero,pernoctaciones,55410
02,Albacete,2016,residentes_extranjero,viajeros,28643
02,Albacete,2016,total,pernoctaciones,637440
02,Albacete,2016,total,viajeros,328209
02,Albacete,2017,residentes_espana,pernoctaciones,616200
02,Albacete,2017,residentes_espana,viajeros,314157
02,Albacete,2017,residentes_extranjero,pernoctaciones,65606
02,Albacete,2017,residentes_extranjero,viajeros,30111
02,Albacete,2017,total,pernoctaciones,681806
02,Albacete,2017,total,viajeros,344267
02,Albacete,2018,residentes_espana,pernoctaciones,632854
02,Albacete,2018,residentes_espana,viajeros,325909
02,Albacete,2018,residentes_extranjero,pernoctaciones,59618
02,Albacete,2018,residentes_extranjero,viajeros,32402
02,Albacete,2018,total,pernoctaciones,692471
02,Albacete,2018,total,viajeros,358314
02,Albacete,2019,residentes_espana,pernoctaciones,672118
02,Albacete,2019,residentes_espana,viajeros,347685
02,Albacete,2019,residentes_extranjero,pernoctaciones,73183
02,Albacete,2019,residentes_extranjero,viajeros,36564
02,Albacete,2019,total,pernoctaciones,745298
02,Albacete,2019,total,viajeros,384249
02,Albacete,2020,residentes_espana,pernoctaciones,276698
02,Albacete,2020,residentes_espana,viajeros,163957
02,Albacete,2020,residentes_extranjero,pernoctaciones,34419
02,Albacete,2020,residentes_extranjero,viajeros,14021
02,Albacete,2020,total,pernoctaciones,311118
02,Albacete,2020,total,viajeros,177979
02,Albacete,2021,residentes_espana,pernoctaciones,453512
02,Albacete,2021,residentes_espana,viajeros,264371
02,Albacete,2021,residentes_extranjero,pernoctaciones,45860
02,Albacete,2021,residentes_extranjero,viajeros,21620
02,Albacete,2021,total,pernoctaciones,499373
02,Albacete,2021,total,viajeros,285989
02,Albacete,2022,residentes_espana,pernoctaciones,643212
02,Albacete,2022,residentes_espana,viajeros,339510
02,Albacete,2022,residentes_extranjero,pernoctaciones,85848
02,Albacete,2022,residentes_extranjero,viajeros,38589
02,Albacete,2022,total,pernoctaciones,729062
02,Albacete,2022,total,viajeros,378099
02,Albacete,2023,residentes_espana,pernoctaciones,686186
02,Albacete,2023,residentes_espana,viajeros,342257
02,Albacete,2023,residentes_extranjero,pernoctaciones,83090
02,Albacete,2023,residentes_extranjero,viajeros,40814
02,Albacete,2023,total,pernoctaciones,769274
02,Albacete,2023,total,viajeros,383071
02,Albacete,2024,residentes_espana,pernoctaciones,744515
02,Albacete,2024,residentes_espana,viajeros,347136
02,Albacete,2024,residentes_extranjero,pernoctaciones,88048
02,Albacete,2024,residentes_extranjero,viajeros,46913
02,Albacete,2024,total,pernoctaciones,832562
02,Albacete,2024,total,viajeros,394048
02,Albacete,2025,residentes_espana,pernoctaciones,775103
02,Albacete,2025,residentes_espana,viajeros,372729
02,Albacete,2025,residentes_extranjero,pernoctaciones,90369
02,Albacete,2025,residentes_extranjero,viajeros,51675
02,Albacete,2025,total,pernoctaciones,865473
02,Albacete,2025,total,viajeros,424405
03,Alicante/Alacant,2015,residentes_espana,pernoctaciones,8416856
03,Alicante/Alacant,2015,residentes_espana,viajeros,2244723
03,Alicante/Alacant,2015,residentes_extranjero,pernoctaciones,8138343
03,Alicante/Alacant,2015,residentes_extranjero,viajeros,1536200
03,Alicante/Alacant,2015,total,pernoctaciones,16555200
03,Alicante/Alacant,2015,total,viajeros,3780922
03,Alicante/Alacant,2016,residentes_espana,pernoctaciones,8736468
03,Alicante/Alacant,2016,residentes_espana,viajeros,2303761
03,Alicante/Alacant,2016,residentes_extranjero,pernoctaciones,9060152
03,Alicante/Alacant,2016,residentes_extranjero,viajeros,1761377
03,Alicante/Alacant,2016,total,pernoctaciones,17796620
03,Alicante/Alacant,2016,total,viajeros,4065138
03,Alicante/Alacant,2017,residentes_espana,pernoctaciones,8130018
03,Alicante/Alacant,2017,residentes_espana,viajeros,2344255
03,Alicante/Alacant,2017,residentes_extranjero,pernoctaciones,9919845
03,Alicante/Alacant,2017,residentes_extranjero,viajeros,2041052
03,Alicante/Alacant,2017,total,pernoctaciones,18049863
03,Alicante/Alacant,2017,total,viajeros,4385308
03,Alicante/Alacant,2018,residentes_espana,pernoctaciones,8130481
03,Alicante/Alacant,2018,residentes_espana,viajeros,2386988
03,Alicante/Alacant,2018,residentes_extranjero,pernoctaciones,9849942
03,Alicante/Alacant,2018,residentes_extranjero,viajeros,2052473
03,Alicante/Alacant,2018,total,pernoctaciones,17980425
03,Alicante/Alacant,2018,total,viajeros,4439462
03,Alicante/Alacant,2019,residentes_espana,pernoctaciones,8623618
03,Alicante/Alacant,2019,residentes_espana,viajeros,2578721
03,Alicante/Alacant,2019,residentes_extranjero,pernoctaciones,9198413
03,Alicante/Alacant,2019,residentes_extranjero,viajeros,2003803
03,Alicante/Alacant,2019,total,pernoctaciones,17822031
03,Alicante/Alacant,2019,total,viajeros,4582523
03,Alicante/Alacant,2020,residentes_espana,pernoctaciones,2950699
03,Alicante/Alacant,2020,residentes_espana,viajeros,1158176
03,Alicante/Alacant,2020,residentes_extranjero,pernoctaciones,1820155
03,Alicante/Alacant,2020,residentes_extranjero,viajeros,462927
03,Alicante/Alacant,2020,total,pernoctaciones,4770852
03,Alicante/Alacant,2020,total,viajeros,1621103
03,Alicante/Alacant,2021,residentes_espana,pernoctaciones,5585174
03,Alicante/Alacant,2021,residentes_espana,viajeros,1972812
03,Alicante/Alacant,2021,residentes_extranjero,pernoctaciones,2721084
03,Alicante/Alacant,2021,residentes_extranjero,viajeros,736406
03,Alicante/Alacant,2021,total,pernoctaciones,8306259
03,Alicante/Alacant,2021,total,viajeros,2709218
03,Alicante/Alacant,2022,residentes_espana,pernoctaciones,7839888
03,Alicante/Alacant,2022,residentes_espana,viajeros,2417966
03,Alicante/Alacant,2022,residentes_extranjero,pernoctaciones,8240105
03,Alicante/Alacant,2022,residentes_extranjero,viajeros,1868986
03,Alicante/Alacant,2022,total,pernoctaciones,16079995
03,Alicante/Alacant,2022,total,viajeros,4286953
03,Alicante/Alacant,2023,residentes_espana,pernoctaciones,7636985
03,Alicante/Alacant,2023,residentes_espana,viajeros,2438391
03,Alicante/Alacant,2023,residentes_extranjero,pernoctaciones,9657950
03,Alicante/Alacant,2023,residentes_extranjero,viajeros,2189594
03,Alicante/Alacant,2023,total,pernoctaciones,17294937
03,Alicante/Alacant,2023,total,viajeros,4627982
03,Alicante/Alacant,2024,residentes_espana,pernoctaciones,7713673
03,Alicante/Alacant,2024,residentes_espana,viajeros,2403927
03,Alicante/Alacant,2024,residentes_extranjero,pernoctaciones,10837541
03,Alicante/Alacant,2024,residentes_extranjero,viajeros,2440889
03,Alicante/Alacant,2024,total,pernoctaciones,18551215
03,Alicante/Alacant,2024,total,viajeros,4844818
03,Alicante/Alacant,2025,residentes_espana,pernoctaciones,7456812
03,Alicante/Alacant,2025,residentes_espana,viajeros,2429001
03,Alicante/Alacant,2025,residentes_extranjero,pernoctaciones,11476067
03,Alicante/Alacant,2025,residentes_extranjero,viajeros,2634352
03,Alicante/Alacant,2025,total,pernoctaciones,18932879
03,Alicante/Alacant,2025,total,viajeros,5063353
04,Almería,2015,residentes_espana,pernoctaciones,3583300
04,Almería,2015,residentes_espana,viajeros,1016722
04,Almería,2015,residentes_extranjero,pernoctaciones,1226613
04,Almería,2015,residentes_extranjero,viajeros,238201
04,Almería,2015,total,pernoctaciones,4809912
04,Almería,2015,total,viajeros,1254923
04,Almería,2016,residentes_espana,pernoctaciones,3816768
04,Almería,2016,residentes_espana,viajeros,1061681
04,Almería,2016,residentes_extranjero,pernoctaciones,1698367
04,Almería,2016,residentes_extranjero,viajeros,313928
04,Almería,2016,total,pernoctaciones,5515132
04,Almería,2016,total,viajeros,1375607
04,Almería,2017,residentes_espana,pernoctaciones,3625650
04,Almería,2017,residentes_espana,viajeros,1051823
04,Almería,2017,residentes_extranjero,pernoctaciones,1927167
04,Almería,2017,residentes_extranjero,viajeros,355400
04,Almería,2017,total,pernoctaciones,5552819
04,Almería,2017,total,viajeros,1407222
04,Almería,2018,residentes_espana,pernoctaciones,3789743
04,Almería,2018,residentes_espana,viajeros,1137121
04,Almería,2018,residentes_extranjero,pernoctaciones,1780686
04,Almería,2018,residentes_extranjero,viajeros,355766
04,Almería,2018,total,pernoctaciones,5570430
04,Almería,2018,total,viajeros,1492886
04,Almería,2019,residentes_espana,pernoctaciones,3760491
04,Almería,2019,residentes_espana,viajeros,1151028
04,Almería,2019,residentes_extranjero,pernoctaciones,1645014
04,Almería,2019,residentes_extranjero,viajeros,341883
04,Almería,2019,total,pernoctaciones,5405503
04,Almería,2019,total,viajeros,1492910
04,Almería,2020,residentes_espana,pernoctaciones,1350200
04,Almería,2020,residentes_espana,viajeros,476655
04,Almería,2020,residentes_extranjero,pernoctaciones,245205
04,Almería,2020,residentes_extranjero,viajeros,75527
04,Almería,2020,total,pernoctaciones,1595407
04,Almería,2020,total,viajeros,552182
04,Almería,2021,residentes_espana,pernoctaciones,2632004
04,Almería,2021,residentes_espana,viajeros,843715
04,Almería,2021,residentes_extranjero,pernoctaciones,467717
04,Almería,2021,residentes_extranjero,viajeros,132666
04,Almería,2021,total,pernoctaciones,3099721
04,Almería,2021,total,viajeros,976380
04,Almería,2022,residentes_espana,pernoctaciones,3491483
04,Almería,2022,residentes_espana,viajeros,1100004
04,Almería,2022,residentes_extranjero,pernoctaciones,1185759
04,Almería,2022,residentes_extranjero,viajeros,277106
04,Almería,2022,total,pernoctaciones,4677243
04,Almería,2022,total,viajeros,1377110
04,Almería,2023,residentes_espana,pernoctaciones,3598772
04,Almería,2023,residentes_espana,viajeros,1117611
04,Almería,2023,residentes_extranjero,pernoctaciones,1302160
04,Almería,2023,residentes_extranjero,viajeros,301633
04,Almería,2023,total,pernoctaciones,4900931
04,Almería,2023,total,viajeros,1419244
04,Almería,2024,residentes_espana,pernoctaciones,3788860
04,Almería,2024,residentes_espana,viajeros,1143600
04,Almería,2024,residentes_extranjero,pernoctaciones,1349042
04,Almería,2024,residentes_extranjero,viajeros,334793
04,Almería,2024,total,pernoctaciones,5137903
04,Almería,2024,total,viajeros,1478392
04,Almería,2025,residentes_espana,pernoctaciones,3952722
04,Almería,2025,residentes_espana,viajeros,1245967
04,Almería,2025,residentes_extranjero,pernoctaciones,1362179
04,Almería,2025,residentes_extranjero,viajeros,326016
04,Almería,2025,total,pernoctaciones,5314903
04,Almería,2025,total,viajeros,1571984
05,Ávila,2015,residentes_espana,pernoctaciones,481694
05,Ávila,2015,residentes_espana,viajeros,308737
05,Ávila,2015,residentes_extranjero,pernoctaciones,96874
05,Ávila,2015,residentes_extranjero,viajeros,53367
05,Ávila,2015,total,pernoctaciones,578568
05,Ávila,2015,total,viajeros,362103
05,Ávila,2016,residentes_espana,pernoctaciones,451313
05,Ávila,2016,residentes_espana,viajeros,292631
05,Ávila,2016,residentes_extranjero,pernoctaciones,73288
05,Ávila,2016,residentes_extranjero,viajeros,43672
05,Ávila,2016,total,pernoctaciones,524601
05,Ávila,2016,total,viajeros,336303
05,Ávila,2017,residentes_espana,pernoctaciones,522007
05,Ávila,2017,residentes_espana,viajeros,332649
05,Ávila,2017,residentes_extranjero,pernoctaciones,87812
05,Ávila,2017,residentes_extranjero,viajeros,57787
05,Ávila,2017,total,pernoctaciones,609820
05,Ávila,2017,total,viajeros,390437
05,Ávila,2018,residentes_espana,pernoctaciones,542092
05,Ávila,2018,residentes_espana,viajeros,351486
05,Ávila,2018,residentes_extranjero,pernoctaciones,73364
05,Ávila,2018,residentes_extranjero,viajeros,47159
05,Ávila,2018,total,pernoctaciones,615452
05,Ávila,2018,total,viajeros,398646
05,Ávila,2019,residentes_espana,pernoctaciones,550398
05,Ávila,2019,residentes_espana,viajeros,352255
05,Ávila,2019,residentes_extranjero,pernoctaciones,85744
05,Ávila,2019,residentes_extranjero,viajeros,52150
05,Ávila,2019,total,pernoctaciones,636142
05,Ávila,2019,total,viajeros,404407
05,Ávila,2021,residentes_espana,pernoctaciones,357479
05,Ávila,2021,residentes_espana,viajeros,218007
05,Ávila,2021,residentes_extranjero,pernoctaciones,35658
05,Ávila,2021,residentes_extranjero,viajeros,16818
05,Ávila,2021,total,pernoctaciones,393134
05,Ávila,2021,total,viajeros,234825
05,Ávila,2022,residentes_espana,pernoctaciones,480811
05,Ávila,2022,residentes_espana,viajeros,304308
05,Ávila,2022,residentes_extranjero,pernoctaciones,83827
05,Ávila,2022,residentes_extranjero,viajeros,40091
05,Ávila,2022,total,pernoctaciones,564637
05,Ávila,2022,total,viajeros,344402
05,Ávila,2023,residentes_espana,pernoctaciones,546983
05,Ávila,2023,residentes_espana,viajeros,341497
05,Ávila,2023,residentes_extranjero,pernoctaciones,92110
05,Ávila,2023,residentes_extranjero,viajeros,52311
05,Ávila,2023,total,pernoctaciones,639095
05,Ávila,2023,total,viajeros,393808
05,Ávila,2024,residentes_espana,pernoctaciones,545781
05,Ávila,2024,residentes_espana,viajeros,341591
05,Ávila,2024,residentes_extranjero,pernoctaciones,105610
05,Ávila,2024,residentes_extranjero,viajeros,63438
05,Ávila,2024,total,pernoctaciones,651392
05,Ávila,2024,total,viajeros,405027
05,Ávila,2025,residentes_espana,pernoctaciones,526032
05,Ávila,2025,residentes_espana,viajeros,328855
05,Ávila,2025,residentes_extranjero,pernoctaciones,100742
05,Ávila,2025,residentes_extranjero,viajeros,64609
05,Ávila,2025,total,pernoctaciones,626773
05,Ávila,2025,total,viajeros,393465
06,Badajoz,2015,residentes_espana,pernoctaciones,882706
06,Badajoz,2015,residentes_espana,viajeros,513772
06,Badajoz,2015,residentes_extranjero,pernoctaciones,156885
06,Badajoz,2015,residentes_extranjero,viajeros,117114
06,Badajoz,2015,total,pernoctaciones,1039593
06,Badajoz,2015,total,viajeros,630886
06,Badajoz,2016,residentes_espana,pernoctaciones,910203
06,Badajoz,2016,residentes_espana,viajeros,536662
06,Badajoz,2016,residentes_extranjero,pernoctaciones,146972
06,Badajoz,2016,residentes_extranjero,viajeros,107396
06,Badajoz,2016,total,pernoctaciones,1057176
06,Badajoz,2016,total,viajeros,644056
06,Badajoz,2017,residentes_espana,pernoctaciones,968565
06,Badajoz,2017,residentes_espana,viajeros,554816
06,Badajoz,2017,residentes_extranjero,pernoctaciones,175276
06,Badajoz,2017,residentes_extranjero,viajeros,130904
06,Badajoz,2017,total,pernoctaciones,1143840
06,Badajoz,2017,total,viajeros,685721
06,Badajoz,2018,residentes_espana,pernoctaciones,1042590
06,Badajoz,2018,residentes_espana,viajeros,598420
06,Badajoz,2018,residentes_extranjero,pernoctaciones,204069
06,Badajoz,2018,residentes_extranjero,viajeros,145594
06,Badajoz,2018,total,pernoctaciones,1246659
06,Badajoz,2018,total,viajeros,744015
06,Badajoz,2019,residentes_espana,pernoctaciones,1050785
