codigo_provincia,provincia,anio,mes,periodo,pernoctaciones_residentes_espana,viajeros_residentes_espana,pernoctaciones_residentes_extranjero,viajeros_residentes_extranjero,pernoctaciones_total,viajeros_total,estancia_media_total,estancia_media_residentes_espana,estancia_media_residentes_extranjero
01,Araba/Álava,2015,1,2015M01,25998,15153,8005,4313,34002,19465,1.7468276393526843,1.7156998614135814,1.8560166937166704
01,Araba/Álava,2015,2,2015M02,26015,15817,7993,3613,34008,19430,1.750283067421513,1.6447493203515204,2.2122889565458066
01,Araba/Álava,2015,3,2015M03,34922,20126,10202,5300,45124,25426,1.7747187917879337,1.7351684388353374,1.9249056603773584
01,Araba/Álava,2015,4,2015M04,34304,21162,12471,7005,46775,28167,1.6606312351333121,1.6210188072960967,1.7802997858672376
01,Araba/Álava,2015,5,2015M05,39373,22972,18325,10381,57698,33353,1.7299193475849248,1.713956120494515,1.7652441961275407
01,Araba/Álava,2015,6,2015M06,35822,22380,17354,9603,53176,31983,1.6626332739267735,1.6006255585344058,1.807143600958034
01,Araba/Álava,2015,7,2015M07,46464,26688,24101,15183,70566,41871,1.6853191946693415,1.7410071942446044,1.5873674504379898
01,Araba/Álava,2015,8,2015M08,64641,32488,28510,20611,93151,53099,1.7542891579879094,1.9896885003693672,1.383241958177672
01,Araba/Álava,2015,9,2015M09,46111,26699,18775,11525,64886,38224,1.697519882796149,1.7270684295291958,1.6290672451193058
01,Araba/Álava,2015,10,2015M10,46713,27116,15484,9175,62198,36291,1.713868452233336,1.722709839209323,1.6876294277929156
01,Araba/Álava,2015,11,2015M11,36562,21642,13111,6479,49673,28121,1.766402332776217,1.6894002402735422,2.0236147553634822
01,Araba/Álava,2015,12,2015M12,50776,27220,7160,4037,57936,31258,1.853477509757502,1.86539309331374,1.7735942531582858
01,Araba/Álava,2016,1,2016M01,28774,17797,8930,5229,37704,23026,1.6374533136454443,1.6167893465190764,1.7077835150124308
01,Araba/Álava,2016,2,2016M02,28122,17156,9085,4453,37207,21608,1.7219085523880044,1.639193285148053,2.040197619582304
