codigo_provincia,provincia,anio,mes,periodo,residencia,variable,valor
01,Araba/Álava,2015,1,2015M01,residentes_espana,pernoctaciones,25998
01,Araba/Álava,2015,1,2015M01,residentes_espana,viajeros,15153
01,Araba/Álava,2015,1,2015M01,residentes_extranjero,pernoctaciones,8005
01,Araba/Álava,2015,1,2015M01,residentes_extranjero,viajeros,4313
01,Araba/Álava,2015,1,2015M01,total,pernoctaciones,34002
01,Araba/Álava,2015,1,2015M01,total,viajeros,19465
01,Araba/Álava,2015,2,2015M02,residentes_espana,pernoctaciones,26015
01,Araba/Álava,2015,2,2015M02,residentes_espana,viajeros,15817
01,Araba/Álava,2015,2,2015M02,residentes_extranjero,pernoctaciones,7993
01,Araba/Álava,2015,2,2015M02,residentes_extranjero,viajeros,3613
01,Araba/Álava,2015,2,2015M02,total,pernoctaciones,34008
01,Araba/Álava,2015,2,2015M02,total,viajeros,19430
01,Araba/Álava,2015,3,2015M03,residentes_espana,pernoctaciones,34922
01,Araba/Álava,2015,3,2015M03,residentes_espana,viajeros,20126
01,Araba/Álava,2015,3,2015M03,residentes_extranjero,pernoctaciones,10202
01,Araba/Álava,2015,3,2015M03,residentes_extranjero,viajeros,5300
01,Araba/Álava,2015,3,2015M03,total,pernoctaciones,45124
01,Araba/Álava,2015,3,2015M03,total,viajeros,25426
01,Araba/Álava,2015,4,2015M04,residentes_espana,pernoctaciones,34304
01,Araba/Álava,2015,4,2015M04,residentes_espana,viajeros,21162
01,Araba/Álava,2015,4,2015M04,residentes_extranjero,pernoctaciones,12471
01,Araba/Álava,2015,4,2015M04,residentes_extranjero,viajeros,7005
01,Araba/Álava,2015,4,2015M04,total,pernoctaciones,46775
01,Araba/Álava,2015,4,2015M04,total,viajeros,28167
01,Araba/Álava,2015,5,2015M05,residentes_espana,pernoctaciones,39373
01,Araba/Álava,2015,5,2015M05,residentes_espana,viajeros,22972
01,Araba/Álava,2015,5,2015M05,residentes_extranjero,pernoctaciones,18325
01,Araba/Álava,2015,5,2015M05,residentes_extranjero,viajeros,10381
01,Araba/Álava,2015,5,2015M05,total,pernoctaciones,57698
01,Araba/Álava,2015,5,2015M05,total,viajeros,33353
01,Araba/Álava,2015,6,2015M06,residentes_espana,pernoctaciones,35822
01,Araba/Álava,2015,6,2015M06,residentes_espana,viajeros,22380
01,Araba/Álava,2015,6,2015M06,residentes_extranjero,pernoctaciones,17354
01,Araba/Álava,2015,6,2015M06,residentes_extranjero,viajeros,9603
01,Araba/Álava,2015,6,2015M06,total,pernoctaciones,53176
01,Araba/Álava,2015,6,2015M06,total,viajeros,31983
01,Araba/Álava,2015,7,2015M07,residentes_espana,pernoctaciones,46464
01,Araba/Álava,2015,7,2015M07,residentes_espana,viajeros,26688
01,Araba/Álava,2015,7,2015M07,residentes_extranjero,pernoctaciones,24101
01,Araba/Álava,2015,7,2015M07,residentes_extranjero,viajeros,15183
01,Araba/Álava,2015,7,2015M07,total,pernoctaciones,70566
01,Araba/Álava,2015,7,2015M07,total,viajeros,41871
01,Araba/Álava,2015,8,2015M08,residentes_espana,pernoctaciones,64641
01,Araba/Álava,2015,8,2015M08,residentes_espana,viajeros,32488
01,Araba/Álava,2015,8,2015M08,residentes_extranjero,pernoctaciones,28510
01,Araba/Álava,2015,8,2015M08,residentes_extranjero,viajeros,20611
01,Araba/Álava,2015,8,2015M08,total,pernoctaciones,93151
01,Araba/Álava,2015,8,2015M08,total,viajeros,53099
01,Araba/Álava,2015,9,2015M09,residentes_espana,pernoctaciones,46111
01,Araba/Álava,2015,9,2015M09,residentes_espana,viajeros,26699
01,Araba/Álava,2015,9,2015M09,residentes_extranjero,pernoctaciones,18775
01,Araba/Álava,2015,9,2015M09,residentes_extranjero,viajeros,11525
01,Araba/Álava,2015,9,2015M09,total,pernoctaciones,64886
01,Araba/Álava,2015,9,2015M09,total,viajeros,38224
01,Araba/Álava,2015,10,2015M10,residentes_espana,pernoctaciones,46713
01,Araba/Álava,2015,10,2015M10,residentes_espana,viajeros,27116
01,Araba/Álava,2015,10,2015M10,residentes_extranjero,pernoctaciones,15484
01,Araba/Álava,2015,10,2015M10,residentes_extranjero,viajeros,9175
01,Araba/Álava,2015,10,2015M10,total,pernoctaciones,62198
01,Araba/Álava,2015,10,2015M10,total,viajeros,36291
01,Araba/Álava,2015,11,2015M11,residentes_espana,pernoctaciones,36562
01,Araba/Álava,2015,11,2015M11,residentes_espana,viajeros,21642
01,Araba/Álava,2015,11,2015M11,residentes_extranjero,pernoctaciones,13111
01,Araba/Álava,2015,11,2015M11,residentes_extranjero,viajeros,6479
01,Araba/Álava,2015,11,2015M11,total,pernoctaciones,49673
01,Araba/Álava,2015,11,2015M11,total,viajeros,28121
01,Araba/Álava,2015,12,2015M12,residentes_espana,pernoctaciones,50776
01,Araba/Álava,2015,12,2015M12,residentes_espana,viajeros,27220
