codigo_provincia,provincia,anio,mes,periodo,establecimientos_abiertos_estimados,grado_ocupacion_habitaciones_pct,grado_ocupacion_plazas_fin_semana_pct,grado_ocupacion_plazas_pct,habitaciones_estimadas,personal_empleado,plazas_estimadas
01,Araba/Álava,2025,12,2025M12,68.0,58.46,58.55,47.38,2617.0,436.0,5293.0
02,Albacete,2025,12,2025M12,123.0,34.08,33.36,26.24,3019.0,471.0,5876.0
03,Alicante/Alacant,2025,12,2025M12,489.0,54.16,52.65,46.42,32608.0,8826.0,69527.0
04,Almería,2025,12,2025M12,140.0,36.72,27.29,26.83,5670.0,1248.0,13495.0
05,Ávila,2025,12,2025M12,91.0,32.44,42.44,29.91,2217.0,577.0,4591.0
06,Badajoz,2025,12,2025M12,160.0,36.26,35.82,30.84,4382.0,883.0,8597.0
07,"Balears, Illes",2025,12,2025M12,181.0,49.37,45.94,41.64,12066.0,5025.0,24820.0
08,Barcelona,2025,12,2025M12,1055.0,60.87,58.52,51.81,61109.0,20299.0,124779.0
09,Burgos,2025,12,2025M12,155.0,46.54,49.35,39.47,4090.0,1014.0,7786.0
10,Cáceres,2025,12,2025M12,182.0,34.26,43.18,29.69,4352.0,1227.0,8436.0
11,Cádiz,2025,12,2025M12,286.0,43.06,45.9,35.67,11892.0,4429.0,25709.0
12,Castellón/Castelló,2025,12,2025M12,146.0,40.23,44.92,34.01,4566.0,882.0,9502.0
13,Ciudad Real,2025,12,2025M12,133.0,33.87,32.33,26.07,3246.0,619.0,6374.0
14,Córdoba,2025,12,2025M12,162.0,51.41,54.25,44.1,5599.0,1339.0,11255.0
15,"Coruña, A",2025,12,2025M12,452.0,38.61,42.85,32.4,10972.0,2453.0,20705.0
16,Cuenca,2025,12,2025M12,120.0,28.82,34.06,23.76,2364.0,457.0,4810.0
17,Girona,2025,12,2025M12,358.0,43.01,48.22,36.75,11201.0,3546.0,24170.0
18,Granada,2025,12,2025M12,368.0,53.01,58.39,47.11,13676.0,3451.0,29373.0
19,Guadalajara,2025,12,2025M12,92.0,35.6,35.39,29.13,2052.0,448.0,4237.0
20,Gipuzkoa,2025,12,2025M12,269.0,52.58,57.49,46.35,6601.0,1975.0,12937.0
21,Huelva,2025,12,2025M12,95.0,37.39,32.59,28.76,2842.0,752.0,6190.0
22,Huesca,2025,12,2025M12,240.0,37.64,43.96,35.02,6312.0,1596.0,13571.0
23,Jaén,2025,12,2025M12,154.0,36.65,40.29,30.86,3958.0,925.0,7794.0
24,León,2025,12,2025M12,222.0,36.79,39.65,29.76,4539.0,871.0,8455.0
25,Lleida,2025,12,2025M12,281.0,42.12,43.32,36.84,7716.0,1988.0,17150.0
26,"Rioja, La",2025,12,2025M12,123.0,41.82,53.59,36.54,3285.0,772.0,6451.0
27,Lugo,2025,12,2025M12,208.0,30.01,29.72,24.62,3759.0,845.0,7204.0
28,Madrid,2025,12,2025M12,1211.0,68.11,68.52,58.34,62559.0,16870.0,125060.0
29,Málaga,2025,12,2025M12,521.0,53.63,51.03,43.91,31209.0,11653.0,69864.0
30,Murcia,2025,12,2025M12,146.0,46.05,49.79,37.57,7367.0,1600.0,14816.0
31,Navarra,2025,12,2025M12,236.0,41.3,42.05,33.89,5255.0,1464.0,10653.0
32,Ourense,2025,12,2025M12,151.0,31.77,36.23,27.65,2930.0,645.0,5503.0
33,Asturias,2025,12,2025M12,345.0,41.06,45.77,34.1,9042.0,2318.0,17882.0
34,Palencia,2025,12,2025M12,50.0,39.5,32.72,29.29,1306.0,234.0,2417.0
35,"Palmas, Las",2025,12,2025M12,338.0,82.45,70.53,69.99,70716.0,36839.0,164256.0
36,Pontevedra,2025,12,2025M12,304.0,42.11,49.34,38.53,7650.0,2096.0,14758.0
37,Salamanca,2025,12,2025M12,173.0,43.26,51.73,39.1,5114.0,1058.0,10235.0
38,Santa Cruz de Tenerife,2025,12,2025M12,255.0,80.16,69.9,70.39,43902.0,24788.0,101360.0
39,Cantabria,2025,12,2025M12,239.0,37.77,46.41,33.02,5748.0,1532.0,11496.0
40,Segovia,2025,12,2025M12,117.0,45.43,50.46,38.05,2974.0,638.0,5900.0
41,Sevilla,2025,12,2025M12,439.0,59.87,61.73,53.63,17972.0,5065.0,36460.0
42,Soria,2025,12,2025M12,86.0,31.09,36.42,26.76,1640.0,438.0,3173.0
43,Tarragona,2025,12,2025M12,151.0,42.66,41.5,35.03,6053.0,1807.0,15272.0
44,Teruel,2025,12,2025M12,187.0,33.8,37.9,29.13,3194.0,817.0,6587.0
45,Toledo,2025,12,2025M12,186.0,44.17,52.34,37.32,5042.0,1107.0,10122.0
46,Valencia/València,2025,12,2025M12,362.0,58.91,55.75,46.55,16826.0,4593.0,34084.0
47,Valladolid,2025,12,2025M12,99.0,47.65,49.63,40.62,3737.0,1100.0,7190.0
48,Bizkaia,2025,12,2025M12,204.0,52.15,53.69,43.71,8074.0,2109.0,15650.0
49,Zamora,2025,12,2025M12,73.0,30.74,34.35,25.02,1378.0,311.0,2700.0
50,Zaragoza,2025,12,2025M12,189.0,52.19,56.34,43.86,7503.0,1492.0,14407.0
51,Ceuta,2025,12,2025M12,11.0,36.48,34.07,34.68,422.0,164.0,772.0
52,Melilla,2025,12,2025M12,8.0,49.76,46.29,36.56,434.0,153.0,845.0
