codigo_provincia,provincia,tamano_hogar,anio,numero_hogares,n_trimestres_disponibles
02,Albacete,1,2021,42.54,4
02,Albacete,1,2022,43.66,4
02,Albacete,1,2023,44.83,4
02,Albacete,1,2024,45.57,4
02,Albacete,1,2025,46.44,4
02,Albacete,2,2021,40.06,4
02,Albacete,2,2022,41.07,4
02,Albacete,2,2023,42.21,4
02,Albacete,2,2024,43.04,4
02,Albacete,2,2025,43.72,4
02,Albacete,3,2021,31.07,4
02,Albacete,3,2022,31.03,4
02,Albacete,3,2023,31.1,4
02,Albacete,3,2024,31.09,4
02,Albacete,3,2025,31.07,4
02,Albacete,4 y más,2021,38.31,4
02,Albacete,4 y más,2022,37.61,4
02,Albacete,4 y más,2023,37.06,4
02,Albacete,4 y más,2024,36.69,4
02,Albacete,4 y más,2025,36.43,4
02,Albacete,Total,2021,151.98,4
02,Albacete,Total,2022,153.36,4
02,Albacete,Total,2023,155.19,4
02,Albacete,Total,2024,156.39,4
02,Albacete,Total,2025,157.65,4
03,Alicante/Alacant,1,2021,214.12,4
03,Alicante/Alacant,1,2022,222.67,4
03,Alicante/Alacant,1,2023,227.68,4
03,Alicante/Alacant,1,2024,230.87,4
03,Alicante/Alacant,1,2025,235.44,4
03,Alicante/Alacant,2,2021,225.25,4
03,Alicante/Alacant,2,2022,233.22,4
03,Alicante/Alacant,2,2023,238.6,4
03,Alicante/Alacant,2,2024,242.36,4
03,Alicante/Alacant,2,2025,246.96,4
03,Alicante/Alacant,3,2021,148.3,4
03,Alicante/Alacant,3,2022,149.99,4
03,Alicante/Alacant,3,2023,152.95,4
03,Alicante/Alacant,3,2024,155.76,4
03,Alicante/Alacant,3,2025,158.78,4
03,Alicante/Alacant,4 y más,2021,173.19,4
03,Alicante/Alacant,4 y más,2022,173.47,4
03,Alicante/Alacant,4 y más,2023,176.61,4
03,Alicante/Alacant,4 y más,2024,180.14,4
03,Alicante/Alacant,4 y más,2025,183.79,4
03,Alicante/Alacant,Total,2021,760.87,4
03,Alicante/Alacant,Total,2022,779.34,4
03,Alicante/Alacant,Total,2023,795.85,4
03,Alicante/Alacant,Total,2024,809.13,4
03,Alicante/Alacant,Total,2025,824.98,4
04,Almería,1,2021,74.64,4
04,Almería,1,2022,77.64,4
04,Almería,1,2023,79.77,4
04,Almería,1,2024,80.51,4
04,Almería,1,2025,82.28,4
04,Almería,2,2021,73.81,4
04,Almería,2,2022,76.39,4
04,Almería,2,2023,78.4,4
04,Almería,2,2024,79.7,4
04,Almería,2,2025,81.43,4
04,Almería,3,2021,55.27,4
04,Almería,3,2022,56.06,4
04,Almería,3,2023,56.6,4
