codigo_serie,numero_secuencial,alias_serie,descripcion_serie,unidad,frecuencia,fecha,anio,mes,valor
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2015-01-01,2015,1,90.27
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2015-02-01,2015,2,90.3
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2015-03-01,2015,3,90.42
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2015-04-01,2015,4,93.74
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2015-05-01,2015,5,93.73
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2015-06-01,2015,6,93.69
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2015-07-01,2015,7,90.47
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2015-08-01,2015,8,90.2
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2015-09-01,2015,9,90.11
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2015-10-01,2015,10,93.17
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2015-11-01,2015,11,92.84
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2015-12-01,2015,12,92.71
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2016-01-01,2016,1,88.58
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2016-02-01,2016,2,88.48
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2016-03-01,2016,3,88.59
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2016-04-01,2016,4,92.35
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2016-05-01,2016,5,92.8
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2016-06-01,2016,6,92.89
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2016-07-01,2016,7,89.89
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2016-08-01,2016,8,89.69
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2016-09-01,2016,9,89.65
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2016-10-01,2016,10,92.92
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2016-11-01,2016,11,93.26
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2016-12-01,2016,12,93.43
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2017-01-01,2017,1,89.92
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2017-02-01,2017,2,90.15
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2017-03-01,2017,3,90.21
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2017-04-01,2017,4,93.74
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2017-05-01,2017,5,93.8
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2017-06-01,2017,6,93.78
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2017-07-01,2017,7,91.06
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2017-08-01,2017,8,91.06
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2017-09-01,2017,9,91.28
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2017-10-01,2017,10,94.78
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2017-11-01,2017,11,94.69
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2017-12-01,2017,12,94.94
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2018-01-01,2018,1,91.81
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2018-02-01,2018,2,91.99
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2018-03-01,2018,3,92.11
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2018-04-01,2018,4,95.28
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2018-05-01,2018,5,95.38
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2018-06-01,2018,6,95.46
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2018-07-01,2018,7,92.62
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2018-08-01,2018,8,92.55
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2018-09-01,2018,9,92.49
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2018-10-01,2018,10,96.56
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2018-11-01,2018,11,96.55
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2018-12-01,2018,12,96.43
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2019-01-01,2019,1,92.63
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2019-02-01,2019,2,92.83
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2019-03-01,2019,3,92.91
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2019-04-01,2019,4,96.25
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2019-05-01,2019,5,95.98
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2019-06-01,2019,6,95.97
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2019-07-01,2019,7,93.25
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2019-08-01,2019,8,93.24
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2019-09-01,2019,9,93.08
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2019-10-01,2019,10,97.07
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2019-11-01,2019,11,96.85
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2019-12-01,2019,12,96.87
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2020-01-01,2020,1,92.7
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2020-02-01,2020,2,92.69
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2020-03-01,2020,3,92.46
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2020-04-01,2020,4,93.41
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2020-05-01,2020,5,93.26
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2020-06-01,2020,6,93.25
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2020-07-01,2020,7,92.69
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2020-08-01,2020,8,92.64
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2020-09-01,2020,9,92.81
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2020-10-01,2020,10,97.59
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2020-11-01,2020,11,97.68
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2020-12-01,2020,12,98.02
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2021-01-01,2021,1,94.24
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2021-02-01,2021,2,95.01
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2021-03-01,2021,3,95.62
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2021-04-01,2021,4,99.61
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2021-05-01,2021,5,100.25
