codigo_serie,numero_secuencial,alias_serie,descripcion_serie,unidad,frecuencia
DHIENA2025IPVUVT_TTVA.T,5110743,SI_1_5.1,Estadísticas generales. IPV. Tasa de variación interanual.,Porcentaje,TRIMESTRAL
DHIENA2025IPVUVT_VVN_TTVA.T,5110764,SI_1_5.2,Estadísticas generales. IPV. Vivienda nueva. Tasa de variación interanual.,Porcentaje,TRIMESTRAL
DHIENA2025IPVUVT_VVU_TTVA.T,5110766,SI_1_5.3,Estadísticas generales. IPV. Vivienda usada. Tasa de variación interanual.,Porcentaje,TRIMESTRAL
DHIVTNOAPLPMMUVT_RLI.T,2904387,SI_1_5.4,Estadísticas generales. Edificación y vivienda. Precio medio m2 de viviendas libres tasadas. Total nacional,Euros por metro cuadrado,TRIMESTRAL
DHIVTNOAPLPMMUVT_VVN_RLI.T,2904388,SI_1_5.5,Estadísticas generales. Edificación y vivienda. Precio medio m2 de viviendas libres tasadas. Hasta 5 años,Euros por metro cuadrado,TRIMESTRAL
DHIVTNOAPLPMMUVT_VVU_RLI.T,2904389,SI_1_5.6,Estadísticas generales. Edificación y vivienda. Precio medio m2 de viviendas libres tasadas. Mas de 5 años,Euros por metro cuadrado,TRIMESTRAL
D_TKB561M0_2005,1589558,SI_1_5.7,Estadísticas generales. Edificación y vivienda. Precio medio m2 vivienda libre tasadas. Madrid,Euros por metro cuadrado,TRIMESTRAL
D_TKB561B0_2005,1589535,SI_1_5.8,Estadísticas generales. Edificación y vivienda. Precio medio m2 vivienda libre tasadas. Barcelona,Euros por metro cuadrado,TRIMESTRAL
D_TKB561CI_2005,1589584,SI_1_5.9,"Estadísticas generales. Edificación y vivienda. Precio medio m2 vivienda libre tasadas. Provincias costa este (excepto Barcelona), costa sur e islas",Euros por metro cuadrado,TRIMESTRAL
DHISTNOAPLPMMUVT.S,2904392,SI_1_5.10,Estadísticas generales. Edificación y vivienda. Precio de la vivienda. Precio del metro cuadrado. Según sociedad de tasación,Euros por metro cuadrado,SEMESTRAL
D_1KB56100_FOTO,1590003,SI_1_5.11,Estadísticas generales. Edificación y vivienda. Precio de la vivienda. Viviendas de segunda mano. Precio metro cuadrado. Fotocasa,Euros por metro cuadrado,MENSUAL
D_1KB56100_IDEA,2924738,SI_1_5.12,Estadísticas generales. Edificación y vivienda. Precio de la vivienda. Viviendas de segunda mano. Precio metro cuadrado. Idealista,Euros por metro cuadrado,MENSUAL
DIP2025LTVA_C0411.M,5044126,SI_1_5.13,Estadísticas Generales. IPC. Pagos reales de alquiler efectuados por los inquilinos por la residencia principal. Tasa de variación interanual,Porcentaje,MENSUAL
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL
DSPC102020PP51000_ES1_AAN1111_TSCTVA.T,4664001,SI_1_5.15,Estadísticas Generales. Cuentas Nacionales. SEC2010. Año base 2020. Deflactor implícito. Formación bruta de capital fijo. Economía en su conjunto. Activos materiales. Viviendas. Datos corregidos de efectos estacionales y de calendario. Tasa de variación interanual. TRIMESTRAL,Porcentaje,TRIMESTRAL
D_1KB52212,314363,SI_1_5.16,Estadísticas generales. Edificación y vivienda. Visados obra nueva. Viviendas,Viviendas,MENSUAL
D_1KB02000,247506,SI_1_5.17,Estadísticas generales. Edificación y vivienda. Viviendas iniciadas. Total,Viviendas,MENSUAL
D_1KB02100,247507,SI_1_5.18,Estadísticas generales. Edificación y vivienda. Viviendas iniciadas. Libres,Viviendas,MENSUAL
D_1KB02200,247508,SI_1_5.19,Estadísticas generales. Edificación y vivienda. Viviendas iniciadas. Protegidas,Viviendas,MENSUAL
D_1KB0220R,853230,SI_1_5.20,Estadísticas generales. Edificación y vivienda. Viviendas iniciadas. Protegidas (acumuladas 12 meses) en % del total,Porcentaje,MENSUAL
D_1KB02000_M0,1598848,SI_1_5.21,Estadísticas generales. Edificación y vivienda. Viviendas iniciadas. Total. Madrid,Viviendas,MENSUAL
D_1KB02000_B0,1598825,SI_1_5.22,Estadísticas generales. Edificación y vivienda. Viviendas iniciadas. Total. Barcelona,Viviendas,MENSUAL
D_1KB02000_CI,1590000,SI_1_5.23,"Estadísticas generales. Edificación y vivienda. Viviendas iniciadas. Provincias costa este (excepto Barcelona), costa sur e islas",Viviendas,MENSUAL
DHINONOAPLNCVUVT.M,2924742,SI_1_5.24,Estadísticas generales. Edificación y vivienda. Transacciones de compraventa. Ante notario. Viviendas. Según Centro de Información del Notariado.,Viviendas,MENSUAL
D_TKB56900,1495903,SI_1_5.25,Estadísticas generales. Edificación y vivienda. Transacciones de compraventa. Ante notario. Total,Número de transacciones,TRIMESTRAL
D_TKB56921,1495923,SI_1_5.26,Estadísticas generales. Edificación y vivienda. Transacciones de compraventa. Ante notario. Vivienda nueva,Número de transacciones,TRIMESTRAL
D_TKB56925,1495924,SI_1_5.27,Estadísticas generales. Edificación y vivienda. Transacciones de compraventa. Ante notario. Vivienda de segunda mano,Número de transacciones,TRIMESTRAL
D_TKB569M0,1589771,SI_1_5.28,Estadísticas generales. Edificación y vivienda. Transacciones de compraventa. Ante notario. Total. Madrid,Número de transacciones,TRIMESTRAL
D_TKB569B0,1589758,SI_1_5.29,Estadísticas generales. Edificación y vivienda. Transacciones de compraventa. Ante notario. Total. Barcelona,Número de transacciones,TRIMESTRAL
D_TKB569CI,1589780,SI_1_5.30,"Estadísticas generales. Edificación y vivienda. Transacciones de compraventa. Ante notario. Total. Provincias de la costa este (exc. Barcelona), costa sur e islas",Número de transacciones,TRIMESTRAL
DHITINOAPLNCVUVT_RI.M,1638272,SI_1_5.31,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas,Viviendas,MENSUAL
DHITINOAPLNCVUVT_VVN_RI.M,1638273,SI_1_5.32,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivienda nueva,Viviendas,MENSUAL
DHITINOAPLNCVUVT_VVU_RI.M,1638274,SI_1_5.33,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivienda usada,Viviendas,MENSUAL
DSPC102020VP51000_ES1_AAN1111_TSC.T,4663822,SI_1_5.34,Estadísticas Generales. Cuentas Nacionales. SEC2010. Año base 2020. Índices de volumen encadenados. Formación bruta de capital fijo. Economía en su conjunto. Activos materiales. Viviendas. Datos corregidos de efectos estacionales y de calendario. TRIMESTRAL,Base 2020 = 100,TRIMESTRAL
DEPA202110_ES25.T,4637788,SI_1_5.35,Estadísticas generales. INE. EPA. Base 2021. Población de 25 o más años. Total Nacional. Ambos sexos. Trimestral,Miles de personas,TRIMESTRAL
DEPA202100.T,4635945,SI_1_5.36,Estadísticas generales. INE. EPA. Base 2021. Hogares. Total Nacional. Ambos sexos. Trimestral,Miles de personas,TRIMESTRAL
DHIRINOAPLDMDUVT.T,1590216,SI_1_5.37,Estadísticas generales. Edificación y vivienda. Accesibilidad a la vivienda. Plazo medio de las hipotecas. Meses,Meses,TRIMESTRAL
DHIRINOAPLCPRUVT_TRPV.T,1590213,SI_1_5.38,Estadísticas generales. Edificación y vivienda. Accesibilidad a la vivienda. Relación Préstamo Valor de transacción (RPV),Porcentaje,TRIMESTRAL
DHIRINOAPLCPRUVT_TPRPVS81.T,1590214,SI_1_5.39,Estadísticas generales. Edificación y vivienda. Accesibilidad a la vivienda. Porcentaje de préstamos con RPV>80%,Porcentaje,TRIMESTRAL
D_IMVTIPLV,854087,SI_1_5.40,Tipo de interés. Tipo de los préstamos libres para adquisición de vivienda de hogares,Porcentaje,MENSUAL
DEPA202130.T,4634189,SI_1_5.41,Estadísticas Generales. EPA. Base 2021. Total Nacional. Ocupados. Ambos sexos. 16 y más años. Total CNAE,Miles de personas,TRIMESTRAL
DEPA202140_E20A29_TSPA.T,4637761,SI_1_5.42,Estadísticas Generales. EPA. Base 2021. Parados. Ambos sexos. De 20 a 29 años. Tasa de paro,Porcentaje,TRIMESTRAL
D_TKB57110_IPV,2453513,SI_1_5.43,Estadísticas generales. Edificación y vivienda. Accesibilidad a la vivienda. Precio de la vivienda/Renta bruta por hogar,Años,TRIMESTRAL
D_TKB57210_IPV,2453514,SI_1_5.44,Estadísticas generales. Edificación y vivienda. Accesibilidad a la vivienda. Esfuerzo teórico anual sin deducciones,Porcentaje,TRIMESTRAL
D_IMVAFNHOGT,854419,SI_1_5.45,Riqueza financiera neta de los hogares. Tasa interanual.,Porcentaje,TRIMESTRAL
D_IMVAFNHOGPH,4186167,SI_1_5.46,Estadísticas Generales. Contabilidad Nacional. Año Base 2020. Riqueza financiera neta de los hogares e ISFLSH como proporción de la renta disponible bruta,Porcentaje,TRIMESTRAL
D_TKB070C0_ESTI,2453523,SI_1_5.47,Estadísticas generales. Riqueza inmobiliaria residencial de los hogares,Millones de euros,TRIMESTRAL
D_TKB070CR_RDB,4186168,SI_1_5.48,Estadísticas Generales. Contabilidad Nacional. Año Base 2020. Riqueza inmobiliaria de los hogares e ISFLSH como proporción de la renta disponible bruta,Porcentaje,TRIMESTRAL
D_TKB070CT_RDB,4186235,SI_1_5.49,Estadísticas Generales. Contabilidad Nacional. Año Base 2020. Riqueza total de los hogares e ISFLSH como proporción de la renta disponible bruta,Porcentaje,TRIMESTRAL
D_IMVCOSRTT,854421,SI_1_5.50,Crédito total al sector privado no financiero.Tasa interanual,Porcentaje,MENSUAL
D_IMVCHIPTT_EDT,4186236,SI_1_5.51,Crédito con garantía inmobiliaria para el total de la economía. Tasa de variación interanual,Porcentaje,TRIMESTRAL
D_IMVCHIPTP_EDT,4186237,SI_1_5.52,Crédito con garantía inmobiliaria para el total de la economía. Como porcentaje del PIBpm corriente,Porcentaje,TRIMESTRAL
D_IMVCHIPTT_ECAI,4186238,SI_1_5.53,Crédito con garantía inmobiliaria para los sectores de la construcción y las actividades inmobiliarias. Tasa de variación interanual,Porcentaje,TRIMESTRAL
D_IMVCHIPTP_ECAI,4186239,SI_1_5.54,Crédito con garantía inmobiliaria para los sectores de la construcción y las actividades inmobiliarias. Como porcentaje del PIBpm corriente,Porcentaje,TRIMESTRAL
D_IMVCHOGVT,902857,SI_1_5.55,Crédito hipotecario. Crédito a los hogares para adquisición de viviendas. Tasa Interanual,Porcentaje,MENSUAL
D_IMVCHOGVP,854425,SI_1_5.56,Crédito hipotecario. Crédito a los hogares para adquisición de viviendas. Saldo en % del PIB,Porcentaje,TRIMESTRAL
DHIBENOAPLNCGFRU_GPH.M,4202907,SI_1_5.57,Estadísticas Generales. Número de créditos con garantía hipotecaria. Total de fincas rústicas y urbanas. Mensual,Créditos,MENSUAL
D_IMVCHIPTT_ICTN,4202908,SI_1_5.58,"Préstamos inmobiliarios nuevos. Concedidos por entidades de depósito (Bancos, Cajas de Ahorro y Cooperativas de Crédito). Importe de las nuevas operaciones",Miles de euros,MENSUAL
D_IMVCDHOGR,854134,SI_1_5.59,Crédito hipotecario. Créditos dudosos a los hogares para adquisicion de viviendas. Ratio de dudosidad,Porcentaje,TRIMESTRAL
DSI.S122.RR._Z._Z._Z.PRT.T,4641973,SI_1_5.60,"Indicadores de solidez financiera. Proporción de préstamos para vivienda sobre el total de préstamos brutos. Sociedades de depósito, excepto banco central. Proporción sobre el total",Porcentaje,TRIMESTRAL
DSI.S122.CR._Z._Z._Z.PRT.T,4641974,SI_1_5.61,"Indicadores de solidez financiera. Proporción de préstamos para inmuebles comerciales sobre el total de préstamos brutos. Sociedades de depósito, excepto banco central. Proporción sobre el total",Porcentaje,TRIMESTRAL
D_TKR600RV_VIV_IPV,2453753,SI_1_5.62,Estadísticas generales. Edificación y vivienda. Rentabilidad anual de la vivienda,Porcentaje,TRIMESTRAL
D_TKR60REA_VIV_IPV,2453754,SI_1_5.63,Estadísticas generales. Edificación y vivienda. Rentabilidad de la vivienda bruta por alquiler. Acum. en los doce últimos meses,Porcentaje,TRIMESTRAL
