codigo_serie,numero_secuencial,alias_serie,descripcion_serie,unidad,frecuencia,fecha,anio,mes,valor
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2005-01-01,2005,1,74.46
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2005-02-01,2005,2,74.7
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2005-03-01,2005,3,74.79
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2005-04-01,2005,4,77.11
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2005-05-01,2005,5,77.25
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2005-06-01,2005,6,77.31
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2005-07-01,2005,7,75.9
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2005-08-01,2005,8,75.9
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2005-09-01,2005,9,76.15
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2005-10-01,2005,10,78.71
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2005-11-01,2005,11,78.9
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2005-12-01,2005,12,78.98
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2006-01-01,2006,1,77.12
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2006-02-01,2006,2,77.55
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2006-03-01,2006,3,77.94
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2006-04-01,2006,4,80.53
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2006-05-01,2006,5,81.09
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2006-06-01,2006,6,81.4
DCIIOM2021IND_D09F412.M,4638319,SI_1_5.14,Estadísticas generales. Índice costes construcción. Ponderado de mano de obra y consumo de materiales. Base 2021.Construcción de edificios,Base 2021 = 100,MENSUAL,2006-07-01,2006,7,80.3
