codigo_ccaa,ccaa,anio,ipv_general,ipv_vivienda_nueva,ipv_segunda_mano,ipv_general_variacion_pct,ipv_vivienda_nueva_variacion_pct,ipv_segunda_mano_variacion_pct
01,Andalucía,2015,55.815,45.516,57.511,,,
01,Andalucía,2016,57.401,48.74,58.814,2.842,7.083,2.266
01,Andalucía,2017,59.22,50.721,60.634,3.169,4.064,3.095
01,Andalucía,2018,62.162,53.571,63.611,4.968,5.619,4.91
01,Andalucía,2019,65.504,57.668,66.872,5.376,7.648,5.126
01,Andalucía,2020,67.032,61.912,67.969,2.333,7.359,1.64
01,Andalucía,2021,70.103,66.011,70.917,4.581,6.621,4.337
01,Andalucía,2022,76.347,72.393,77.123,8.907,9.668,8.751
01,Andalucía,2023,80.133,77.634,80.538,4.959,7.24,4.428
01,Andalucía,2024,88.451,88.538,88.435,10.38,14.045,9.805
01,Andalucía,2025,100.0,100.0,100.0,13.057,12.946,13.077
02,Aragón,2015,58.078,54.081,59.299,,,
02,Aragón,2016,59.18,56.301,60.153,1.897,4.105,1.44
02,Aragón,2017,60.859,58.113,61.843,2.837,3.218,2.81
02,Aragón,2018,63.792,59.696,65.055,4.819,2.724,5.194
02,Aragón,2019,67.669,63.879,68.849,6.078,7.007,5.832
02,Aragón,2020,69.396,66.446,70.308,2.552,4.019,2.119
02,Aragón,2021,72.028,68.59,73.095,3.793,3.227,3.964
02,Aragón,2022,76.64,73.802,77.494,6.403,7.599,6.018
02,Aragón,2023,79.633,80.847,79.394,3.905,9.546,2.452
02,Aragón,2024,87.72,91.036,86.963,10.155,12.603,9.533
02,Aragón,2025,100.0,100.0,100.0,13.999,9.847,14.991
03,"Asturias, Principado de",2015,62.438,55.74,63.492,,,
03,"Asturias, Principado de",2016,63.323,58.176,64.015,1.417,4.37,0.824
03,"Asturias, Principado de",2017,64.021,58.881,64.768,1.102,1.212,1.176
03,"Asturias, Principado de",2018,66.261,62.084,66.856,3.499,5.44,3.224
03,"Asturias, Principado de",2019,69.031,65.777,69.487,4.18,5.948,3.935
03,"Asturias, Principado de",2020,71.224,70.016,71.388,3.177,6.445,2.736
03,"Asturias, Principado de",2021,74.18,71.905,74.534,4.15,2.698,4.407
03,"Asturias, Principado de",2022,78.785,76.947,79.038,6.208,7.012,6.043
03,"Asturias, Principado de",2023,81.732,84.2,81.321,3.741,9.426,2.888
03,"Asturias, Principado de",2024,88.097,90.459,87.689,7.788,7.433,7.831
03,"Asturias, Principado de",2025,100.0,100.0,100.0,13.511,10.547,14.039
04,"Balears, Illes",2015,51.25,43.088,52.198,,,
04,"Balears, Illes",2016,54.415,45.041,55.531,6.176,4.533,6.385
04,"Balears, Illes",2017,58.747,48.281,60.01,7.961,7.193,8.066
04,"Balears, Illes",2018,63.133,51.473,64.536,7.466,6.611,7.542
04,"Balears, Illes",2019,66.932,55.511,68.328,6.017,7.845,5.876
04,"Balears, Illes",2020,69.648,61.375,70.754,4.058,10.564,3.551
04,"Balears, Illes",2021,73.699,65.876,74.857,5.816,7.334,5.799
04,"Balears, Illes",2022,80.48,72.364,81.694,9.201,9.849,9.133
04,"Balears, Illes",2023,83.765,79.09,84.452,4.082,9.295,3.376
04,"Balears, Illes",2024,89.3,88.177,89.425,6.608,11.489,5.889
04,"Balears, Illes",2025,100.0,100.0,100.0,11.982,13.408,11.826
05,Canarias,2015,57.3,49.59,58.056,,,
05,Canarias,2016,59.216,53.066,59.734,3.344,7.009,2.89
05,Canarias,2017,61.82,55.279,62.393,4.397,4.17,4.451
05,Canarias,2018,64.908,57.793,65.532,4.995,4.548,5.031
05,Canarias,2019,67.377,60.842,67.948,3.804,5.276,3.687
05,Canarias,2020,68.164,64.277,68.507,1.168,5.646,0.823
05,Canarias,2021,72.079,67.345,72.499,5.744,4.773,5.827
05,Canarias,2022,78.638,73.783,79.068,9.1,9.56,9.061
05,Canarias,2023,82.804,81.374,82.913,5.298,10.288,4.863
05,Canarias,2024,89.442,89.839,89.384,8.017,10.403,7.805
05,Canarias,2025,100.0,100.0,100.0,11.804,11.31,11.877
06,Cantabria,2015,57.201,52.799,57.886,,,
06,Cantabria,2016,58.658,54.9,59.157,2.547,3.979,2.196
06,Cantabria,2017,61.024,56.331,61.766,4.034,2.607,4.41
06,Cantabria,2018,64.601,58.424,65.624,5.862,3.716,6.246
06,Cantabria,2019,66.595,61.311,67.462,3.087,4.941,2.801
06,Cantabria,2020,67.399,64.754,67.835,1.207,5.616,0.553
06,Cantabria,2021,71.102,67.64,71.686,5.494,4.457,5.677
06,Cantabria,2022,77.989,73.9,78.674,9.686,9.255,9.748
06,Cantabria,2023,82.002,82.438,81.976,5.146,11.553,4.197
06,Cantabria,2024,89.412,93.158,88.868,9.036,13.004,8.407
06,Cantabria,2025,100.0,100.0,100.0,11.842,7.345,12.526
07,Castilla y León,2015,62.808,53.81,64.281,,,
07,Castilla y León,2016,63.472,55.379,64.726,1.057,2.916,0.692
07,Castilla y León,2017,64.51,56.394,65.794,1.635,1.833,1.65
07,Castilla y León,2018,67.155,60.493,68.231,4.1,7.269,3.704
07,Castilla y León,2019,70.398,65.59,71.212,4.829,8.426,4.369
07,Castilla y León,2020,72.053,69.239,72.576,2.351,5.563,1.915
07,Castilla y León,2021,74.616,71.96,75.128,3.557,3.93,3.516
07,Castilla y León,2022,79.13,76.711,79.606,6.05,6.602,5.96
07,Castilla y León,2023,81.36,82.35,81.158,2.818,7.351,1.95
07,Castilla y León,2024,87.747,88.259,87.639,7.85,7.175,7.986
07,Castilla y León,2025,100.0,100.0,100.0,13.964,13.303,14.104
