codigo_ccaa,ccaa,ccaa_original,anio,trimestre,periodo,tipo_vivienda,tipo_indicador,valor,valor_original
01,Andalucía,01 Andalucía,2015,1,2015T1,General,Variación anual,1.2,"1,2"
01,Andalucía,01 Andalucía,2015,1,2015T1,Vivienda nueva,Variación anual,4.0,"4,0"
01,Andalucía,01 Andalucía,2015,1,2015T1,Vivienda segunda mano,Variación anual,0.8,"0,8"
01,Andalucía,01 Andalucía,2015,1,2015T1,General,Variación en lo que va de año,-1.5,"-1,5"
01,Andalucía,01 Andalucía,2015,1,2015T1,Vivienda nueva,Variación en lo que va de año,1.7,"1,7"
01,Andalucía,01 Andalucía,2015,1,2015T1,Vivienda segunda mano,Variación en lo que va de año,-1.9,"-1,9"
01,Andalucía,01 Andalucía,2015,1,2015T1,General,Variación trimestral,-1.5,"-1,5"
01,Andalucía,01 Andalucía,2015,1,2015T1,Vivienda nueva,Variación trimestral,1.7,"1,7"
01,Andalucía,01 Andalucía,2015,1,2015T1,Vivienda segunda mano,Variación trimestral,-1.9,"-1,9"
01,Andalucía,01 Andalucía,2015,1,2015T1,General,Índice,53.938,"53,938"
01,Andalucía,01 Andalucía,2015,1,2015T1,Vivienda nueva,Índice,44.319,"44,319"
01,Andalucía,01 Andalucía,2015,1,2015T1,Vivienda segunda mano,Índice,55.516,"55,516"
01,Andalucía,01 Andalucía,2015,2,2015T2,General,Variación anual,3.5,"3,5"
01,Andalucía,01 Andalucía,2015,2,2015T2,Vivienda nueva,Variación anual,6.2,"6,2"
01,Andalucía,01 Andalucía,2015,2,2015T2,Vivienda segunda mano,Variación anual,3.1,"3,1"
01,Andalucía,01 Andalucía,2015,2,2015T2,General,Variación en lo que va de año,2.6,"2,6"
01,Andalucía,01 Andalucía,2015,2,2015T2,Vivienda nueva,Variación en lo que va de año,4.9,"4,9"
01,Andalucía,01 Andalucía,2015,2,2015T2,Vivienda segunda mano,Variación en lo que va de año,2.2,"2,2"
01,Andalucía,01 Andalucía,2015,2,2015T2,General,Variación trimestral,4.1,"4,1"
01,Andalucía,01 Andalucía,2015,2,2015T2,Vivienda nueva,Variación trimestral,3.2,"3,2"
01,Andalucía,01 Andalucía,2015,2,2015T2,Vivienda segunda mano,Variación trimestral,4.2,"4,2"
01,Andalucía,01 Andalucía,2015,2,2015T2,General,Índice,56.15,"56,150"
01,Andalucía,01 Andalucía,2015,2,2015T2,Vivienda nueva,Índice,45.729,"45,729"
01,Andalucía,01 Andalucía,2015,2,2015T2,Vivienda segunda mano,Índice,57.867,"57,867"
01,Andalucía,01 Andalucía,2015,3,2015T3,General,Variación anual,4.4,"4,4"
01,Andalucía,01 Andalucía,2015,3,2015T3,Vivienda nueva,Variación anual,5.0,"5,0"
01,Andalucía,01 Andalucía,2015,3,2015T3,Vivienda segunda mano,Variación anual,4.3,"4,3"
01,Andalucía,01 Andalucía,2015,3,2015T3,General,Variación en lo que va de año,3.7,"3,7"
01,Andalucía,01 Andalucía,2015,3,2015T3,Vivienda nueva,Variación en lo que va de año,4.6,"4,6"
01,Andalucía,01 Andalucía,2015,3,2015T3,Vivienda segunda mano,Variación en lo que va de año,3.6,"3,6"
01,Andalucía,01 Andalucía,2015,3,2015T3,General,Variación trimestral,1.1,"1,1"
01,Andalucía,01 Andalucía,2015,3,2015T3,Vivienda nueva,Variación trimestral,-0.3,"-0,3"
01,Andalucía,01 Andalucía,2015,3,2015T3,Vivienda segunda mano,Variación trimestral,1.3,"1,3"
01,Andalucía,01 Andalucía,2015,3,2015T3,General,Índice,56.783,"56,783"
01,Andalucía,01 Andalucía,2015,3,2015T3,Vivienda nueva,Índice,45.586,"45,586"
01,Andalucía,01 Andalucía,2015,3,2015T3,Vivienda segunda mano,Índice,58.64,"58,640"
01,Andalucía,01 Andalucía,2015,4,2015T4,General,Variación anual,3.0,"3,0"
01,Andalucía,01 Andalucía,2015,4,2015T4,Vivienda nueva,Variación anual,6.5,"6,5"
01,Andalucía,01 Andalucía,2015,4,2015T4,Vivienda segunda mano,Variación anual,2.5,"2,5"
01,Andalucía,01 Andalucía,2015,4,2015T4,General,Variación en lo que va de año,3.0,"3,0"
01,Andalucía,01 Andalucía,2015,4,2015T4,Vivienda nueva,Variación en lo que va de año,6.5,"6,5"
01,Andalucía,01 Andalucía,2015,4,2015T4,Vivienda segunda mano,Variación en lo que va de año,2.5,"2,5"
01,Andalucía,01 Andalucía,2015,4,2015T4,General,Variación trimestral,-0.7,"-0,7"
01,Andalucía,01 Andalucía,2015,4,2015T4,Vivienda nueva,Variación trimestral,1.8,"1,8"
01,Andalucía,01 Andalucía,2015,4,2015T4,Vivienda segunda mano,Variación trimestral,-1.1,"-1,1"
01,Andalucía,01 Andalucía,2015,4,2015T4,General,Índice,56.39,"56,390"
01,Andalucía,01 Andalucía,2015,4,2015T4,Vivienda nueva,Índice,46.428,"46,428"
01,Andalucía,01 Andalucía,2015,4,2015T4,Vivienda segunda mano,Índice,58.022,"58,022"
01,Andalucía,01 Andalucía,2016,1,2016T1,General,Variación anual,5.5,"5,5"
01,Andalucía,01 Andalucía,2016,1,2016T1,Vivienda nueva,Variación anual,7.7,"7,7"
01,Andalucía,01 Andalucía,2016,1,2016T1,Vivienda segunda mano,Variación anual,5.2,"5,2"
01,Andalucía,01 Andalucía,2016,1,2016T1,General,Variación en lo que va de año,0.9,"0,9"
01,Andalucía,01 Andalucía,2016,1,2016T1,Vivienda nueva,Variación en lo que va de año,2.8,"2,8"
01,Andalucía,01 Andalucía,2016,1,2016T1,Vivienda segunda mano,Variación en lo que va de año,0.6,"0,6"
01,Andalucía,01 Andalucía,2016,1,2016T1,General,Variación trimestral,0.9,"0,9"
01,Andalucía,01 Andalucía,2016,1,2016T1,Vivienda nueva,Variación trimestral,2.8,"2,8"
01,Andalucía,01 Andalucía,2016,1,2016T1,Vivienda segunda mano,Variación trimestral,0.6,"0,6"
01,Andalucía,01 Andalucía,2016,1,2016T1,General,Índice,56.881,"56,881"
01,Andalucía,01 Andalucía,2016,1,2016T1,Vivienda nueva,Índice,47.715,"47,715"
01,Andalucía,01 Andalucía,2016,1,2016T1,Vivienda segunda mano,Índice,58.38,"58,380"
01,Andalucía,01 Andalucía,2016,2,2016T2,General,Variación anual,2.6,"2,6"
01,Andalucía,01 Andalucía,2016,2,2016T2,Vivienda nueva,Variación anual,8.6,"8,6"
01,Andalucía,01 Andalucía,2016,2,2016T2,Vivienda segunda mano,Variación anual,1.8,"1,8"
01,Andalucía,01 Andalucía,2016,2,2016T2,General,Variación en lo que va de año,2.1,"2,1"
01,Andalucía,01 Andalucía,2016,2,2016T2,Vivienda nueva,Variación en lo que va de año,7.0,"7,0"
01,Andalucía,01 Andalucía,2016,2,2016T2,Vivienda segunda mano,Variación en lo que va de año,1.5,"1,5"
01,Andalucía,01 Andalucía,2016,2,2016T2,General,Variación trimestral,1.3,"1,3"
01,Andalucía,01 Andalucía,2016,2,2016T2,Vivienda nueva,Variación trimestral,4.1,"4,1"
01,Andalucía,01 Andalucía,2016,2,2016T2,Vivienda segunda mano,Variación trimestral,0.9,"0,9"
01,Andalucía,01 Andalucía,2016,2,2016T2,General,Índice,57.602,"57,602"
01,Andalucía,01 Andalucía,2016,2,2016T2,Vivienda nueva,Índice,49.659,"49,659"
01,Andalucía,01 Andalucía,2016,2,2016T2,Vivienda segunda mano,Índice,58.894,"58,894"
01,Andalucía,01 Andalucía,2016,3,2016T3,General,Variación anual,1.4,"1,4"
