codigo_ccaa,ccaa,anio,trimestre,periodo,ipv_general,ipv_vivienda_nueva,ipv_segunda_mano
01,Andalucía,2015,1,2015T1,53.938,44.319,55.516
01,Andalucía,2015,2,2015T2,56.15,45.729,57.867
01,Andalucía,2015,3,2015T3,56.783,45.586,58.64
01,Andalucía,2015,4,2015T4,56.39,46.428,58.022
01,Andalucía,2016,1,2016T1,56.881,47.715,58.38
01,Andalucía,2016,2,2016T2,57.602,49.659,58.894
01,Andalucía,2016,3,2016T3,57.552,48.998,58.948
01,Andalucía,2016,4,2016T4,57.569,48.587,59.036
01,Andalucía,2017,1,2017T1,58.076,49.665,59.473
01,Andalucía,2017,2,2017T2,58.983,50.628,60.377
01,Andalucía,2017,3,2017T3,59.674,51.24,61.082
01,Andalucía,2017,4,2017T4,60.148,51.35,61.606
01,Andalucía,2018,1,2018T1,60.438,51.825,61.877
01,Andalucía,2018,2,2018T2,61.785,52.863,63.269
01,Andalucía,2018,3,2018T3,62.889,54.647,64.303
01,Andalucía,2018,4,2018T4,63.535,54.948,64.994
01,Andalucía,2019,1,2019T1,64.023,55.471,65.479
01,Andalucía,2019,2,2019T2,65.216,56.903,66.646
01,Andalucía,2019,3,2019T3,66.605,59.77,67.845
01,Andalucía,2019,4,2019T4,66.17,58.53,67.516
01,Andalucía,2020,1,2020T1,66.665,59.57,67.923
01,Andalucía,2020,2,2020T2,66.762,60.812,67.833
01,Andalucía,2020,3,2020T3,67.435,63.24,68.222
01,Andalucía,2020,4,2020T4,67.267,64.027,67.898
01,Andalucía,2021,1,2021T1,67.099,63.258,67.862
01,Andalucía,2021,2,2021T2,69.143,64.235,70.137
01,Andalucía,2021,3,2021T3,71.51,67.68,72.265
01,Andalucía,2021,4,2021T4,72.659,68.872,73.403
01,Andalucía,2022,1,2022T1,74.402,71.169,75.003
01,Andalucía,2022,2,2022T2,76.202,71.454,77.176
01,Andalucía,2022,3,2022T3,77.432,72.089,78.552
01,Andalucía,2022,4,2022T4,77.353,74.862,77.76
01,Andalucía,2023,1,2023T1,77.521,75.35,77.864
01,Andalucía,2023,2,2023T2,79.633,75.647,80.338
01,Andalucía,2023,3,2023T3,81.928,80.683,82.079
01,Andalucía,2023,4,2023T4,81.449,78.857,81.872
01,Andalucía,2024,1,2024T1,83.656,83.992,83.6
01,Andalucía,2024,2,2024T2,87.224,85.747,87.464
01,Andalucía,2024,3,2024T3,90.574,91.782,90.375
01,Andalucía,2024,4,2024T4,92.35,92.633,92.303
01,Andalucía,2025,1,2025T1,95.365,96.855,95.115
01,Andalucía,2025,2,2025T2,99.074,99.336,99.03
01,Andalucía,2025,3,2025T3,101.791,100.656,101.981
01,Andalucía,2025,4,2025T4,103.77,103.153,103.873
01,Andalucía,2026,1,2026T1,108.061,107.827,108.09
02,Aragón,2015,1,2015T1,57.284,54.25,58.162
02,Aragón,2015,2,2015T2,58.791,55.126,59.89
02,Aragón,2015,3,2015T3,58.227,53.192,59.818
02,Aragón,2015,4,2015T4,58.012,53.757,59.325
02,Aragón,2016,1,2016T1,58.389,54.798,59.538
02,Aragón,2016,2,2016T2,59.572,57.582,60.325
02,Aragón,2016,3,2016T3,59.39,57.177,60.198
02,Aragón,2016,4,2016T4,59.367,55.647,60.552
02,Aragón,2017,1,2017T1,60.574,58.493,61.412
02,Aragón,2017,2,2017T2,60.549,58.466,61.387
02,Aragón,2017,3,2017T3,61.087,58.683,61.998
02,Aragón,2017,4,2017T4,61.226,56.81,62.574
02,Aragón,2018,1,2018T1,62.437,58.558,63.638
02,Aragón,2018,2,2018T2,63.274,58.572,64.705
02,Aragón,2018,3,2018T3,64.433,60.612,65.622
02,Aragón,2018,4,2018T4,65.023,61.044,66.257
02,Aragón,2019,1,2019T1,66.442,63.436,67.386
02,Aragón,2019,2,2019T2,67.498,64.204,68.529
02,Aragón,2019,3,2019T3,68.142,63.721,69.511
02,Aragón,2019,4,2019T4,68.594,64.154,69.969
02,Aragón,2020,1,2020T1,68.856,66.287,69.65
02,Aragón,2020,2,2020T2,69.541,65.195,70.886
02,Aragón,2020,3,2020T3,69.846,68.139,70.372
02,Aragón,2020,4,2020T4,69.343,66.165,70.325
02,Aragón,2021,1,2021T1,70.163,66.204,71.408
02,Aragón,2021,2,2021T2,71.26,66.5,72.775
02,Aragón,2021,3,2021T3,72.959,70.447,73.712
02,Aragón,2021,4,2021T4,73.731,71.211,74.485
02,Aragón,2022,1,2022T1,75.563,73.416,76.198
02,Aragón,2022,2,2022T2,76.634,72.688,77.84
02,Aragón,2022,3,2022T3,77.47,74.313,78.424
02,Aragón,2022,4,2022T4,76.894,74.791,77.514
