provincia,anio,precio_suelo_m2,n_trimestres_disponibles
Albacete,2004,99.89,4
Albacete,2005,128.32,4
Albacete,2006,186.79,4
Albacete,2007,157.79,4
Albacete,2008,153.66,4
Albacete,2009,145.89,4
Albacete,2010,120.96,4
Albacete,2011,115.61,4
Albacete,2012,121.62,4
Albacete,2013,94.91,4
Albacete,2014,74.22,4
Albacete,2015,79.71,4
Albacete,2016,93.01,4
Albacete,2017,81.66,4
Albacete,2018,78.18,4
Albacete,2019,92.02,4
Albacete,2020,86.43,4
Albacete,2021,94.86,4
Albacete,2022,81.49,4
Albacete,2023,96.91,4
Albacete,2024,99.49,4
Albacete,2025,122.6,4
Albacete,2026,116.01,1
Alicante/Alacant,2004,289.95,4
Alicante/Alacant,2005,438.87,4
Alicante/Alacant,2006,477.03,4
Alicante/Alacant,2007,377.65,4
Alicante/Alacant,2008,305.26,4
Alicante/Alacant,2009,265.33,4
Alicante/Alacant,2010,241.88,4
Alicante/Alacant,2011,166.02,4
Alicante/Alacant,2012,201.56,4
Alicante/Alacant,2013,188.9,4
Alicante/Alacant,2014,147.31,4
Alicante/Alacant,2015,149.18,4
Alicante/Alacant,2016,135.71,4
Alicante/Alacant,2017,147.33,4
Alicante/Alacant,2018,154.92,4
Alicante/Alacant,2019,161.34,4
Alicante/Alacant,2020,170.87,4
Alicante/Alacant,2021,165.92,4
Alicante/Alacant,2022,193.18,4
Alicante/Alacant,2023,186.49,4
Alicante/Alacant,2024,210.42,4
Alicante/Alacant,2025,245.0,4
Alicante/Alacant,2026,274.81,1
Almería,2004,336.34,4
Almería,2005,512.14,4
Almería,2006,363.14,4
Almería,2007,346.68,4
Almería,2008,299.32,4
Almería,2009,265.62,4
Almería,2010,248.55,4
Almería,2011,201.49,4
Almería,2012,177.54,4
Almería,2013,156.16,4
Almería,2014,154.54,4
Almería,2015,169.32,4
Almería,2016,151.29,4
Almería,2017,148.96,4
Almería,2018,149.74,4
Almería,2019,150.81,4
Almería,2020,147.62,4
Almería,2021,153.86,4
Almería,2022,154.74,4
Almería,2023,174.59,4
Almería,2024,153.69,4
