provincia,anio,superficie_m2,n_trimestres_disponibles
Albacete,2015,126.46,4
Albacete,2016,210.58999999999997,4
Albacete,2017,191.94,4
Albacete,2018,178.81,4
Albacete,2019,156.16,4
Albacete,2020,124.25,4
Albacete,2021,218.13,4
Albacete,2022,400.06,4
Albacete,2023,90.92,4
Albacete,2024,93.28,4
Albacete,2025,129.4,4
Alicante/Alacant,2015,1487.7,4
Alicante/Alacant,2016,1217.25,4
Alicante/Alacant,2017,1384.3899999999999,4
Alicante/Alacant,2018,1498.6699999999998,4
Alicante/Alacant,2019,1326.4,4
Alicante/Alacant,2020,867.39,4
Alicante/Alacant,2021,893.29,4
Alicante/Alacant,2022,915.9200000000001,4
Alicante/Alacant,2023,1705.5500000000002,4
Alicante/Alacant,2024,805.27,4
Alicante/Alacant,2025,1578.2,4
Almería,2015,269.59,4
Almería,2016,258.18,4
Almería,2017,382.43,4
Almería,2018,347.95000000000005,4
Almería,2019,414.65999999999997,4
Almería,2020,194.57,4
Almería,2021,391.71,4
Almería,2022,407.94,4
Almería,2023,431.47,4
Almería,2024,845.13,4
Almería,2025,474.99,4
Avila,2015,32.24,4
Avila,2016,62.69,4
Avila,2017,75.21000000000001,4
Avila,2018,48.17,4
Avila,2019,26.380000000000003,4
Avila,2020,48.510000000000005,4
Avila,2021,92.34,4
Avila,2022,144.82,4
Avila,2023,100.83,4
Avila,2024,89.15,4
Avila,2025,547.12,4
Badajoz,2015,275.67,4
Badajoz,2016,242.24,4
Badajoz,2017,322.91999999999996,4
Badajoz,2018,247.07,4
Badajoz,2019,247.3,4
Badajoz,2020,235.6,4
Badajoz,2021,429.84999999999997,4
Badajoz,2022,358.82000000000005,4
Badajoz,2023,285.98,4
Badajoz,2024,301.38,4
Badajoz,2025,294.89,4
Barcelona,2015,1913.05,4
Barcelona,2016,2520.8,4
Barcelona,2017,2961.9700000000003,4
Barcelona,2018,3009.66,4
Barcelona,2019,1938.58,4
Barcelona,2020,2014.5,4
Barcelona,2021,3924.67,4
Barcelona,2022,2869.8999999999996,4
Barcelona,2023,2556.7,4
Barcelona,2024,2400.95,4
Barcelona,2025,3354.75,4
Burgos,2015,397.56,4
Burgos,2016,238.09,4
Burgos,2017,231.49,4
Burgos,2018,804.1700000000001,4
Burgos,2019,139.52,4
Burgos,2020,158.64000000000001,4
Burgos,2021,422.56,4
Burgos,2022,387.88,4
Burgos,2023,561.93,4
Burgos,2024,246.81,4
Burgos,2025,352.91,4
Castellón/Castelló,2015,424.57,4
Castellón/Castelló,2016,361.72,4
Castellón/Castelló,2017,336.31,4
Castellón/Castelló,2018,551.16,4
Castellón/Castelló,2019,209.42,4
Castellón/Castelló,2020,732.84,4
Castellón/Castelló,2021,557.97,4
Castellón/Castelló,2022,362.44,4
Castellón/Castelló,2023,317.9,4
Castellón/Castelló,2024,494.52,4
Castellón/Castelló,2025,632.63,4
Ceuta,2015,50.13,4
Ceuta,2016,1.6,4
Ceuta,2017,2.2,4
Ceuta,2018,0.87,4
Ceuta,2019,0.0,4
Ceuta,2020,0.66,4
