provincia,anio,trimestre,periodo,superficie_m2
Albacete,2004,1,2004-T1,177.5
Albacete,2004,2,2004-T2,146.9
Albacete,2004,3,2004-T3,51.5
Albacete,2004,4,2004-T4,123.7
Albacete,2005,1,2005-T1,145.9
Albacete,2005,2,2005-T2,152.0
Albacete,2005,3,2005-T3,66.1
Albacete,2005,4,2005-T4,50.6
Albacete,2006,1,2006-T1,340.1
Albacete,2006,2,2006-T2,201.0
Albacete,2006,3,2006-T3,161.7
Albacete,2006,4,2006-T4,292.2
Albacete,2007,1,2007-T1,413.0
Albacete,2007,2,2007-T2,115.4
Albacete,2007,3,2007-T3,135.80313
Albacete,2007,4,2007-T4,310.0
Albacete,2008,1,2008-T1,114.2
Albacete,2008,2,2008-T2,179.6
Albacete,2008,3,2008-T3,171.4
Albacete,2008,4,2008-T4,168.56
Albacete,2009,1,2009-T1,41.7
Albacete,2009,2,2009-T2,57.45
Albacete,2009,3,2009-T3,27.19
Albacete,2009,4,2009-T4,30.26
Albacete,2010,1,2010-T1,18.67
Albacete,2010,2,2010-T2,56.8
Albacete,2010,3,2010-T3,21.29
Albacete,2010,4,2010-T4,32.88
Albacete,2011,1,2011-T1,26.4
Albacete,2011,2,2011-T2,81.01
Albacete,2011,3,2011-T3,21.29
Albacete,2011,4,2011-T4,33.23
Albacete,2012,1,2012-T1,23.14
Albacete,2012,2,2012-T2,23.51
Albacete,2012,3,2012-T3,6.13
Albacete,2012,4,2012-T4,20.5
Albacete,2013,1,2013-T1,19.16
Albacete,2013,2,2013-T2,22.8
Albacete,2013,3,2013-T3,17.67
Albacete,2013,4,2013-T4,12.03
Albacete,2014,1,2014-T1,347.77
Albacete,2014,2,2014-T2,41.55
Albacete,2014,3,2014-T3,34.35
Albacete,2014,4,2014-T4,38.02
Albacete,2015,1,2015-T1,14.26
Albacete,2015,2,2015-T2,56.26
Albacete,2015,3,2015-T3,34.53
Albacete,2015,4,2015-T4,21.41
Albacete,2016,1,2016-T1,83.32
Albacete,2016,2,2016-T2,35.0
Albacete,2016,3,2016-T3,24.3
