provincia,anio,numero_transacciones,n_trimestres_disponibles
Albacete,2004,729.0,4
Albacete,2005,546.0,4
Albacete,2006,589.0,4
Albacete,2007,453.0,4
Albacete,2008,335.0,4
Albacete,2009,250.0,4
Albacete,2010,201.0,4
Albacete,2011,183.0,4
Albacete,2012,132.0,4
Albacete,2013,128.0,4
Albacete,2014,220.0,4
Albacete,2015,126.0,4
Albacete,2016,111.0,4
Albacete,2017,163.0,4
Albacete,2018,150.0,4
Albacete,2019,147.0,4
Albacete,2020,113.0,4
Albacete,2021,171.0,4
Albacete,2022,159.0,4
Albacete,2023,138.0,4
Albacete,2024,171.0,4
Albacete,2025,199.0,4
Albacete,2026,60.0,1
Alicante/Alacant,2004,2593.0,4
Alicante/Alacant,2005,1325.0,4
Alicante/Alacant,2006,1161.0,4
Alicante/Alacant,2007,1041.0,4
Alicante/Alacant,2008,680.0,4
Alicante/Alacant,2009,541.0,4
Alicante/Alacant,2010,465.0,4
Alicante/Alacant,2011,374.0,4
Alicante/Alacant,2012,336.0,4
Alicante/Alacant,2013,365.0,4
Alicante/Alacant,2014,592.0,4
Alicante/Alacant,2015,554.0,4
Alicante/Alacant,2016,846.0,4
Alicante/Alacant,2017,703.0,4
Alicante/Alacant,2018,598.0,4
Alicante/Alacant,2019,582.0,4
Alicante/Alacant,2020,422.0,4
Alicante/Alacant,2021,643.0,4
Alicante/Alacant,2022,709.0,4
Alicante/Alacant,2023,693.0,4
Alicante/Alacant,2024,671.0,4
Alicante/Alacant,2025,967.0,4
Alicante/Alacant,2026,218.0,1
Almería,2004,978.0,4
Almería,2005,962.0,4
Almería,2006,719.0,4
Almería,2007,555.0,4
Almería,2008,453.0,4
Almería,2009,390.0,4
Almería,2010,280.0,4
Almería,2011,259.0,4
Almería,2012,209.0,4
Almería,2013,215.0,4
Almería,2014,240.0,4
Almería,2015,224.0,4
Almería,2016,257.0,4
Almería,2017,259.0,4
Almería,2018,362.0,4
Almería,2019,353.0,4
Almería,2020,231.0,4
Almería,2021,427.0,4
Almería,2022,362.0,4
Almería,2023,252.0,4
Almería,2024,263.0,4
Almería,2025,350.0,4
Almería,2026,151.0,1
Avila,2004,575.0,4
Avila,2005,499.0,4
Avila,2006,426.0,4
Avila,2007,378.0,4
Avila,2008,370.0,4
Avila,2009,288.0,4
Avila,2010,278.0,4
Avila,2011,180.0,4
Avila,2012,147.0,4
Avila,2013,95.0,4
Avila,2014,74.0,4
Avila,2015,56.0,4
Avila,2016,68.0,4
Avila,2017,78.0,4
Avila,2018,90.0,4
Avila,2019,64.0,4
Avila,2020,81.0,4
Avila,2021,143.0,4
Avila,2022,138.0,4
Avila,2023,125.0,4
Avila,2024,115.0,4
Avila,2025,713.0,4
Avila,2026,63.0,1
Badajoz,2004,1746.0,4
Badajoz,2005,1617.0,4
Badajoz,2006,1199.0,4
Badajoz,2007,1076.0,4
Badajoz,2008,999.0,4
Badajoz,2009,613.0,4
Badajoz,2010,644.0,4
Badajoz,2011,580.0,4
Badajoz,2012,498.0,4
Badajoz,2013,340.0,4
Badajoz,2014,416.0,4
Badajoz,2015,381.0,4
Badajoz,2016,456.0,4
Badajoz,2017,595.0,4
Badajoz,2018,543.0,4
Badajoz,2019,497.0,4
Badajoz,2020,430.0,4
Badajoz,2021,728.0,4
Badajoz,2022,547.0,4
Badajoz,2023,537.0,4
Badajoz,2024,387.0,4
Badajoz,2025,571.0,4
Badajoz,2026,161.0,1
Barcelona,2004,12007.0,4
Barcelona,2005,9845.0,4
Barcelona,2006,6646.0,4
Barcelona,2007,3756.0,4
Barcelona,2008,1930.0,4
Barcelona,2009,1265.0,4
Barcelona,2010,1132.0,4
Barcelona,2011,973.0,4
Barcelona,2012,740.0,4
Barcelona,2013,977.0,4
Barcelona,2014,1224.0,4
Barcelona,2015,1319.0,4
Barcelona,2016,1731.0,4
Barcelona,2017,1929.0,4
Barcelona,2018,2038.0,4
Barcelona,2019,1598.0,4
Barcelona,2020,1485.0,4
Barcelona,2021,2801.0,4
Barcelona,2022,2260.0,4
Barcelona,2023,2052.0,4
Barcelona,2024,1771.0,4
Barcelona,2025,2654.0,4
Barcelona,2026,662.0,1
Burgos,2004,1124.0,4
Burgos,2005,917.0,4
Burgos,2006,791.0,4
Burgos,2007,523.0,4
Burgos,2008,394.0,4
Burgos,2009,289.0,4
Burgos,2010,498.0,4
Burgos,2011,252.0,4
Burgos,2012,261.0,4
Burgos,2013,368.0,4
Burgos,2014,307.0,4
Burgos,2015,297.0,4
Burgos,2016,210.0,4
Burgos,2017,282.0,4
Burgos,2018,379.0,4
Burgos,2019,242.0,4
Burgos,2020,200.0,4
Burgos,2021,464.0,4
Burgos,2022,376.0,4
Burgos,2023,386.0,4
Burgos,2024,272.0,4
Burgos,2025,407.0,4
Burgos,2026,178.0,1
Castellón/Castelló,2004,945.0,4
Castellón/Castelló,2005,816.0,4
Castellón/Castelló,2006,875.0,4
Castellón/Castelló,2007,447.0,4
Castellón/Castelló,2008,291.0,4
Castellón/Castelló,2009,337.0,4
Castellón/Castelló,2010,242.0,4
Castellón/Castelló,2011,240.0,4
Castellón/Castelló,2012,148.0,4
Castellón/Castelló,2013,113.0,4
Castellón/Castelló,2014,148.0,4
Castellón/Castelló,2015,142.0,4
Castellón/Castelló,2016,185.0,4
Castellón/Castelló,2017,226.0,4
Castellón/Castelló,2018,210.0,4
Castellón/Castelló,2019,175.0,4
Castellón/Castelló,2020,199.0,4
Castellón/Castelló,2021,296.0,4
Castellón/Castelló,2022,277.0,4
Castellón/Castelló,2023,252.0,4
Castellón/Castelló,2024,319.0,4
Castellón/Castelló,2025,446.0,4
Castellón/Castelló,2026,103.0,1
Ceuta,2004,31.0,4
Ceuta,2005,29.0,4
Ceuta,2006,13.0,3
Ceuta,2007,11.0,3
Ceuta,2008,10.0,4
Ceuta,2009,10.0,4
Ceuta,2010,10.0,4
Ceuta,2011,3.0,4
Ceuta,2012,4.0,4
Ceuta,2013,9.0,4
Ceuta,2014,4.0,4
Ceuta,2015,3.0,4
Ceuta,2016,2.0,4
