provincia,anio,numero_transacciones,n_trimestres_disponibles
Albacete,2015,126.0,4
Albacete,2016,111.0,4
Albacete,2017,163.0,4
Albacete,2018,150.0,4
Albacete,2019,147.0,4
Albacete,2020,113.0,4
Albacete,2021,171.0,4
Albacete,2022,159.0,4
Albacete,2023,138.0,4
Albacete,2024,171.0,4
Albacete,2025,199.0,4
Alicante/Alacant,2015,554.0,4
Alicante/Alacant,2016,846.0,4
Alicante/Alacant,2017,703.0,4
Alicante/Alacant,2018,598.0,4
Alicante/Alacant,2019,582.0,4
Alicante/Alacant,2020,422.0,4
Alicante/Alacant,2021,643.0,4
Alicante/Alacant,2022,709.0,4
Alicante/Alacant,2023,693.0,4
Alicante/Alacant,2024,671.0,4
Alicante/Alacant,2025,967.0,4
Almería,2015,224.0,4
Almería,2016,257.0,4
Almería,2017,259.0,4
Almería,2018,362.0,4
Almería,2019,353.0,4
Almería,2020,231.0,4
Almería,2021,427.0,4
Almería,2022,362.0,4
Almería,2023,252.0,4
Almería,2024,263.0,4
Almería,2025,350.0,4
Avila,2015,56.0,4
Avila,2016,68.0,4
Avila,2017,78.0,4
Avila,2018,90.0,4
Avila,2019,64.0,4
Avila,2020,81.0,4
Avila,2021,143.0,4
Avila,2022,138.0,4
Avila,2023,125.0,4
Avila,2024,115.0,4
Avila,2025,713.0,4
Badajoz,2015,381.0,4
Badajoz,2016,456.0,4
Badajoz,2017,595.0,4
Badajoz,2018,543.0,4
Badajoz,2019,497.0,4
Badajoz,2020,430.0,4
Badajoz,2021,728.0,4
Badajoz,2022,547.0,4
Badajoz,2023,537.0,4
Badajoz,2024,387.0,4
Badajoz,2025,571.0,4
Barcelona,2015,1319.0,4
Barcelona,2016,1731.0,4
Barcelona,2017,1929.0,4
Barcelona,2018,2038.0,4
Barcelona,2019,1598.0,4
Barcelona,2020,1485.0,4
Barcelona,2021,2801.0,4
Barcelona,2022,2260.0,4
Barcelona,2023,2052.0,4
Barcelona,2024,1771.0,4
Barcelona,2025,2654.0,4
Burgos,2015,297.0,4
Burgos,2016,210.0,4
Burgos,2017,282.0,4
Burgos,2018,379.0,4
Burgos,2019,242.0,4
Burgos,2020,200.0,4
Burgos,2021,464.0,4
Burgos,2022,376.0,4
Burgos,2023,386.0,4
Burgos,2024,272.0,4
Burgos,2025,407.0,4
Castellón/Castelló,2015,142.0,4
Castellón/Castelló,2016,185.0,4
Castellón/Castelló,2017,226.0,4
Castellón/Castelló,2018,210.0,4
Castellón/Castelló,2019,175.0,4
Castellón/Castelló,2020,199.0,4
Castellón/Castelló,2021,296.0,4
Castellón/Castelló,2022,277.0,4
Castellón/Castelló,2023,252.0,4
Castellón/Castelló,2024,319.0,4
Castellón/Castelló,2025,446.0,4
Ceuta,2015,3.0,4
Ceuta,2016,2.0,4
Ceuta,2017,3.0,4
Ceuta,2018,3.0,4
Ceuta,2019,0.0,4
Ceuta,2020,1.0,4
Ceuta,2021,2.0,4
Ceuta,2022,7.0,4
Ceuta,2023,2.0,4
