codigo_provincia,provincia,provincia_original,anio,trimestre,periodo,valor_tasado_m2,valor_original,hoja_origen
01,Araba/Álava,Araba/Alava,1995,1,1995T1,849.0,849,"1995, 1996, 1997, 1998"
01,Araba/Álava,Araba/Alava,1995,2,1995T2,827.9,827.9,"1995, 1996, 1997, 1998"
01,Araba/Álava,Araba/Alava,1995,3,1995T3,865.5,865.5,"1995, 1996, 1997, 1998"
01,Araba/Álava,Araba/Alava,1995,4,1995T4,900.8,900.8,"1995, 1996, 1997, 1998"
01,Araba/Álava,Araba/Alava,1996,1,1996T1,896.1,896.1,"1995, 1996, 1997, 1998"
01,Araba/Álava,Araba/Alava,1996,2,1996T2,903.1,903.1,"1995, 1996, 1997, 1998"
01,Araba/Álava,Araba/Alava,1996,3,1996T3,945.5,945.5,"1995, 1996, 1997, 1998"
01,Araba/Álava,Araba/Alava,1996,4,1996T4,950.2,950.2,"1995, 1996, 1997, 1998"
01,Araba/Álava,Araba/Alava,1997,1,1997T1,1004.3,1004.3,"1995, 1996, 1997, 1998"
01,Araba/Álava,Araba/Alava,1997,2,1997T2,1020.7,1020.7,"1995, 1996, 1997, 1998"
01,Araba/Álava,Araba/Alava,1997,3,1997T3,990.1,990.1,"1995, 1996, 1997, 1998"
01,Araba/Álava,Araba/Alava,1997,4,1997T4,1039.5,1039.5,"1995, 1996, 1997, 1998"
01,Araba/Álava,Araba/Alava,1998,1,1998T1,1072.5,1072.5,"1995, 1996, 1997, 1998"
01,Araba/Álava,Araba/Alava,1998,2,1998T2,1117.2,1117.2,"1995, 1996, 1997, 1998"
01,Araba/Álava,Araba/Alava,1998,3,1998T3,1145.4,1145.4,"1995, 1996, 1997, 1998"
01,Araba/Álava,Araba/Alava,1998,4,1998T4,1272.4,1272.4,"1995, 1996, 1997, 1998"
01,Araba/Álava,Araba/Alava,1999,1,1999T1,1291.2,1291.2,"1999, 2000, 2001, 2002"
01,Araba/Álava,Araba/Alava,1999,2,1999T2,1359.4,1359.4,"1999, 2000, 2001, 2002"
01,Araba/Álava,Araba/Alava,1999,3,1999T3,1451.1,1451.1,"1999, 2000, 2001, 2002"
01,Araba/Álava,Araba/Alava,1999,4,1999T4,1467.6,1467.6,"1999, 2000, 2001, 2002"
01,Araba/Álava,Araba/Alava,2000,1,2000T1,1390.0,1390,"1999, 2000, 2001, 2002"
01,Araba/Álava,Araba/Alava,2000,2,2000T2,1444.1,1444.1,"1999, 2000, 2001, 2002"
01,Araba/Álava,Araba/Alava,2000,3,2000T3,1512.3,1512.3,"1999, 2000, 2001, 2002"
01,Araba/Álava,Araba/Alava,2000,4,2000T4,1554.6,1554.6,"1999, 2000, 2001, 2002"
01,Araba/Álava,Araba/Alava,2001,1,2001T1,1601.6,1601.6,"1999, 2000, 2001, 2002"
01,Araba/Álava,Araba/Alava,2001,2,2001T2,1636.9,1636.9,"1999, 2000, 2001, 2002"
01,Araba/Álava,Araba/Alava,2001,3,2001T3,1662.8,1662.8,"1999, 2000, 2001, 2002"
01,Araba/Álava,Araba/Alava,2001,4,2001T4,1712.2,1712.2,"1999, 2000, 2001, 2002"
01,Araba/Álava,Araba/Alava,2002,1,2002T1,1761.6,1761.6,"1999, 2000, 2001, 2002"
01,Araba/Álava,Araba/Alava,2002,2,2002T2,1815.7,1815.7,"1999, 2000, 2001, 2002"
01,Araba/Álava,Araba/Alava,2002,3,2002T3,1905.0,1905,"1999, 2000, 2001, 2002"
01,Araba/Álava,Araba/Alava,2002,4,2002T4,1853.3,1853.3,"1999, 2000, 2001, 2002"
01,Araba/Álava,Araba/Alava,2003,1,2003T1,1921.5,1921.5,"2003, 2004, 2005, 2006"
01,Araba/Álava,Araba/Alava,2003,2,2003T2,2006.2,2006.2,"2003, 2004, 2005, 2006"
01,Araba/Álava,Araba/Alava,2003,3,2003T3,1975.6,1975.6,"2003, 2004, 2005, 2006"
01,Araba/Álava,Araba/Alava,2003,4,2003T4,2010.9,2010.9,"2003, 2004, 2005, 2006"
