provincia,anio,valor_transacciones_miles_euros,n_trimestres_disponibles
Albacete,2004,38872.2,4
Albacete,2005,40563.1,4
Albacete,2006,144306.2,4
Albacete,2007,205309.15782000002,4
Albacete,2008,91486.86,4
Albacete,2009,31729.58,4
Albacete,2010,13947.08,4
Albacete,2011,12873.84,4
Albacete,2012,6374.07,4
Albacete,2013,6607.68,4
Albacete,2014,17416.79,4
Albacete,2015,5580.469999999999,4
Albacete,2016,10629.11,4
Albacete,2017,8262.64,4
Albacete,2018,8515.36,4
Albacete,2019,12429.22,4
Albacete,2020,9358.34,4
Albacete,2021,12224.02,4
Albacete,2022,11876.779999999999,4
Albacete,2023,6119.759999999999,4
Albacete,2024,7433.37,4
Albacete,2025,9625.17,4
Albacete,2026,5127.37,1
Alicante/Alacant,2004,828600.8,4
Alicante/Alacant,2005,695031.2,4
Alicante/Alacant,2006,553853.8,4
Alicante/Alacant,2007,858916.44349,4
Alicante/Alacant,2008,400811.66000000003,4
Alicante/Alacant,2009,201044.14,4
Alicante/Alacant,2010,132233.62,4
Alicante/Alacant,2011,77815.87,4
Alicante/Alacant,2012,112260.63,4
Alicante/Alacant,2013,105914.69,4
Alicante/Alacant,2014,129707.31,4
Alicante/Alacant,2015,102360.36,4
Alicante/Alacant,2016,124218.43,4
Alicante/Alacant,2017,151084.89,4
Alicante/Alacant,2018,154191.11000000002,4
Alicante/Alacant,2019,131325.75,4
Alicante/Alacant,2020,90617.45999999999,4
Alicante/Alacant,2021,123562.91,4
Alicante/Alacant,2022,169698.46,4
Alicante/Alacant,2023,145144.59,4
Alicante/Alacant,2024,147233.6,4
Alicante/Alacant,2025,262553.05,4
Alicante/Alacant,2026,66065.87,1
Almería,2004,565265.0,4
Almería,2005,673759.0,4
Almería,2006,289362.8,4
Almería,2007,199652.20044000002,4
Almería,2008,138479.36,4
Almería,2009,185729.09,4
Almería,2010,72387.66,4
Almería,2011,43219.99,4
Almería,2012,28860.449999999997,4
Almería,2013,24674.98,4
Almería,2014,24175.48,4
Almería,2015,31775.05,4
Almería,2016,24485.06,4
Almería,2017,27118.1,4
Almería,2018,33331.28,4
Almería,2019,31785.0,4
Almería,2020,16333.51,4
Almería,2021,38068.91,4
Almería,2022,56765.18,4
Almería,2023,53909.54000000001,4
Almería,2024,52325.69,4
Almería,2025,77278.84,4
Almería,2026,16525.52,1
Avila,2004,67589.7,4
Avila,2005,88755.9,4
Avila,2006,34689.0,4
Avila,2007,32419.196600000003,4
Avila,2008,41447.78,4
Avila,2009,20535.5,4
Avila,2010,12177.06,4
Avila,2011,11826.5,4
Avila,2012,6367.18,4
Avila,2013,3005.86,4
Avila,2014,2544.74,4
Avila,2015,1969.0800000000002,4
Avila,2016,4091.21,4
Avila,2017,2728.19,4
Avila,2018,2253.51,4
Avila,2019,1726.5900000000001,4
Avila,2020,1701.46,4
Avila,2021,4400.65,4
Avila,2022,4568.4,4
Avila,2023,4527.200000000001,4
Avila,2024,4861.38,4
Avila,2025,29629.07,4
Avila,2026,3184.89,1
Badajoz,2004,110186.7,4
Badajoz,2005,139531.0,4
Badajoz,2006,106181.9,4
Badajoz,2007,117503.19173,4
Badajoz,2008,234923.91999999998,4
Badajoz,2009,168576.62,4
Badajoz,2010,34214.12,4
Badajoz,2011,21328.17,4
Badajoz,2012,31469.7,4
Badajoz,2013,16468.33,4
Badajoz,2014,16165.63,4
Badajoz,2015,15233.67,4
Badajoz,2016,19430.02,4
Badajoz,2017,26415.65,4
Badajoz,2018,17633.0,4
Badajoz,2019,15355.79,4
Badajoz,2020,18753.67,4
Badajoz,2021,33679.6,4
Badajoz,2022,26614.66,4
Badajoz,2023,36460.79,4
Badajoz,2024,29265.52,4
Badajoz,2025,36295.37,4
Badajoz,2026,7508.52,1
Barcelona,2004,3120744.2,4
Barcelona,2005,3168763.7,4
Barcelona,2006,2194951.8,4
Barcelona,2007,2557742.39412,4
Barcelona,2008,1515703.8599999999,4
Barcelona,2009,627550.08,4
Barcelona,2010,296254.72,4
Barcelona,2011,423150.11,4
Barcelona,2012,251084.65,4
Barcelona,2013,285737.42000000004,4
Barcelona,2014,269542.41000000003,4
Barcelona,2015,259114.3,4
Barcelona,2016,319672.52,4
Barcelona,2017,452462.48000000004,4
Barcelona,2018,442406.2,4
Barcelona,2019,299165.02,4
Barcelona,2020,291663.62,4
Barcelona,2021,593322.76,4
Barcelona,2022,453211.58,4
Barcelona,2023,375682.88,4
Barcelona,2024,350709.71,4
Barcelona,2025,487286.13,4
Barcelona,2026,107956.39,1
Burgos,2004,259822.4,4
Burgos,2005,171323.4,4
Burgos,2006,117339.1,4
Burgos,2007,144656.62071000002,4
Burgos,2008,39785.31,4
Burgos,2009,39533.77,4
Burgos,2010,32969.13,4
Burgos,2011,31618.789999999997,4
Burgos,2012,34230.43,4
Burgos,2013,11933.81,4
Burgos,2014,14068.57,4
Burgos,2015,28441.27,4
Burgos,2016,12235.02,4
Burgos,2017,17857.1,4
Burgos,2018,43401.81,4
Burgos,2019,7276.34,4
Burgos,2020,11154.98,4
Burgos,2021,21317.11,4
Burgos,2022,21286.14,4
Burgos,2023,24536.489999999998,4
Burgos,2024,18839.67,4
Burgos,2025,27829.9,4
Burgos,2026,11727.95,1
Castellón/Castelló,2004,314339.4,4
Castellón/Castelló,2005,362973.1,4
Castellón/Castelló,2006,304707.7,4
Castellón/Castelló,2007,171057.58148,4
Castellón/Castelló,2008,137067.59,4
Castellón/Castelló,2009,103743.2,4
Castellón/Castelló,2010,101141.73000000001,4
Castellón/Castelló,2011,73591.83,4
Castellón/Castelló,2012,55303.39,4
Castellón/Castelló,2013,20277.28,4
Castellón/Castelló,2014,28877.8,4
Castellón/Castelló,2015,15549.92,4
Castellón/Castelló,2016,29096.8,4
Castellón/Castelló,2017,21291.2,4
Castellón/Castelló,2018,30409.5,4
Castellón/Castelló,2019,11222.5,4
Castellón/Castelló,2020,53348.47,4
Castellón/Castelló,2021,42348.07,4
