provincia,anio,trimestre,periodo,valor_transacciones_miles_euros
Albacete,2004,1,2004-T1,10521.0
Albacete,2004,2,2004-T2,12979.7
Albacete,2004,3,2004-T3,6210.8
Albacete,2004,4,2004-T4,9160.7
Albacete,2005,1,2005-T1,13194.5
Albacete,2005,2,2005-T2,14540.9
Albacete,2005,3,2005-T3,5457.4
Albacete,2005,4,2005-T4,7370.3
Albacete,2006,1,2006-T1,32767.1
Albacete,2006,2,2006-T2,41299.5
Albacete,2006,3,2006-T3,24598.5
Albacete,2006,4,2006-T4,45641.1
Albacete,2007,1,2007-T1,78457.6
Albacete,2007,2,2007-T2,19405.2
Albacete,2007,3,2007-T3,29893.75782
Albacete,2007,4,2007-T4,77552.6
Albacete,2008,1,2008-T1,17859.4
Albacete,2008,2,2008-T2,26142.1
Albacete,2008,3,2008-T3,20385.62
Albacete,2008,4,2008-T4,27099.74
Albacete,2009,1,2009-T1,14235.95
Albacete,2009,2,2009-T2,9203.48
Albacete,2009,3,2009-T3,4453.86
Albacete,2009,4,2009-T4,3836.29
Albacete,2010,1,2010-T1,1646.47
Albacete,2010,2,2010-T2,6643.34
Albacete,2010,3,2010-T3,1711.57
Albacete,2010,4,2010-T4,3945.7
Albacete,2011,1,2011-T1,2302.99
Albacete,2011,2,2011-T2,5362.61
Albacete,2011,3,2011-T3,2342.86
Albacete,2011,4,2011-T4,2865.38
Albacete,2012,1,2012-T1,2068.92
Albacete,2012,2,2012-T2,2282.67
Albacete,2012,3,2012-T3,518.67
Albacete,2012,4,2012-T4,1503.81
Albacete,2013,1,2013-T1,2840.91
Albacete,2013,2,2013-T2,1190.82
Albacete,2013,3,2013-T3,1028.42
Albacete,2013,4,2013-T4,1547.53
Albacete,2014,1,2014-T1,10387.47
Albacete,2014,2,2014-T2,1088.59
Albacete,2014,3,2014-T3,2488.37
Albacete,2014,4,2014-T4,3452.36
Albacete,2015,1,2015-T1,999.37
Albacete,2015,2,2015-T2,2027.12
Albacete,2015,3,2015-T3,1470.9
Albacete,2015,4,2015-T4,1083.08
Albacete,2016,1,2016-T1,4182.83
Albacete,2016,2,2016-T2,1934.87
Albacete,2016,3,2016-T3,1766.06
Albacete,2016,4,2016-T4,2745.35
Albacete,2017,1,2017-T1,1908.94
Albacete,2017,2,2017-T2,1674.92
Albacete,2017,3,2017-T3,2302.16
Albacete,2017,4,2017-T4,2376.62
Albacete,2018,1,2018-T1,1780.44
Albacete,2018,2,2018-T2,1912.97
Albacete,2018,3,2018-T3,1075.65
Albacete,2018,4,2018-T4,3746.3
Albacete,2019,1,2019-T1,1187.71
Albacete,2019,2,2019-T2,4506.61
Albacete,2019,3,2019-T3,4632.74
Albacete,2019,4,2019-T4,2102.16
Albacete,2020,1,2020-T1,529.35
Albacete,2020,2,2020-T2,378.24
Albacete,2020,3,2020-T3,3318.21
Albacete,2020,4,2020-T4,5132.54
Albacete,2021,1,2021-T1,1461.01
Albacete,2021,2,2021-T2,4690.85
Albacete,2021,3,2021-T3,3880.2
Albacete,2021,4,2021-T4,2191.96
Albacete,2022,1,2022-T1,3675.22
Albacete,2022,2,2022-T2,4630.29
Albacete,2022,3,2022-T3,2032.66
Albacete,2022,4,2022-T4,1538.61
Albacete,2023,1,2023-T1,1671.8
Albacete,2023,2,2023-T2,1252.5
Albacete,2023,3,2023-T3,2073.43
Albacete,2023,4,2023-T4,1122.03
Albacete,2024,1,2024-T1,2061.3
Albacete,2024,2,2024-T2,1572.92
Albacete,2024,3,2024-T3,1935.56
Albacete,2024,4,2024-T4,1863.59
Albacete,2025,1,2025-T1,2240.45
Albacete,2025,2,2025-T2,2360.73
Albacete,2025,3,2025-T3,2678.11
Albacete,2025,4,2025-T4,2345.88
Albacete,2026,1,2026-T1,5127.37
Alicante/Alacant,2004,1,2004-T1,248776.4
Alicante/Alacant,2004,2,2004-T2,195681.6
Alicante/Alacant,2004,3,2004-T3,113621.2
Alicante/Alacant,2004,4,2004-T4,270521.6
Alicante/Alacant,2005,1,2005-T1,195676.4
Alicante/Alacant,2005,2,2005-T2,158830.6
Alicante/Alacant,2005,3,2005-T3,215831.0
Alicante/Alacant,2005,4,2005-T4,124693.2
Alicante/Alacant,2006,1,2006-T1,122070.2
Alicante/Alacant,2006,2,2006-T2,145495.9
Alicante/Alacant,2006,3,2006-T3,119355.8
Alicante/Alacant,2006,4,2006-T4,166931.9
Alicante/Alacant,2007,1,2007-T1,250272.3
Alicante/Alacant,2007,2,2007-T2,255596.6
Alicante/Alacant,2007,3,2007-T3,202566.74349000002
Alicante/Alacant,2007,4,2007-T4,150480.8
Alicante/Alacant,2008,1,2008-T1,82078.5
Alicante/Alacant,2008,2,2008-T2,74220.3
Alicante/Alacant,2008,3,2008-T3,151092.76
Alicante/Alacant,2008,4,2008-T4,93420.1
Alicante/Alacant,2009,1,2009-T1,71127.73
Alicante/Alacant,2009,2,2009-T2,67529.88
Alicante/Alacant,2009,3,2009-T3,23986.92
Alicante/Alacant,2009,4,2009-T4,38399.61
Alicante/Alacant,2010,1,2010-T1,29840.8
Alicante/Alacant,2010,2,2010-T2,20599.81
Alicante/Alacant,2010,3,2010-T3,26046.72
Alicante/Alacant,2010,4,2010-T4,55746.29
Alicante/Alacant,2011,1,2011-T1,13804.04
Alicante/Alacant,2011,2,2011-T2,27031.35
Alicante/Alacant,2011,3,2011-T3,21536.44
Alicante/Alacant,2011,4,2011-T4,15444.04
Alicante/Alacant,2012,1,2012-T1,41818.71
Alicante/Alacant,2012,2,2012-T2,23076.57
Alicante/Alacant,2012,3,2012-T3,30701.08
Alicante/Alacant,2012,4,2012-T4,16664.27
Alicante/Alacant,2013,1,2013-T1,12062.87
Alicante/Alacant,2013,2,2013-T2,41692.57
Alicante/Alacant,2013,3,2013-T3,18374.11
Alicante/Alacant,2013,4,2013-T4,33785.14
Alicante/Alacant,2014,1,2014-T1,20556.62
Alicante/Alacant,2014,2,2014-T2,34548.46
Alicante/Alacant,2014,3,2014-T3,30486.28
Alicante/Alacant,2014,4,2014-T4,44115.95
Alicante/Alacant,2015,1,2015-T1,19897.51
Alicante/Alacant,2015,2,2015-T2,24759.88
Alicante/Alacant,2015,3,2015-T3,31880.94
Alicante/Alacant,2015,4,2015-T4,25822.03
Alicante/Alacant,2016,1,2016-T1,20975.28
Alicante/Alacant,2016,2,2016-T2,33495.27
Alicante/Alacant,2016,3,2016-T3,38769.33
Alicante/Alacant,2016,4,2016-T4,30978.55
Alicante/Alacant,2017,1,2017-T1,35138.79
Alicante/Alacant,2017,2,2017-T2,55085.41
Alicante/Alacant,2017,3,2017-T3,30604.07
Alicante/Alacant,2017,4,2017-T4,30256.62
Alicante/Alacant,2018,1,2018-T1,28779.13
Alicante/Alacant,2018,2,2018-T2,60549.72
Alicante/Alacant,2018,3,2018-T3,35814.0
Alicante/Alacant,2018,4,2018-T4,29048.26
Alicante/Alacant,2019,1,2019-T1,23512.15
Alicante/Alacant,2019,2,2019-T2,28724.71
Alicante/Alacant,2019,3,2019-T3,52166.35
Alicante/Alacant,2019,4,2019-T4,26922.54
Alicante/Alacant,2020,1,2020-T1,19887.67
Alicante/Alacant,2020,2,2020-T2,18449.15
Alicante/Alacant,2020,3,2020-T3,23288.54
Alicante/Alacant,2020,4,2020-T4,28992.1
Alicante/Alacant,2021,1,2021-T1,23778.31
Alicante/Alacant,2021,2,2021-T2,29007.45
Alicante/Alacant,2021,3,2021-T3,29323.38
Alicante/Alacant,2021,4,2021-T4,41453.77
Alicante/Alacant,2022,1,2022-T1,55256.59
Alicante/Alacant,2022,2,2022-T2,40234.56
Alicante/Alacant,2022,3,2022-T3,38495.8
Alicante/Alacant,2022,4,2022-T4,35711.51
Alicante/Alacant,2023,1,2023-T1,25751.55
Alicante/Alacant,2023,2,2023-T2,41476.34
Alicante/Alacant,2023,3,2023-T3,29238.89
Alicante/Alacant,2023,4,2023-T4,48677.81
Alicante/Alacant,2024,1,2024-T1,35722.18
Alicante/Alacant,2024,2,2024-T2,52908.7
Alicante/Alacant,2024,3,2024-T3,41949.26
Alicante/Alacant,2024,4,2024-T4,16653.46
Alicante/Alacant,2025,1,2025-T1,36552.31
Alicante/Alacant,2025,2,2025-T2,63787.74
Alicante/Alacant,2025,3,2025-T3,92850.35
Alicante/Alacant,2025,4,2025-T4,69362.65
Alicante/Alacant,2026,1,2026-T1,66065.87
Almería,2004,1,2004-T1,151132.9
Almería,2004,2,2004-T2,187798.2
Almería,2004,3,2004-T3,129457.1
Almería,2004,4,2004-T4,96876.8
Almería,2005,1,2005-T1,133116.2
Almería,2005,2,2005-T2,176852.3
Almería,2005,3,2005-T3,97672.3
Almería,2005,4,2005-T4,266118.2
Almería,2006,1,2006-T1,89645.8
Almería,2006,2,2006-T2,84856.2
Almería,2006,3,2006-T3,26717.8
Almería,2006,4,2006-T4,88143.0
Almería,2007,1,2007-T1,36303.0
Almería,2007,2,2007-T2,44819.3
Almería,2007,3,2007-T3,89973.50044
Almería,2007,4,2007-T4,28556.4
Almería,2008,1,2008-T1,39849.0
Almería,2008,2,2008-T2,24207.0
Almería,2008,3,2008-T3,34561.42
Almería,2008,4,2008-T4,39861.94
Almería,2009,1,2009-T1,88471.96
Almería,2009,2,2009-T2,34882.31
Almería,2009,3,2009-T3,42374.16
Almería,2009,4,2009-T4,20000.66
Almería,2010,1,2010-T1,12851.5
Almería,2010,2,2010-T2,34813.01
Almería,2010,3,2010-T3,5173.3
Almería,2010,4,2010-T4,19549.85
Almería,2011,1,2011-T1,11380.62
Almería,2011,2,2011-T2,11805.16
Almería,2011,3,2011-T3,7836.4
Almería,2011,4,2011-T4,12197.81
Almería,2012,1,2012-T1,3715.46
Almería,2012,2,2012-T2,11355.22
Almería,2012,3,2012-T3,11270.31
Almería,2012,4,2012-T4,2519.46
Almería,2013,1,2013-T1,3122.94
Almería,2013,2,2013-T2,3239.83
Almería,2013,3,2013-T3,10739.48
