provincia;comunidad_autonoma;IAV_previsto;IAV_minimo;IAV_maximo;dispersion;IAV_2024;precio_m2_2024;salario_2024;salario_hombre_2024;salario_mujer_2024;variacion_pct;precio_m2_previsto
Albacete;Castilla - La Mancha;4,665804367147503;4,527935970462255;4,791138893979948;0,09907006857005132;4,55225;1227,7555;21576,0;23309,0;19449,0;2,4944668493053594;1258,3674378196815
Alicante/Alacant;Comunitat Valenciana;6,93340172418777;6,762931173738706;7,113408834142215;0,12374553949674938;6,94825;1822,56425;20984,0;22661,0;19102,0;-0,2136980651564019;1818,6312722544521
Almería;Andalucía;7,455304501655659;7,27525;7,653477928573423;0,12638878428414263;7,37025;1725,789;18733,0;19740,0;17452,0;1,1540246484944032;1745,7527403689433
Araba/Álava;País Vasco;6,664751143504893;6,486039764004197;6,814598245132519;0,123097186700697;6,5385;2922,81225;35761,0;40042,0;30998,0;1,9308884836719922;2979,227070535981
Asturias;Asturias, Principado de;5,680827663702047;5,54289300780454;5,801375910480611;0,09427386955424655;5,631;1792,69725;25470,0;28640,0;22113,0;0,8848812591377504;1808,6335074311392
Badajoz;Extremadura;4,707820558302059;4,600012585463023;4,915841850302525;0,10176827022990152;4,64425;1098,7092499999999;18927,0;20433,0;17207,0;1,368801384552043;1113,8114963372884
Balears, Illes;Balears, Illes;11,29712471263864;10,962099172075456;11,803970227451542;0,2627690203903938;11,1715;3386,8955;24254,0;25910,0;22499,0;1,1245106981035657;3425,0057847542193
Barcelona;Cataluña;8,931022296439654;8,70746146545302;9,22822463776553;0,18430024602043904;8,79925;3217,71225;29255,0;32235,0;26070,0;1,4975400907992504;3265,963216029276
Bizkaia;País Vasco;8,118103441770586;7,953619046645631;8,22739166604304;0,09996970173767203;7,9965;3493,5465;34951,0;39134,0;30296,0;1,5207083320275845;3546,697917416547
Burgos;Castilla y León;5,198483739102274;5,101029726171782;5,30163350462561;0,07395551167311315;5,1645;1606,41325;24884,0;28051,0;21360,0;0,6580257353523806;1616,9883670477625
Cantabria;Cantabria;7,878074448777334;7,660294487984538;8,035796672654921;0,129242319867682;7,7695;2310,14825;23787,0;26455,0;20966,0;1,39744447876098;2342,4469614133304
Castellón/Castelló;Comunitat Valenciana;5,4156334963975015;5,305983677141963;5,584185777966927;0,09059949474251276;5,3995;1560,2285000000002;23117,0;25902,0;19903,0;0,29879611811282014;1564,914994202763
Ceuta;Ceuta;9,806028407858948;9,340899999999998;10,04750477733066;0,26601513119535025;9,386;3055,23475;26041,0;27994,0;23285,0;4,475052289142859;3191,984822113186
Ciudad Real;Castilla - La Mancha;3,804826984724088;3,716264896038263;3,9921863987775765;0,08985438627411328;3,7325;1003,6045;21511,0;23413,0;19095,0;1,937762484235444;1023,0704158549981
Coruña, A;Galicia;5,335204735869623;5,18906828385544;5,563378705992248;0,14213845691643107;5,23525;1698,8205;25959,0;28559,0;23233,0;1,909263853103927;1731,2072467304945
Cuenca;Castilla - La Mancha;4,074075577591824;3,9645091299779853;4,2269269000812875;0,08503122757763679;4,014749999999999;1027,3865;20472,0;21824,0;18871,0;1,4776904562382327;1042,5559403057478
Cáceres;Extremadura;4,257258037081821;4,120251359413252;4,476413580336719;0,11737994817088501;4,18775;1034,845;19769,0;21280,0;18105,0;1,6597943306506133;1052,0216766883816
Cádiz;Andalucía;8,065213532190924;7,856800700117265;8,20687959525756;0,12371758571822636;7,9405;2065,63025;20811,0;23611,0;17411,0;1,570600493557384;2098,0644852303167
Córdoba;Andalucía;7,5647091104722275;7,411568634676762;7,797527322494888;0,12878925560003635;7,5104999999999995;1829,5875;19488,0;21460,0;17208,0;0,7217776509184207;1842,7631393110346
Gipuzkoa;País Vasco;9,02784863194503;8,839842217480424;9,179705576059254;0,11750280315638292;8,90175;3959,6065;35585,0;39845,0;30845,0;1,4165600240967267;4015,6999195970484
Girona;Cataluña;8,32089182131266;8,120117672081856;8,647650899864649;0,1801103803985128;8,183250000000001;2456,77025;24017,0;25911,0;21898,0;1,6819945781035541;2498,035735905827
Granada;Andalucía;6,664482129117138;6,502576824399215;6,9066148082748136;0,13739176900275293;6,582;1693,5797499999999;20584,0;22274,0;18688,0;1,2531469024177764;1714,7712518218395
Guadalajara;Castilla - La Mancha;4,273952394345121;4,148873398063129;4,432647059261823;0,10312059495721457;4,167;1304,06225;25037,0;27889,0;21742,0;2,56665213211235;1337,586826215235
Huelva;Andalucía;7,691065581646825;7,5200757191320164;7,867700855337507;0,12123338309897198;7,60225;1711,6057500000002;18012,0;20654,0;15164,0;1,1682802018721463;1731,6434157077827
Huesca;Aragón;6,217450827046818;6,073235626015203;6,43131321326279;0,11565546437794316;6,21725;1776,95;22866,0;24847,0;20562,0;0,0032301587811028906;1777,1028826406568
Jaén;Andalucía;5,898846133905068;5,762033660180717;6,128749095163949;0,12166815731954084;5,8215;1294,748;17792,0;19069,0;16204,0;1,3286289427994131;1311,9033801804871
León;Castilla y León;4,247449055341112;4,178548713950032;4,369500879292228;0,06329483158846969;4,2185;1229,38075;23315,0;25560,0;20955,0;0,6862404964113318;1237,8659340659754
Lleida;Cataluña;5,926483526970313;5,759154331870964;6,1001772347199115;0,1204008467775603;5,80975;1709,3580000000002;23538,0;24853,0;21954,0;2,0092693656407365;1743,7196157228402
Lugo;Galicia;4,229336932303007;4,128175207633547;4,39737033041141;0,08857444684975721;4,1545000000000005;1179,03175;22704,0;24272,0;21093,0;1,801346306487103;1200,2858213875934
