variable,tipo_dato,origen,rol_propuesto,cobertura_pct
codigo_provincia,Int64,Mercado laboral,identificacion,100.0
provincia,string,Mercado laboral,identificacion,100.0
anio,Int64,Mercado laboral,identificacion,100.0
trimestre,Int64,Mercado laboral,identificacion,100.0
tasa_actividad_pct_hombres,float64,Mercado laboral,explicativa,100.0
tasa_empleo_pct_hombres,float64,Mercado laboral,explicativa,100.0
tasa_paro_pct_hombres,float64,Mercado laboral,explicativa,100.0
tasa_actividad_pct_mujeres,float64,Mercado laboral,explicativa,100.0
tasa_empleo_pct_mujeres,float64,Mercado laboral,explicativa,100.0
tasa_paro_pct_mujeres,float64,Mercado laboral,explicativa,100.0
tasa_actividad_pct_total,float64,Mercado laboral,explicativa,100.0
tasa_empleo_pct_total,float64,Mercado laboral,explicativa,100.0
tasa_paro_pct_total,float64,Mercado laboral,explicativa,100.0
mes,Int64,Construida: último mes del trimestre,identificacion,100.0
fecha,datetime64[ns],Construida,identificacion,100.0
periodo,object,Construida,identificacion,100.0
codigo_ccaa,int64,Demografía,identificacion,100.0
comunidad_autonoma,object,Demografía,identificacion,100.0
provincia_mapa,string,derivada,explicativa,100.0
brecha_actividad_genero_pp,float64,Mercado laboral,derivada,100.0
brecha_empleo_genero_pp,float64,Mercado laboral,derivada,100.0
brecha_paro_genero_pp,float64,Mercado laboral,derivada,100.0
viajeros_total,float64,Turismo,explicativa,100.0
viajeros_residentes_espana,float64,Turismo,explicativa,100.0
viajeros_residentes_extranjero,float64,Turismo,explicativa,100.0
pernoctaciones_total,float64,Turismo,explicativa,100.0
pernoctaciones_residentes_espana,float64,Turismo,explicativa,100.0
pernoctaciones_residentes_extranjero,float64,Turismo,explicativa,100.0
estancia_media_total,float64,Turismo,explicativa,99.66
establecimientos_abiertos_estimados,float64,Turismo,explicativa,100.0
habitaciones_estimadas,float64,Turismo,explicativa,100.0
plazas_estimadas,float64,Turismo,explicativa,100.0
personal_empleado_hoteles,float64,Turismo,explicativa,100.0
grado_ocupacion_habitaciones_pct,float64,Turismo,explicativa,100.0
grado_ocupacion_plazas_pct,float64,Turismo,explicativa,100.0
grado_ocupacion_plazas_fin_semana_pct,float64,Turismo,explicativa,100.0
poblacion_total,float64,Demografía,explicativa,100.0
edad_media_aprox,float64,Demografía,explicativa,90.0
pct_0_17,float64,Demografía,explicativa,90.0
pct_18_34,float64,Demografía,explicativa,90.0
pct_65_mas,float64,Demografía,explicativa,90.0
indice_envejecimiento,float64,Demografía,explicativa,90.0
tasa_dependencia,float64,Demografía,explicativa,90.0
pct_mujeres,float64,Demografía,explicativa,100.0
razon_masculinidad,float64,Demografía,explicativa,100.0
tamano_medio_hogar,float64,Demografía,explicativa,90.0
pct_hogares_unipersonales,float64,Demografía,explicativa,90.0
pct_poblacion_espanola,float64,Demografía,explicativa,90.0
hogares_1_persona_miles,float64,Vivienda - hogares,explicativa,40.0
hogares_2_personas_miles,float64,Vivienda - hogares,explicativa,40.0
hogares_3_personas_miles,float64,Vivienda - hogares,explicativa,40.0
4 y más,float64,Vivienda - hogares,explicativa,40.0
hogares_total_miles,float64,Vivienda - hogares,explicativa,40.0
pct_hogares_1_persona,float64,Vivienda - hogares,explicativa,40.0
tamano_medio_hogar_estimado,float64,Vivienda - hogares,explicativa,40.0
renta_bruta_media_por_hogar_eur,float64,Economía - renta,explicativa,87.69
renta_bruta_media_por_persona_eur,float64,Economía - renta,explicativa,87.69
renta_mediana_por_unidad_consumo_eur,float64,Economía - renta,explicativa,87.69
renta_neta_media_por_hogar_eur,float64,Economía - renta,explicativa,87.69
renta_neta_media_por_persona_eur,float64,Economía - renta,explicativa,87.69
confianza_construccion_pct_neto,float64,Economía nacional,explicativa,100.0
confianza_consumidor_pct_neto,float64,Economía nacional,explicativa,100.0
confianza_industria_manufacturera_pct_neto,float64,Economía nacional,explicativa,100.0
ipc_general_variacion_interanual_pct,float64,Economía nacional,derivada,100.0
pib_indice_volumen_base_2020,float64,Economía nacional,explicativa,100.0
produccion_industrial_indice_base_2021,float64,Economía nacional,explicativa,100.0
tasa_paro_nacional_pct,float64,Economía nacional,explicativa,100.0
vab_construccion_indice_volumen_base_2020,float64,Economía nacional,explicativa,100.0
salario_medio_anual_euros_total,float64,Mercado laboral - salarios,explicativa,60.0
salario_medio_anual_euros_hombre,float64,Mercado laboral - salarios,explicativa,55.38
salario_medio_anual_euros_mujer,float64,Mercado laboral - salarios,explicativa,55.38
brecha_salarial_genero_pct,float64,Mercado laboral - salarios,derivada,55.38
alquiler_mensual_eur_m2_mediana_vivienda_colectiva,float64,Territorial - alquiler,explicativa,36.92
alquiler_mensual_total_eur_mediana_vivienda_colectiva,float64,Territorial - alquiler,explicativa,36.92
superficie_m2_mediana_vivienda_colectiva,float64,Territorial - alquiler,explicativa,36.92
observaciones_alquiler_vivienda_colectiva,float64,Territorial - alquiler,explicativa,36.92
ipv_general,float64,Vivienda - IPV,objetivo_o_mercado_vivienda,100.0
ipv_vivienda_nueva,float64,Vivienda - IPV,objetivo_o_mercado_vivienda,96.15
ipv_segunda_mano,float64,Vivienda - IPV,objetivo_o_mercado_vivienda,96.15
ipva_indice_general,float64,Vivienda - IPVA,objetivo_o_mercado_vivienda,92.31
ipva_variacion_anual_general,float64,Vivienda - IPVA,objetivo_o_mercado_vivienda,92.31
valor_tasado_m2,float64,Vivienda - valor tasado,objetivo_o_mercado_vivienda,100.0
precio_suelo_m2,float64,Vivienda - suelo,explicativa,82.4
superficie_m2,float64,Vivienda - suelo,explicativa,86.54
numero_transacciones,float64,Vivienda - suelo,explicativa,86.54
valor_transacciones_miles_euros,float64,Vivienda - suelo,explicativa,86.54
ipv_nacional_variacion_interanual_pct,float64,Mercado inmobiliario nacional,objetivo_o_mercado_vivienda,100.0
ipc_alquiler_variacion_interanual_pct,float64,Mercado inmobiliario nacional,derivada,100.0
indice_costes_construccion,float64,Mercado inmobiliario nacional,explicativa,100.0
compraventas_viviendas_total,float64,Mercado inmobiliario nacional,explicativa,100.0
compraventas_viviendas_nuevas,float64,Mercado inmobiliario nacional,explicativa,100.0
compraventas_viviendas_usadas,float64,Mercado inmobiliario nacional,explicativa,100.0
plazo_medio_hipotecas_meses,float64,Mercado inmobiliario nacional,explicativa,100.0
ratio_prestamo_valor_pct,float64,Mercado inmobiliario nacional,explicativa,100.0
prestamos_ltv_superior_80_pct,float64,Mercado inmobiliario nacional,explicativa,100.0
tipo_interes_prestamos_vivienda_pct,float64,Mercado inmobiliario nacional,explicativa,100.0
tasa_paro_joven_20_29_nacional_pct,float64,Mercado inmobiliario nacional,explicativa,100.0
ratio_precio_vivienda_renta_hogar_anios_nacional,float64,Mercado inmobiliario nacional,explicativa,100.0
esfuerzo_teorico_vivienda_pct_nacional,float64,Mercado inmobiliario nacional,derivada,100.0
credito_vivienda_variacion_interanual_pct,float64,Mercado inmobiliario nacional,derivada,100.0
rentabilidad_anual_vivienda_pct,float64,Mercado inmobiliario nacional,explicativa,100.0
rentabilidad_bruta_alquiler_pct,float64,Mercado inmobiliario nacional,explicativa,100.0
parque_viviendas_estimado_nacional,float64,Mercado inmobiliario nacional,explicativa,100.0
pct_vivienda_principal_propiedad_nacional,float64,Mercado inmobiliario nacional,explicativa,100.0
pct_vivienda_principal_alquiler_nacional,float64,Mercado inmobiliario nacional,explicativa,100.0
viajeros_por_1000_habitantes,float64,derivada,derivada,100.0
pernoctaciones_por_habitante,float64,derivada,derivada,100.0
plazas_hoteleras_por_1000_habitantes,float64,derivada,derivada,100.0
transacciones_suelo_por_100000_habitantes,float64,derivada,derivada,86.54
precio_vivienda_estimado_eur,float64,Derivada: valor tasado por m² × superficie mediana,derivada,36.92
IAV_total,float64,Derivada: valor tasado por m² / salario medio anual total,objetivo_o_mercado_vivienda,60.0
IAV_hombre,float64,Derivada: valor tasado por m² / salario medio anual masculino,objetivo_o_mercado_vivienda,55.38
IAV_mujer,float64,Derivada: valor tasado por m² / salario medio anual femenino,objetivo_o_mercado_vivienda,55.38
anios_renta_neta_hogar_para_compra,float64,derivada,derivada,36.92
anios_renta_bruta_hogar_para_compra,float64,derivada,derivada,36.92
esfuerzo_alquiler_renta_neta_pct,float64,derivada,derivada,36.92
alquiler_eur_m2_sobre_valor_tasado_m2_pct,float64,derivada,explicativa,36.92
valor_medio_transaccion_suelo_miles_eur,float64,derivada,derivada,84.52
valor_suelo_estimado_miles_eur,float64,derivada,derivada,82.4
valor_tasado_m2_variacion_interanual_pct,float64,derivada,objetivo_o_mercado_vivienda,90.0
precio_suelo_m2_variacion_interanual_pct,float64,derivada,derivada,73.94
viajeros_total_variacion_interanual_pct,float64,derivada,derivada,90.0
pernoctaciones_total_variacion_interanual_pct,float64,derivada,derivada,90.0
tasa_paro_pct_total_variacion_interanual_pct,float64,derivada,derivada,90.0
valor_tasado_m2_lag_1t,float64,derivada,objetivo_o_mercado_vivienda,97.5
valor_tasado_m2_lag_4t,float64,derivada,objetivo_o_mercado_vivienda,90.0
valor_tasado_m2_media_movil_4t,float64,derivada,objetivo_o_mercado_vivienda,97.5
