periodo;codigo_provincia;provincia;comunidad_autonoma;poblacion_total;pct_18_34;pct_35_64;pct_65_mas;tamano_medio_hogar;pct_hogares_unipersonales;pct_poblacion_espanola;tasa_migracion_neta_exterior_por_1000_habitantes;salario_medio_anual_euros_total;salario_medio_anual_euros_hombre;salario_medio_anual_euros_mujer;tasa_actividad_pct_total;tasa_empleo_pct_total;tasa_paro_pct_total;renta_neta_media_por_hogar_eur;renta_mediana_por_unidad_consumo_eur;indice_precios_consumo_base_2015;indice_costes_construccion;tipo_interes_prestamos_vivienda_pct;importe_medio_hipoteca_vivienda_eur;valor_tasado_m2;ipv_general;compraventas_por_1000_hab;pct_compraventas_vivienda_nueva;visados_obra_nueva_por_1000_hab;plazas_hoteleras_por_1000_hab;pernoctaciones_por_habitante;valores_arrastrados;precio_m2_mercado;IAV_hombre;IAV_mujer;brecha_iav_absoluta;IAV_total
2015T1;2;Albacete;Castilla - La Mancha;394012,0;20,914;39,53;21,496;2,6;27,7;93,9;-0,54;15728,0;16985,0;14033,0;57,21;40,72;28,82;24100,0;11550,0;98,96;90,33;2,613;82770,64;959,5;69,067;1,383;26,24;0,188;14,6;0,26;0;945,8;4,455;5,392;0,937;4,811
2015T2;2;Albacete;Castilla - La Mancha;394012,0;20,914;39,53;21,496;2,6;27,7;93,9;-0,54;15728,0;16985,0;14033,0;58,19;43,84;24,66;24100,0;11550,0;100,89;93,72;2,507;78629,41;969,7;70,506;1,167;26,3;0,297;16,858;0,425;0;965,506;4,548;5,504;0,957;4,911
2015T3;2;Albacete;Castilla - La Mancha;394012,0;20,914;39,53;21,496;2,6;27,7;93,9;-0,54;15728,0;16985,0;14033,0;57,72;44,28;23,28;24100,0;11550,0;99,69;90,26;2,45;78082,22;945,3;70,161;1,221;21,21;0,338;16,686;0,475;0;960,782;4,525;5,477;0,952;4,887
2015T4;2;Albacete;Castilla - La Mancha;394012,0;20,914;39,53;21,496;2,6;27,7;93,9;-0,54;15728,0;16985,0;14033,0;58,07;45,32;21,97;24100,0;11550,0;100,46;92,907;2,427;86327,87;961,3;70,375;1,223;22,41;0,802;15,371;0,409;0;963,712;4,539;5,494;0,955;4,902
2016T1;2;Albacete;Castilla - La Mancha;391865,0;20,304;39,86;21,898;2,6;28,2;94,1;0,83;15780,0;17082,0;14046,0;56,19;42,33;24,67;24785,0;12250,0;97,91;88,55;2,33;87970,46;953,3;70,088;1,442;20,0;0,276;14,024;0,281;0;959,782;4,495;5,467;0,972;4,866
2016T2;2;Albacete;Castilla - La Mancha;391865,0;20,304;39,86;21,898;2,6;28,2;94,1;0,83;15780,0;17082,0;14046,0;56,84;43,05;24,27;24785,0;12250,0;99,67;92,68;2,323;100889,44;934,4;70,919;1,511;18,92;0,439;16,833;0,445;0;971,162;4,548;5,531;0,983;4,924
2016T3;2;Albacete;Castilla - La Mancha;391865,0;20,304;39,86;21,898;2,6;28,2;94,1;0,83;15780,0;17082,0;14046,0;54,14;41,65;23,06;24785,0;12250,0;99,28;89,743;2,367;83195,65;922,2;71,065;1,409;21,74;0,398;16,757;0,515;0;973,161;4,558;5,543;0,985;4,934
2016T4;2;Albacete;Castilla - La Mancha;391865,0;20,304;39,86;21,898;2,6;28,2;94,1;0,83;15780,0;17082,0;14046,0;56,01;42,96;23,31;24785,0;12250,0;101,23;93,203;2,273;80906,98;950,6;70,383;1,197;18,12;0,375;15,398;0,386;0;963,822;4,514;5,49;0,976;4,886
2017T1;2;Albacete;Castilla - La Mancha;390225,0;19,841;40,22;22,181;2,6;28,3;93,9;1,26;16132,0;17473,0;14361,0;57,42;43,36;24,48;25627,0;12950,0;100,76;90,093;2,237;88059,52;936,5;71,215;1,737;22,42;0,569;14,183;0,283;0;975,215;4,465;5,433;0,968;4,836
2017T2;2;Albacete;Castilla - La Mancha;390225,0;19,841;40,22;22,181;2,6;28,3;93,9;1,26;16132,0;17473,0;14361,0;58,81;43,92;25,32;25627,0;12950,0;101,51;93,773;2,17;84747,75;924,8;71,455;1,791;22,75;0,633;16,425;0,497;0;978,502;4,48;5,451;0,971;4,852
