codigo_provincia;provincia;anio;trimestre;tasa_actividad_pct_hombres;tasa_empleo_pct_hombres;tasa_paro_pct_hombres;tasa_actividad_pct_mujeres;tasa_empleo_pct_mujeres;tasa_paro_pct_mujeres;tasa_actividad_pct_total;tasa_empleo_pct_total;tasa_paro_pct_total;mes;fecha;periodo;codigo_ccaa;comunidad_autonoma;provincia_mapa;brecha_actividad_genero_pp;brecha_empleo_genero_pp;brecha_paro_genero_pp;viajeros_total;viajeros_residentes_espana;viajeros_residentes_extranjero;pernoctaciones_total;pernoctaciones_residentes_espana;pernoctaciones_residentes_extranjero;estancia_media_total;establecimientos_abiertos_estimados;habitaciones_estimadas;plazas_estimadas;personal_empleado_hoteles;grado_ocupacion_habitaciones_pct;grado_ocupacion_plazas_pct;grado_ocupacion_plazas_fin_semana_pct;poblacion_total;edad_media_aprox;pct_0_17;pct_18_34;pct_65_mas;indice_envejecimiento;tasa_dependencia;pct_mujeres;razon_masculinidad;tamano_medio_hogar;pct_hogares_unipersonales;pct_poblacion_espanola;hogares_1_persona_miles;hogares_2_personas_miles;hogares_3_personas_miles;4 y más;hogares_total_miles;pct_hogares_1_persona;tamano_medio_hogar_estimado;renta_bruta_media_por_hogar_eur;renta_bruta_media_por_persona_eur;renta_mediana_por_unidad_consumo_eur;renta_neta_media_por_hogar_eur;renta_neta_media_por_persona_eur;confianza_construccion_pct_neto;confianza_consumidor_pct_neto;confianza_industria_manufacturera_pct_neto;ipc_general_variacion_interanual_pct;pib_indice_volumen_base_2020;produccion_industrial_indice_base_2021;tasa_paro_nacional_pct;vab_construccion_indice_volumen_base_2020;salario_medio_anual_euros_total;salario_medio_anual_euros_hombre;salario_medio_anual_euros_mujer;brecha_salarial_genero_pct;alquiler_mensual_eur_m2_mediana_vivienda_colectiva;alquiler_mensual_total_eur_mediana_vivienda_colectiva;superficie_m2_mediana_vivienda_colectiva;observaciones_alquiler_vivienda_colectiva;ipv_general;ipv_vivienda_nueva;ipv_segunda_mano;ipva_indice_general;ipva_variacion_anual_general;valor_tasado_m2;precio_suelo_m2;superficie_m2;numero_transacciones;valor_transacciones_miles_euros;ipv_nacional_variacion_interanual_pct;ipc_alquiler_variacion_interanual_pct;indice_costes_construccion;compraventas_viviendas_total;compraventas_viviendas_nuevas;compraventas_viviendas_usadas;plazo_medio_hipotecas_meses;ratio_prestamo_valor_pct;prestamos_ltv_superior_80_pct;tipo_interes_prestamos_vivienda_pct;tasa_paro_joven_20_29_nacional_pct;ratio_precio_vivienda_renta_hogar_anios_nacional;esfuerzo_teorico_vivienda_pct_nacional;credito_vivienda_variacion_interanual_pct;rentabilidad_anual_vivienda_pct;rentabilidad_bruta_alquiler_pct;parque_viviendas_estimado_nacional;pct_vivienda_principal_propiedad_nacional;pct_vivienda_principal_alquiler_nacional;viajeros_por_1000_habitantes;pernoctaciones_por_habitante;plazas_hoteleras_por_1000_habitantes;transacciones_suelo_por_100000_habitantes;precio_vivienda_estimado_eur;IAV_total;IAV_hombre;IAV_mujer;anios_renta_neta_hogar_para_compra;anios_renta_bruta_hogar_para_compra;esfuerzo_alquiler_renta_neta_pct;alquiler_eur_m2_sobre_valor_tasado_m2_pct;valor_medio_transaccion_suelo_miles_eur;valor_suelo_estimado_miles_eur;valor_tasado_m2_variacion_interanual_pct;precio_suelo_m2_variacion_interanual_pct;viajeros_total_variacion_interanual_pct;pernoctaciones_total_variacion_interanual_pct;tasa_paro_pct_total_variacion_interanual_pct;valor_tasado_m2_lag_1t;valor_tasado_m2_lag_4t;valor_tasado_m2_media_movil_4t
1;Araba/Álava;2015;1;65.06;52.76;18.9;57.57;46.6;19.06;61.22;49.61;18.97;3;31/03/2015;2015T1;16;País Vasco;Araba/Álava;7.49;6.16;0.16;64321;51096;13226;113134;86935;26200;1.758896783;71;2146.333333;4135.666667;505.6666667;37.40333333;30.13666667;35.06333333;321541;44.23082922;17.1828787;17.67146336;22.52683173;131.1004525;62.86087042;50.58483988;97.68768713;2.4;30.6;92.1;;;;;;;;;;;;;-26.63333333;15.53333333;-0.591666667;-0.5;101.5625;97.06583333;22.0575;103.2025;;;;;;;;;59.408;50.673;61.346;;;1938.3;228.55;29.72;21;2780.6;1.5;-0.566666667;90.33;90748;23352;67396;275;60.7;13.2;2.613333333;36.56;6.58;31.13;-3.78;9.78;8.33;25201145;77.3;15.6;200.0398083;0.351849375;12.86201967;6.531048918;;;;;;;;;132.4095238;6.792506;;;;;;;;
1;Araba/Álava;2015;2;64.08;54.18;15.45;55.77;47.04;15.65;59.83;50.53;15.54;6;30/06/2015;2015T2;16;País Vasco;Araba/Álava;8.31;7.14;0.2;93503;66514;26989;157649;109499;48150;1.686031464;74.66666667;2220;4281;536.3333333;48.99;40.15;52.95333333;321541;44.23082922;17.1828787;17.67146336;22.52683173;131.1004525;62.86087042;50.58483988;97.68768713;2.4;30.6;92.1;;;;;;;;;;;;;-26.63333333;15.53333333;-0.591666667;-0.5;101.5625;97.06583333;22.0575;103.2025;;;;;;;;;60.423;48.757;63.517;;;2029.1;234.53;9.46;13;1751.3;4;-0.533333333;93.72;87612;18803;68809;276;61.8;14.5;2.506666667;34.66;6.69;31.27;-3.316666667;12.23;8.25;25190714.67;77.3;15.6;290.7965081;0.490292062;13.31400972;4.043030282;;;;;;;;;134.7153846;2.2186538;;;;;;1938.3;;1983.7
1;Araba/Álava;2015;3;63.39;55.19;12.93;52.59;45.34;13.79;57.86;50.14;13.33;9;30/09/2015;2015T3;16;País Vasco;Araba/Álava;10.8;9.85;0.86;133194;85875;47319;228603;157216;71386;1.71631605;73;2216;4272.666667;565.6666667;63.42333333;57.09;68.05333333;321541;44.23082922;17.1828787;17.67146336;22.52683173;131.1004525;62.86087042;50.58483988;97.68768713;2.4;30.6;92.1;;;;;;;;;;;;;-26.63333333;15.53333333;-0.591666667;-0.5;101.5625;97.06583333;22.0575;103.2025;;;;;;;;;60.399;48.788;63.472;;;1970.3;189.99;70.7;37;4477.02;4.5;-0.4;90.26;93115;18431;74684;273;62.3;14.9;2.45;33.58;6.64;30.85;-3.36;12.74;8.25;25182205.33;77.3;15.6;414.2364426;0.710960655;13.28809286;11.50708619;;;;;;;;;121.0005405;13.432293;;;;;;2029.1;;1979.233333
1;Araba/Álava;2015;4;64.43;57.71;10.43;54.86;47.08;14.18;59.52;52.25;12.21;12;31/12/2015;2015T4;16;País Vasco;Araba/Álava;9.57;10.63;3.75;95670;75978;19691;169807;134051;35755;1.774924219;72;2224.333333;4286;512.6666667;49.94666667;42.61666667;52.67333333;321541;44.23082922;17.1828787;17.67146336;22.52683173;131.1004525;62.86087042;50.58483988;97.68768713;2.4;30.6;92.1;;;;;;;;;;;;;-26.63333333;15.53333333;-0.591666667;-0.5;101.5625;97.06583333;22.0575;103.2025;;;;;;;;;60.842;50.606;63.348;;;1967.3;182.19;24.56;23;4816.86;4.2;-0.4;92.90666667;84081;16368;67713;271;63.2;15.6;2.426666667;33.04;6.65;30.88;-3.27;12.45;8.15;25173354.33;77.3;15.6;297.5359285;0.528103725;13.32955984;7.153053576;;;;;;;;;209.4286957;4.4745864;;;;;;1970.3;;1976.25
1;Araba/Álava;2016;1;62.64;55.8;10.92;55.29;49.49;10.49;58.86;52.56;10.71;3;31/03/2016;2016T1;16;País Vasco;Araba/Álava;7.35;6.31;-0.43;75016;59480;15536;130324;100713;29611;1.737282713;67;2138;4121.333333;466;42.3;34.22666667;46.28666667;322974;44.48345655;17.39520828;17.02118437;22.99813607;132.2096045;64.48838359;50.64153771;97.46635771;2.4;30.8;91.8;;;;;;;;;;;;;-39.13333333;11.7425;-2.108333333;-0.191666667;104.5225;98.58833333;19.635;106.8475;;;;;;;;;61.101;50.677;63.664;;;1916.1;177.5;58.4;22;3925.03;6.3;-0.3;88.55;99620;20137;79483;277;63.9;15.2;2.33;33.77;6.68;30.75;-3.323333333;14.47;8.18;25163299.33;77.1;16.3;232.2663744;0.403512357;12.76057309;6.811693821;;;;;;;;;178.4104545;10.366;-1.14533354;-22.33646904;16.62753999;15.19437128;-43.54243542;1967.3;1938.3;1970.7
1;Araba/Álava;2016;2;62.3;54.57;12.4;53.67;46.21;13.89;57.86;50.27;13.11;6;30/06/2016;2016T2;16;País Vasco;Araba/Álava;8.63;8.36;1.49;96998;67867;29132;159745;105606;54138;1.646889627;73;2246.666667;4325.333333;492.3333333;53.23666667;40.18333333;50.81333333;322974;44.48345655;17.39520828;17.02118437;22.99813607;132.2096045;64.48838359;50.64153771;97.46635771;2.4;30.8;91.8;;;;;;;;;;;;;-39.13333333;11.7425;-2.108333333;-0.191666667;104.5225;98.58833333;19.635;106.8475;;;;;;;;;62.101;52.02;64.537;;;1925.4;240.41;18.11;9;4528;3.9;-0.066666667;92.68;108662;20590;88072;276;63.8;14.3;2.323333333;32.41;6.67;30.52;-3.6;11.81;7.92;25152336.17;77.1;16.3;300.3275805;0.494606377;13.39220288;2.786602017;;;;;;;;;503.1111111;4.3538251;-5.110640185;2.507141943;3.737847983;1.329535868;-15.63706564;1916.1;2029.1;1944.775
1;Araba/Álava;2016;3;63.15;55.87;11.53;53.45;46.58;12.86;58.16;51.09;12.16;9;30/09/2016;2016T3;16;País Vasco;Araba/Álava;9.7;9.29;1.33;137077;84807;52270;254586;170014;84573;1.857248116;73;2250;4355.333333;520.3333333;70.26666667;61.64333333;70.55;322974;44.48345655;17.39520828;17.02118437;22.99813607;132.2096045;64.48838359;50.64153771;97.46635771;2.4;30.8;91.8;;;;;;;;;;;;;-39.13333333;11.7425;-2.108333333;-0.191666667;104.5225;98.58833333;19.635;106.8475;;;;;;;;;62.528;52.596;64.908;;;1911.1;130.18;21.42;9;2565;4;-0.033333333;89.74333333;103640;18128;85512;279;63.8;13.9;2.366666667;29.64;6.67;30.57;-3.156666667;11.88;7.88;25141659.33;77.1;16.3;424.4211608;0.788255401;13.48508962;2.786602017;;;;;;;;;285;2.7884556;-3.004618586;-31.48060424;2.915296485;11.36599257;-8.777194299;1925.4;1970.3;1929.975
1;Araba/Álava;2016;4;63.18;56.4;10.73;54.76;47.46;13.32;58.85;51.8;11.97;12;31/12/2016;2016T4;16;País Vasco;Araba/Álava;8.42;8.94;2.59;92281;71689;20591;166025;125316;40710;1.799124413;72.66666667;2223;4343.333333;501.3333333;50.77333333;40.94333333;51.27;322974;44.48345655;17.39520828;17.02118437;22.99813607;132.2096045;64.48838359;50.64153771;97.46635771;2.4;30.8;91.8;;;;;;;;;;;;;-39.13333333;11.7425;-2.108333333;-0.191666667;104.5225;98.58833333;19.635;106.8475;;;;;;;;;61.548;51.697;63.916;;;1860.8;206.42;9.94;8;2668.9;4.5;0.066666667;93.20333333;93463;16279;77184;278;64.2;13.8;2.273333333;29.74;6.7;30.31;-3.1;12.34;7.81;25131463.97;77.1;16.3;285.7226898;0.514050667;13.44793492;2.476979571;;;;;;;;;333.6125;2.0518148;-5.413510903;13.29930293;-3.542385283;-2.227234449;-1.965601966;1911.1;1967.3;1903.35
1;Araba/Álava;2017;1;61.62;55.25;10.34;52.34;45.06;13.9;56.85;50.01;12.03;3;31/03/2017;2017T1;16;País Vasco;Araba/Álava;9.28;10.19;3.56;74487;59278;15209;136480;104699;31781;1.832266033;70;2145.666667;4190;466;46.40666667;35.94333333;45.13;325250;44.7097027;17.5603382;16.54204458;23.39861645;133.2469579;65.84015776;50.66441199;97.37720437;2.4;30.9;91.4;;;;;;;;;;;;;-25.1;14.3425;1.375;1.966666667;107.5475;101.4008333;17.225;108.6925;;;;;;;;;63.106;53.404;65.415;;;1931.1;197.5;16.85;12;1912.26;5.3;0.1;90.09333333;114965;20540;94425;280;64.8;14.1;2.236666667;29.69;6.78;30.47;-2.956666667;13.01;7.72;25121333.1;76.7;16.9;229.0146042;0.41961568;12.88239816;3.689469639;;;;;;;;;159.355;3.327875;0.782840144;11.26760563;-0.705182894;4.723611921;12.32492997;1860.8;1916.1;1907.1
1;Araba/Álava;2017;2;60.26;54.11;10.21;54.13;45.45;16.03;57.11;49.65;13.05;6;30/06/2017;2017T2;16;País Vasco;Araba/Álava;6.13;8.66;5.82;108773;75684;33089;200217;139263;60955;1.840686567;76.66666667;2283.666667;4450;485.3333333;60.46;48.92;60.69;325250;44.7097027;17.5603382;16.54204458;23.39861645;133.2469579;65.84015776;50.66441199;97.37720437;2.4;30.9;91.4;;;;;;;;;;;;;-25.1;14.3425;1.375;1.966666667;107.5475;101.4008333;17.225;108.6925;;;;;;;;;64.923;55.705;67.071;;;1905.1;170.61;33.24;15;2920.7;5.6;0.233333333;93.77333333;121395;20802;100593;278;65;14;2.17;27.75;6.77;30.19;-2.83;13.25;7.67;25113511.4;76.7;16.9;334.4289008;0.615578786;13.68178324;4.611837048;;;;;;;;;194.7133333;5.6710764;-1.054326374;-29.03373404;12.13942556;25.33537826;-0.457665904;1931.1;1925.4;1902.025
