periodo;codigo_provincia;provincia;poblacion_total;pct_18_34;pct_35_64;pct_65_mas;tamano_medio_hogar;pct_hogares_unipersonales;salario_medio_anual_euros_total;salario_medio_anual_euros_hombre;salario_medio_anual_euros_mujer;tasa_empleo_pct_total;tasa_paro_pct_total;inflación;indice_costes_construccion;ipv_general;ratio_prestamo_valor_pct;tipo_interes_prestamos_vivienda_pct;credito_vivienda_variacion_interanual_pct;valor_tasado_m2;tasa_migracion_neta_exterior_por_1000_habitantes;compraventas_viviendas;pct_compraventas_vivienda_nueva;importe_medio_hipoteca_vivienda_eur;visados_obra_nueva_viviendas;IAV_total
2015T1;1;Araba/Álava;321541;17,67;42,62;22,53;2,40;30,60;27956,00;31787,00;23571,00;49,61;18,97;98,71;90,33;59,41;60,70;2,61;-3,78;1913,22;-0,36;456;29,82;73828,72;177;5,47
2015T2;1;Araba/Álava;321541;17,67;42,62;22,53;2,40;30,60;27956,00;31787,00;23571,00;50,53;15,54;100,73;93,72;60,42;61,80;2,51;-3,32;2043,83;-0,36;536;36,01;112497,42;153;5,85
2015T3;1;Araba/Álava;321541;17,67;42,62;22,53;2,40;30,60;27956,00;31787,00;23571,00;50,14;13,33;99,87;90,26;60,40;62,30;2,45;-3,36;1967,69;-0,36;496;22,18;106469,03;164;5,63
2015T4;1;Araba/Álava;321541;17,67;42,62;22,53;2,40;30,60;27956,00;31787,00;23571,00;52,25;12,21;100,70;92,91;60,84;63,20;2,43;-3,27;1981,08;-0,36;403;17,62;113703,70;256;5,67
2016T1;1;Araba/Álava;322974;17,02;42,58;23,00;2,40;30,80;27893,00;31648,00;23676,00;52,56;10,71;98,35;88,55;61,10;63,90;2,33;-3,32;1884,40;2,21;638;31,82;116735,61;102;5,40
2016T2;1;Araba/Álava;322974;17,02;42,58;23,00;2,40;30,80;27893,00;31648,00;23676,00;50,27;13,11;99,98;92,68;62,10;63,80;2,32;-3,60;1925,08;2,21;628;20,86;107101,27;163;5,52
2016T3;1;Araba/Álava;322974;17,02;42,58;23,00;2,40;30,80;27893,00;31648,00;23676,00;51,09;12,16;99,73;89,74;62,53;63,80;2,37;-3,16;1905,86;2,21;497;18,31;107728,29;141;5,47
2016T4;1;Araba/Álava;322974;17,02;42,58;23,00;2,40;30,80;27893,00;31648,00;23676,00;51,80;11,97;101,61;93,20;61,55;64,20;2,27;-3,10;1890,83;2,21;454;22,47;105553,61;117;5,42
2017T1;1;Araba/Álava;325250;16,54;42,50;23,40;2,40;30,90;28704,00;32653,00;24402,00;50,01;12,03;101,05;90,09;63,11;64,80;2,24;-2,96;1951,41;3,42;745;19,87;97096,36;216;5,44
2017T2;1;Araba/Álava;325250;16,54;42,50;23,40;2,40;30,90;28704,00;32653,00;24402,00;49,65;13,05;102,02;93,77;64,92;65,00;2,17;-2,83;1943,65;3,42;684;12,87;113034,31;226;5,42
2017T3;1;Araba/Álava;325250;16,54;42,50;23,40;2,40;30,90;28704,00;32653,00;24402,00;50,50;10,95;101,66;91,13;66,14;64,90;2,22;-2,84;1942,26;3,42;682;16,13;114048,54;178;5,41
2017T4;1;Araba/Álava;325250;16,54;42,50;23,40;2,40;30,90;28704,00;32653,00;24402,00;52,72;9,04;103,13;94,80;65,92;65,60;2,15;-2,79;2001,34;3,42;696;23,85;99517,95;106;5,58
2018T1;1;Araba/Álava;327763;16,32;42,20;23,85;2,40;31,00;28898,00;32723,00;24693,00;51,49;10,54;101,78;91,97;66,96;65,50;2,23;-2,60;1936,70;4,88;911;27,88;118804,62;136;5,36
2018T2;1;Araba/Álava;327763;16,32;42,20;23,85;2,40;31,00;28898,00;32723,00;24693,00;51,63;10,53;103,67;95,37;68,68;64,90;2,20;-2,19;1981,77;4,88;889;16,76;115669,23;241;5,49
2018T3;1;Araba/Álava;327763;16,32;42,20;23,85;2,40;31,00;28898,00;32723,00;24693,00;53,15;7,99;103,58;92,55;69,33;65,90;2,17;-1,81;1968,98;4,88;744;12,37;117814,70;161;5,45
2018T4;1;Araba/Álava;327763;16,32;42,20;23,85;2,40;31,00;28898,00;32723,00;24693,00;53,83;7,39;104,51;96,51;69,24;66,50;2,26;-1,57;2029,11;4,88;632;12,34;123903,91;313;5,62
2019T1;1;Araba/Álava;330104;16,19;41,96;24,29;2,40;31,10;30031,00;34005,00;25639,00;54,91;7,54;102,95;92,79;70,83;64,60;2,37;-1,25;2051,84;7,14;937;13,02;125440,33;211;5,47
2019T2;1;Araba/Álava;330104;16,19;41,96;24,29;2,40;31,10;30031,00;34005,00;25639,00;53,66;8,04;104,70;96,07;71,33;65,50;2,35;-1,14;2059,34;7,14;889;14,29;128364,71;298;5,49
2019T3;1;Araba/Álava;330104;16,19;41,96;24,29;2,40;31,10;30031,00;34005,00;25639,00;51,37;10,23;104,14;93,19;72,68;64,70;2,15;-1,19;1993,35;7,14;761;11,17;122483,11;169;5,31
2019T4;1;Araba/Álava;330104;16,19;41,96;24,29;2,40;31,10;30031,00;34005,00;25639,00;52,28;7,31;105,27;96,93;71,28;63,00;1,99;-1,08;2067,64;7,14;722;20,91;121558,68;166;5,51
2020T1;1;Araba/Álava;332874;16,12;41,71;24,67;2,40;31,30;30677,00;34674,00;26353,00;52,15;5,59;103,62;92,62;73,24;63,80;2,03;-1,14;2017,47;2,38;854;13,70;125454,79;144;5,26
2020T2;1;Araba/Álava;332874;16,12;41,71;24,67;2,40;31,30;30677,00;34674,00;26353,00;49,84;7,81;103,99;93,31;72,48;64,20;1,91;-1,64;2026,83;2,38;590;18,64;142418,30;97;5,29
2020T3;1;Araba/Álava;332874;16,12;41,71;24,67;2,40;31,30;30677,00;34674,00;26353,00;50,42;8,04;103,56;92,71;74,03;63,60;1,94;-1,62;1990,23;2,38;1163;7,05;92538,59;84;5,19
2020T4;1;Araba/Álava;332874;16,12;41,71;24,67;2,40;31,30;30677,00;34674,00;26353,00;49,60;9,99;104,49;97,76;72,82;65,20;1,80;-1,19;2054,72;2,38;773;9,31;137038,02;122;5,36
2021T1;1;Araba/Álava;333485;15,99;41,64;25,00;2,40;31,90;31530,00;35523,00;27134,00;49,12;12,76;104,29;94,96;73,38;64,70;1,72;-0,80;2103,68;2,68;866;14,09;140912,74;399;5,34
2021T2;1;Araba/Álava;333485;15,99;41,64;25,00;2,40;31,90;31530,00;35523,00;27134,00;49,32;10,92;106,86;100,28;74,33;64,90;1,62;0,07;2147,85;2,68;933;15,11;138014,51;259;5,45
2021T3;1;Araba/Álava;333485;15,99;41,64;25,00;2,40;31,90;31530,00;35523,00;27134,00;51,26;12,30;107,13;99,76;75,03;65,20;1,59;0,74;2116,33;2,68;842;10,10;117049,27;357;5,37
2021T4;1;Araba/Álava;333485;15,99;41,64;25,00;2,40;31,90;31530,00;35523,00;27134,00;53,32;9,48;110,56;105,01;75,90;65,40;1,54;0,76;2251,85;2,68;842;15,68;154893,94;416;5,71
2022T1;1;Araba/Álava;333908;16,00;41,27;25,58;2,40;32,10;32799,00;36885,00;28321,00;50,63;10,21;112,54;105,46;77,97;65,20;1,60;0,72;2234,07;10,73;896;10,27;141822,03;417;5,45
2022T2;1;Araba/Álava;333908;16,00;41,27;25,58;2,40;32,10;32799,00;36885,00;28321,00;51,39;9,67;116,30;114,52;79,16;65,20;1,74;0,98;2382,67;10,73;1055;19,05;148721,23;241;5,81
2022T3;1;Araba/Álava;333908;16,00;41,27;25,58;2,40;32,10;32799,00;36885,00;28321,00;52,79;9,01;117,59;110,54;80,89;64,60;2,14;0,87;2406,40;10,73;984;20,43;124203,14;128;5,87
2022T4;1;Araba/Álava;333908;16,00;41,27;25,58;2,40;32,10;32799,00;36885,00;28321,00;53,96;7,87;117,13;115,01;79,63;63,90;2,87;0,30;2383,81;10,73;907;25,47;138073,39;399;5,81
2023T1;1;Araba/Álava;336308;16,30;40,92;25,85;2,40;32,40;34386,00;38582,00;29750,00;54,70;6,67;117,69;112,83;80,37;63,00;3,59;-0,75;2436,69;8,89;936;18,80;146592,07;270;5,67
2023T2;1;Araba/Álava;336308;16,30;40,92;25,85;2,40;32,40;34386,00;38582,00;29750,00;54,00;7,18;119,26;116,60;81,56;62,70;3,89;-2,01;2478,53;8,89;693;11,69;147166,92;299;5,77
2023T3;1;Araba/Álava;336308;16,30;40,92;25,85;2,40;32,40;34386,00;38582,00;29750,00;52,25;9,70;120,39;112,78;83,97;62,20;4,06;-3,14;2518,96;8,89;821;10,11;142561,70;166;5,86
