comunidad_autonoma,provincia,indicador,anio,valor,variable,unidad
Castilla - La Mancha,Albacete,Edad media de la población,2015,42.0,edad_media,años
Castilla - La Mancha,Albacete,Porcentaje de población de 65 y más años,2015,18.6,pct_65_mas,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de hogares unipersonales,2015,27.7,pct_hogares_unipersonales,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de población menor de 18 años,2015,17.9,pct_menor_18,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de población española,2015,93.9,pct_poblacion_espanola,porcentaje
Castilla - La Mancha,Albacete,Población,2015,390.627,poblacion,personas
Castilla - La Mancha,Albacete,Tamaño medio del hogar,2015,2.6,tamano_medio_hogar,personas_por_hogar
Castilla - La Mancha,Albacete,Edad media de la población,2016,42.3,edad_media,años
Castilla - La Mancha,Albacete,Porcentaje de población de 65 y más años,2016,18.7,pct_65_mas,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de hogares unipersonales,2016,28.2,pct_hogares_unipersonales,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de población menor de 18 años,2016,17.7,pct_menor_18,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de población española,2016,94.1,pct_poblacion_espanola,porcentaje
Castilla - La Mancha,Albacete,Población,2016,388.322,poblacion,personas
Castilla - La Mancha,Albacete,Tamaño medio del hogar,2016,2.6,tamano_medio_hogar,personas_por_hogar
Castilla - La Mancha,Albacete,Edad media de la población,2017,42.6,edad_media,años
Castilla - La Mancha,Albacete,Porcentaje de población de 65 y más años,2017,19.0,pct_65_mas,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de hogares unipersonales,2017,28.3,pct_hogares_unipersonales,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de población menor de 18 años,2017,17.7,pct_menor_18,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de población española,2017,93.9,pct_poblacion_espanola,porcentaje
Castilla - La Mancha,Albacete,Población,2017,387.139,poblacion,personas
Castilla - La Mancha,Albacete,Tamaño medio del hogar,2017,2.6,tamano_medio_hogar,personas_por_hogar
Castilla - La Mancha,Albacete,Edad media de la población,2018,42.9,edad_media,años
Castilla - La Mancha,Albacete,Porcentaje de población de 65 y más años,2018,19.2,pct_65_mas,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de hogares unipersonales,2018,28.8,pct_hogares_unipersonales,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de población menor de 18 años,2018,17.4,pct_menor_18,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de población española,2018,93.7,pct_poblacion_espanola,porcentaje
Castilla - La Mancha,Albacete,Población,2018,385.271,poblacion,personas
