codigo_ccaa,comunidad_autonoma,codigo_provincia,provincia,anio,poblacion_hombres,poblacion_mujeres,poblacion_total,pct_mujeres,razon_masculinidad
08,Castilla - La Mancha,02,Albacete,2021,193487,193239,386726,49.96793595465523,100.12833848239744
08,Castilla - La Mancha,02,Albacete,2022,193236,192731,385967,49.93457989931782,100.26202323445631
08,Castilla - La Mancha,02,Albacete,2023,194012,193517,387529,49.936133811921174,100.25579148085181
08,Castilla - La Mancha,02,Albacete,2024,194761,194309,389070,49.941912766340245,100.23261917873079
08,Castilla - La Mancha,02,Albacete,2025,196118,194633,390751,49.809981292434315,100.76297441852101
10,Comunitat Valenciana,03,Alicante/Alacant,2021,935234,951802,1887036,50.43899533448222,98.2593018295822
10,Comunitat Valenciana,03,Alicante/Alacant,2022,945114,962380,1907494,50.452583337090445,98.20590619090173
10,Comunitat Valenciana,03,Alicante/Alacant,2023,966477,988791,1955268,50.57061231503814,97.7433047024093
10,Comunitat Valenciana,03,Alicante/Alacant,2024,984792,1008497,1993289,50.59462024824298,97.64947243273902
10,Comunitat Valenciana,03,Alicante/Alacant,2025,1005674,1027892,2033566,50.5462817533338,97.83848886848034
01,Andalucía,04,Almería,2021,372823,357607,730430,48.958421751570995,104.25495026663349
01,Andalucía,04,Almería,2022,378325,361216,739541,48.84326900063688,104.73650115166548
01,Andalucía,04,Almería,2023,385696,367668,753364,48.80350003451187,104.90333670594123
01,Andalucía,04,Almería,2024,389103,371861,760964,48.86709489542212,104.63667875899866
01,Andalucía,04,Almería,2025,393351,377203,770554,48.95218245573964,104.28098397944873
16,País Vasco,01,Araba/Álava,2021,164299,169186,333485,50.73271661394066,97.11146312342629
16,País Vasco,01,Araba/Álava,2022,164410,169498,333908,50.76188650766079,96.99819466896365
16,País Vasco,01,Araba/Álava,2023,165600,170708,336308,50.75942290995159,97.00775593410971
16,País Vasco,01,Araba/Álava,2024,166667,171927,338594,50.77674146618074,96.94056198270196
16,País Vasco,01,Araba/Álava,2025,168413,173548,341961,50.75081661359044,97.04116440408417
03,"Asturias, Principado de",33,Asturias,2021,483186,528931,1012117,52.259867189267645,91.35142390973492
03,"Asturias, Principado de",33,Asturias,2022,479658,525302,1004960,52.27093615666295,91.31090306147702
03,"Asturias, Principado de",33,Asturias,2023,479739,526321,1006060,52.31507067172932,91.14950761987457
03,"Asturias, Principado de",33,Asturias,2024,481478,528121,1009599,52.30997653523825,91.16812245678547
03,"Asturias, Principado de",33,Asturias,2025,484511,530617,1015128,52.270945141893435,91.31087017566342
11,Extremadura,06,Badajoz,2021,331856,339236,671092,50.54985009506893,97.82452334068319
11,Extremadura,06,Badajoz,2022,330178,337673,667851,50.56112815583116,97.78039701130976
11,Extremadura,06,Badajoz,2023,329118,336931,666049,50.58651840930622,97.68112758992197
11,Extremadura,06,Badajoz,2024,328932,337097,666029,50.61296129748104,97.57784851244597
11,Extremadura,06,Badajoz,2025,328176,336979,665155,50.66172546248619,97.38767104181566
04,"Balears, Illes",07,"Balears, Illes",2021,590990,592425,1183415,50.060629618519286,99.7577752458117
04,"Balears, Illes",07,"Balears, Illes",2022,592100,594943,1187043,50.11975134851897,99.52213909567807
04,"Balears, Illes",07,"Balears, Illes",2023,602649,607257,1209906,50.19042801672196,99.24117795266254
04,"Balears, Illes",07,"Balears, Illes",2024,613910,617858,1231768,50.16025745107845,99.36101822748917
04,"Balears, Illes",07,"Balears, Illes",2025,622673,627171,1249844,50.17994245681861,99.28281122692216
09,Cataluña,08,Barcelona,2021,2785890,2916372,5702262,51.14412491043028,95.52587941456028
09,Cataluña,08,Barcelona,2022,2783698,2915904,5699602,51.159782735706806,95.46603729066526
09,Cataluña,08,Barcelona,2023,2830260,2967096,5797356,51.18015867923239,95.38821797474702
09,Cataluña,08,Barcelona,2024,2870721,3006951,5877672,51.15887718811121,95.46949717504542
09,Cataluña,08,Barcelona,2025,2916664,3043277,5959941,51.062200112383664,95.83958344902551
16,País Vasco,48,Bizkaia,2021,557190,596445,1153635,51.70136134912689,93.41850463999195
16,País Vasco,48,Bizkaia,2022,554748,593929,1148677,51.705483787000176,93.40308353355367
16,País Vasco,48,Bizkaia,2023,557146,596136,1153282,51.69039315622719,93.45954614383295
16,País Vasco,48,Bizkaia,2024,560523,598845,1159368,51.6527107872565,93.60068131152468
16,País Vasco,48,Bizkaia,2025,564945,602288,1167233,51.59963777583396,93.79981005764684
07,Castilla y León,09,Burgos,2021,178040,178002,356042,49.99466355092938,100.02134807474073
07,Castilla y León,09,Burgos,2022,177509,177337,354846,49.97576413430051,100.09699047576083
07,Castilla y León,09,Burgos,2023,178592,178778,357370,50.02602344908638,99.89596035306357
07,Castilla y León,09,Burgos,2024,179824,179916,359740,50.01278701284261,99.94886502590097
07,Castilla y León,09,Burgos,2025,181482,181181,362663,49.958501418672434,100.1661322103311
06,Cantabria,39,Cantabria,2021,283854,300854,584708,51.45371706903275,94.34941865489573
06,Cantabria,39,Cantabria,2022,284061,301389,585450,51.47988726620548,94.25061963110797
06,Cantabria,39,Cantabria,2023,285133,303254,588387,51.53988786292015,94.02448112803128
