codigo_provincia,provincia,sexo,anio,edad_original,edad,poblacion
02,Albacete,Hombres,2015,0 años,0,1856
02,Albacete,Hombres,2015,1 año,1,1887
02,Albacete,Hombres,2015,10 años,10,2063
02,Albacete,Hombres,2015,100 y más años,100,19
02,Albacete,Hombres,2015,11 años,11,2074
02,Albacete,Hombres,2015,12 años,12,2004
02,Albacete,Hombres,2015,13 años,13,2018
02,Albacete,Hombres,2015,14 años,14,2078
02,Albacete,Hombres,2015,15 años,15,2106
02,Albacete,Hombres,2015,16 años,16,2134
02,Albacete,Hombres,2015,17 años,17,2086
02,Albacete,Hombres,2015,18 años,18,2162
02,Albacete,Hombres,2015,19 años,19,2251
02,Albacete,Hombres,2015,2 años,2,1835
02,Albacete,Hombres,2015,20 años,20,2225
02,Albacete,Hombres,2015,21 años,21,2173
02,Albacete,Hombres,2015,22 años,22,2330
02,Albacete,Hombres,2015,23 años,23,2392
02,Albacete,Hombres,2015,24 años,24,2535
02,Albacete,Hombres,2015,25 años,25,2463
02,Albacete,Hombres,2015,26 años,26,2395
02,Albacete,Hombres,2015,27 años,27,2473
02,Albacete,Hombres,2015,28 años,28,2521
02,Albacete,Hombres,2015,29 años,29,2474
02,Albacete,Hombres,2015,3 años,3,2037
02,Albacete,Hombres,2015,30 años,30,2620
02,Albacete,Hombres,2015,31 años,31,2749
02,Albacete,Hombres,2015,32 años,32,2863
02,Albacete,Hombres,2015,33 años,33,2939
02,Albacete,Hombres,2015,34 años,34,2979
02,Albacete,Hombres,2015,35 años,35,3155
02,Albacete,Hombres,2015,36 años,36,3383
02,Albacete,Hombres,2015,37 años,37,3252
02,Albacete,Hombres,2015,38 años,38,3326
02,Albacete,Hombres,2015,39 años,39,3277
02,Albacete,Hombres,2015,4 años,4,2004
02,Albacete,Hombres,2015,40 años,40,3265
02,Albacete,Hombres,2015,41 años,41,3276
02,Albacete,Hombres,2015,42 años,42,3172
02,Albacete,Hombres,2015,43 años,43,3196
02,Albacete,Hombres,2015,44 años,44,3157
02,Albacete,Hombres,2015,45 años,45,3244
02,Albacete,Hombres,2015,46 años,46,3224
02,Albacete,Hombres,2015,47 años,47,3227
02,Albacete,Hombres,2015,48 años,48,3157
02,Albacete,Hombres,2015,49 años,49,3166
02,Albacete,Hombres,2015,5 años,5,2066
02,Albacete,Hombres,2015,50 años,50,3303
02,Albacete,Hombres,2015,51 años,51,3121
02,Albacete,Hombres,2015,52 años,52,2949
02,Albacete,Hombres,2015,53 años,53,2942
02,Albacete,Hombres,2015,54 años,54,3023
02,Albacete,Hombres,2015,55 años,55,2906
02,Albacete,Hombres,2015,56 años,56,2645
02,Albacete,Hombres,2015,57 años,57,2528
02,Albacete,Hombres,2015,58 años,58,2127
02,Albacete,Hombres,2015,59 años,59,2043
02,Albacete,Hombres,2015,6 años,6,2155
02,Albacete,Hombres,2015,60 años,60,1960
02,Albacete,Hombres,2015,61 años,61,1965
02,Albacete,Hombres,2015,62 años,62,1965
02,Albacete,Hombres,2015,63 años,63,1772
02,Albacete,Hombres,2015,64 años,64,1790
02,Albacete,Hombres,2015,65 años,65,1833
02,Albacete,Hombres,2015,66 años,66,1885
02,Albacete,Hombres,2015,67 años,67,1658
02,Albacete,Hombres,2015,68 años,68,1482
02,Albacete,Hombres,2015,69 años,69,1610
02,Albacete,Hombres,2015,7 años,7,2162
02,Albacete,Hombres,2015,70 años,70,1502
02,Albacete,Hombres,2015,71 años,71,1613
02,Albacete,Hombres,2015,72 años,72,1377
02,Albacete,Hombres,2015,73 años,73,1229
02,Albacete,Hombres,2015,74 años,74,1850
02,Albacete,Hombres,2015,75 años,75,870
02,Albacete,Hombres,2015,76 años,76,1238
02,Albacete,Hombres,2015,77 años,77,1377
02,Albacete,Hombres,2015,78 años,78,1346
02,Albacete,Hombres,2015,79 años,79,1357
02,Albacete,Hombres,2015,8 años,8,2114
02,Albacete,Hombres,2015,80 años,80,1186
02,Albacete,Hombres,2015,81 años,81,1176
02,Albacete,Hombres,2015,82 años,82,1140
02,Albacete,Hombres,2015,83 años,83,1066
02,Albacete,Hombres,2015,84 años,84,989
02,Albacete,Hombres,2015,85 años,85,876
02,Albacete,Hombres,2015,85 y más años,85,4433
02,Albacete,Hombres,2015,86 años,86,752
02,Albacete,Hombres,2015,87 años,87,659
02,Albacete,Hombres,2015,88 años,88,551
02,Albacete,Hombres,2015,89 años,89,404
02,Albacete,Hombres,2015,9 años,9,1998
02,Albacete,Hombres,2015,90 años,90,325
02,Albacete,Hombres,2015,91 años,91,260
02,Albacete,Hombres,2015,92 años,92,185
02,Albacete,Hombres,2015,93 años,93,140
02,Albacete,Hombres,2015,94 años,94,100
02,Albacete,Hombres,2015,95 años,95,58
02,Albacete,Hombres,2015,96 años,96,51
02,Albacete,Hombres,2015,97 años,97,37
02,Albacete,Hombres,2015,98 años,98,11
02,Albacete,Hombres,2015,99 años,99,5
02,Albacete,Hombres,2015,Todas las edades,,196954
02,Albacete,Mujeres,2015,0 años,0,1691
02,Albacete,Mujeres,2015,1 año,1,1672
02,Albacete,Mujeres,2015,10 años,10,1843
02,Albacete,Mujeres,2015,100 y más años,100,56
02,Albacete,Mujeres,2015,11 años,11,2008
02,Albacete,Mujeres,2015,12 años,12,1973
02,Albacete,Mujeres,2015,13 años,13,1960
02,Albacete,Mujeres,2015,14 años,14,2036
02,Albacete,Mujeres,2015,15 años,15,1976
02,Albacete,Mujeres,2015,16 años,16,1980
02,Albacete,Mujeres,2015,17 años,17,2002
02,Albacete,Mujeres,2015,18 años,18,2019
02,Albacete,Mujeres,2015,19 años,19,2008
02,Albacete,Mujeres,2015,2 años,2,1796
02,Albacete,Mujeres,2015,20 años,20,2082
02,Albacete,Mujeres,2015,21 años,21,2057
02,Albacete,Mujeres,2015,22 años,22,2284
02,Albacete,Mujeres,2015,23 años,23,2331
02,Albacete,Mujeres,2015,24 años,24,2342
02,Albacete,Mujeres,2015,25 años,25,2339
02,Albacete,Mujeres,2015,26 años,26,2243
02,Albacete,Mujeres,2015,27 años,27,2406
02,Albacete,Mujeres,2015,28 años,28,2391
02,Albacete,Mujeres,2015,29 años,29,2341
02,Albacete,Mujeres,2015,3 años,3,1807
02,Albacete,Mujeres,2015,30 años,30,2440
02,Albacete,Mujeres,2015,31 años,31,2458
02,Albacete,Mujeres,2015,32 años,32,2643
02,Albacete,Mujeres,2015,33 años,33,2712
02,Albacete,Mujeres,2015,34 años,34,2762
02,Albacete,Mujeres,2015,35 años,35,2878
02,Albacete,Mujeres,2015,36 años,36,2988
02,Albacete,Mujeres,2015,37 años,37,2986
02,Albacete,Mujeres,2015,38 años,38,3107
02,Albacete,Mujeres,2015,39 años,39,3143
02,Albacete,Mujeres,2015,4 años,4,1926
02,Albacete,Mujeres,2015,40 años,40,3075
02,Albacete,Mujeres,2015,41 años,41,2967
02,Albacete,Mujeres,2015,42 años,42,3011
02,Albacete,Mujeres,2015,43 años,43,2981
02,Albacete,Mujeres,2015,44 años,44,3103
02,Albacete,Mujeres,2015,45 años,45,3178
02,Albacete,Mujeres,2015,46 años,46,3161
02,Albacete,Mujeres,2015,47 años,47,3076
02,Albacete,Mujeres,2015,48 años,48,3078
02,Albacete,Mujeres,2015,49 años,49,3095
02,Albacete,Mujeres,2015,5 años,5,2028
02,Albacete,Mujeres,2015,50 años,50,3188
02,Albacete,Mujeres,2015,51 años,51,3048
02,Albacete,Mujeres,2015,52 años,52,2927
02,Albacete,Mujeres,2015,53 años,53,2778
02,Albacete,Mujeres,2015,54 años,54,2814
02,Albacete,Mujeres,2015,55 años,55,2687
02,Albacete,Mujeres,2015,56 años,56,2638
02,Albacete,Mujeres,2015,57 años,57,2456
02,Albacete,Mujeres,2015,58 años,58,2113
02,Albacete,Mujeres,2015,59 años,59,2084
02,Albacete,Mujeres,2015,6 años,6,1992
02,Albacete,Mujeres,2015,60 años,60,2001
02,Albacete,Mujeres,2015,61 años,61,2055
02,Albacete,Mujeres,2015,62 años,62,1946
02,Albacete,Mujeres,2015,63 años,63,1787
02,Albacete,Mujeres,2015,64 años,64,1857
02,Albacete,Mujeres,2015,65 años,65,1817
02,Albacete,Mujeres,2015,66 años,66,2047
02,Albacete,Mujeres,2015,67 años,67,1749
02,Albacete,Mujeres,2015,68 años,68,1682
02,Albacete,Mujeres,2015,69 años,69,1730
02,Albacete,Mujeres,2015,7 años,7,1961
02,Albacete,Mujeres,2015,70 años,70,1840
02,Albacete,Mujeres,2015,71 años,71,1695
02,Albacete,Mujeres,2015,72 años,72,1574
02,Albacete,Mujeres,2015,73 años,73,1454
02,Albacete,Mujeres,2015,74 años,74,2133
02,Albacete,Mujeres,2015,75 años,75,1082
02,Albacete,Mujeres,2015,76 años,76,1543
02,Albacete,Mujeres,2015,77 años,77,1645
02,Albacete,Mujeres,2015,78 años,78,1727
02,Albacete,Mujeres,2015,79 años,79,1656
02,Albacete,Mujeres,2015,8 años,8,1975
02,Albacete,Mujeres,2015,80 años,80,1530
02,Albacete,Mujeres,2015,81 años,81,1625
02,Albacete,Mujeres,2015,82 años,82,1473
02,Albacete,Mujeres,2015,83 años,83,1448
02,Albacete,Mujeres,2015,84 años,84,1492
02,Albacete,Mujeres,2015,85 años,85,1303
02,Albacete,Mujeres,2015,85 y más años,85,7553
02,Albacete,Mujeres,2015,86 años,86,1097
02,Albacete,Mujeres,2015,87 años,87,980
02,Albacete,Mujeres,2015,88 años,88,868
02,Albacete,Mujeres,2015,89 años,89,713
02,Albacete,Mujeres,2015,9 años,9,1873
02,Albacete,Mujeres,2015,90 años,90,635
02,Albacete,Mujeres,2015,91 años,91,482
02,Albacete,Mujeres,2015,92 años,92,435
02,Albacete,Mujeres,2015,93 años,93,318
02,Albacete,Mujeres,2015,94 años,94,237
02,Albacete,Mujeres,2015,95 años,95,152
02,Albacete,Mujeres,2015,96 años,96,102
02,Albacete,Mujeres,2015,97 años,97,75
02,Albacete,Mujeres,2015,98 años,98,68
02,Albacete,Mujeres,2015,99 años,99,32
02,Albacete,Mujeres,2015,Todas las edades,,197058
02,Albacete,Total,2015,0 años,0,3547
02,Albacete,Total,2015,1 año,1,3559
02,Albacete,Total,2015,10 años,10,3906
02,Albacete,Total,2015,100 y más años,100,75
02,Albacete,Total,2015,11 años,11,4082
02,Albacete,Total,2015,12 años,12,3977
02,Albacete,Total,2015,13 años,13,3978
02,Albacete,Total,2015,14 años,14,4114
02,Albacete,Total,2015,15 años,15,4082
