anio,variable,frecuencia,observaciones_esperadas,observaciones_disponibles,cobertura_pct
2015,confianza_construccion_pct_neto,MENSUAL,12,12,100.0
2015,confianza_consumidor_pct_neto,MENSUAL,12,12,100.0
2015,confianza_industria_manufacturera_pct_neto,MENSUAL,12,12,100.0
2015,ipc_general_variacion_interanual_pct,MENSUAL,12,12,100.0
2015,pib_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2015,produccion_industrial_indice_base_2021,MENSUAL,12,12,100.0
2015,tasa_paro_nacional_pct,TRIMESTRAL,4,4,100.0
2015,vab_construccion_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2016,confianza_construccion_pct_neto,MENSUAL,12,12,100.0
2016,confianza_consumidor_pct_neto,MENSUAL,12,12,100.0
2016,confianza_industria_manufacturera_pct_neto,MENSUAL,12,12,100.0
2016,ipc_general_variacion_interanual_pct,MENSUAL,12,12,100.0
2016,pib_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2016,produccion_industrial_indice_base_2021,MENSUAL,12,12,100.0
2016,tasa_paro_nacional_pct,TRIMESTRAL,4,4,100.0
2016,vab_construccion_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2017,confianza_construccion_pct_neto,MENSUAL,12,12,100.0
2017,confianza_consumidor_pct_neto,MENSUAL,12,12,100.0
2017,confianza_industria_manufacturera_pct_neto,MENSUAL,12,12,100.0
2017,ipc_general_variacion_interanual_pct,MENSUAL,12,12,100.0
2017,pib_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2017,produccion_industrial_indice_base_2021,MENSUAL,12,12,100.0
2017,tasa_paro_nacional_pct,TRIMESTRAL,4,4,100.0
2017,vab_construccion_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2018,confianza_construccion_pct_neto,MENSUAL,12,12,100.0
2018,confianza_consumidor_pct_neto,MENSUAL,12,12,100.0
2018,confianza_industria_manufacturera_pct_neto,MENSUAL,12,12,100.0
2018,ipc_general_variacion_interanual_pct,MENSUAL,12,12,100.0
2018,pib_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2018,produccion_industrial_indice_base_2021,MENSUAL,12,12,100.0
2018,tasa_paro_nacional_pct,TRIMESTRAL,4,4,100.0
2018,vab_construccion_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2019,confianza_construccion_pct_neto,MENSUAL,12,12,100.0
2019,confianza_consumidor_pct_neto,MENSUAL,12,12,100.0
2019,confianza_industria_manufacturera_pct_neto,MENSUAL,12,12,100.0
2019,ipc_general_variacion_interanual_pct,MENSUAL,12,12,100.0
2019,pib_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2019,produccion_industrial_indice_base_2021,MENSUAL,12,12,100.0
2019,tasa_paro_nacional_pct,TRIMESTRAL,4,4,100.0
2019,vab_construccion_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2020,confianza_construccion_pct_neto,MENSUAL,12,12,100.0
2020,confianza_consumidor_pct_neto,MENSUAL,12,12,100.0
2020,confianza_industria_manufacturera_pct_neto,MENSUAL,12,12,100.0
2020,ipc_general_variacion_interanual_pct,MENSUAL,12,12,100.0
2020,pib_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2020,produccion_industrial_indice_base_2021,MENSUAL,12,12,100.0
2020,tasa_paro_nacional_pct,TRIMESTRAL,4,4,100.0
2020,vab_construccion_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2021,confianza_construccion_pct_neto,MENSUAL,12,12,100.0
2021,confianza_consumidor_pct_neto,MENSUAL,12,12,100.0
2021,confianza_industria_manufacturera_pct_neto,MENSUAL,12,12,100.0
2021,ipc_general_variacion_interanual_pct,MENSUAL,12,12,100.0
2021,pib_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2021,produccion_industrial_indice_base_2021,MENSUAL,12,12,100.0
2021,tasa_paro_nacional_pct,TRIMESTRAL,4,4,100.0
2021,vab_construccion_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2022,confianza_construccion_pct_neto,MENSUAL,12,12,100.0
2022,confianza_consumidor_pct_neto,MENSUAL,12,12,100.0
2022,confianza_industria_manufacturera_pct_neto,MENSUAL,12,12,100.0
2022,ipc_general_variacion_interanual_pct,MENSUAL,12,12,100.0
2022,pib_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2022,produccion_industrial_indice_base_2021,MENSUAL,12,12,100.0
2022,tasa_paro_nacional_pct,TRIMESTRAL,4,4,100.0
2022,vab_construccion_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2023,confianza_construccion_pct_neto,MENSUAL,12,12,100.0
2023,confianza_consumidor_pct_neto,MENSUAL,12,12,100.0
2023,confianza_industria_manufacturera_pct_neto,MENSUAL,12,12,100.0
2023,ipc_general_variacion_interanual_pct,MENSUAL,12,12,100.0
2023,pib_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2023,produccion_industrial_indice_base_2021,MENSUAL,12,12,100.0
2023,tasa_paro_nacional_pct,TRIMESTRAL,4,4,100.0
2023,vab_construccion_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2024,confianza_construccion_pct_neto,MENSUAL,12,12,100.0
2024,confianza_consumidor_pct_neto,MENSUAL,12,12,100.0
2024,confianza_industria_manufacturera_pct_neto,MENSUAL,12,12,100.0
2024,ipc_general_variacion_interanual_pct,MENSUAL,12,12,100.0
2024,pib_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2024,produccion_industrial_indice_base_2021,MENSUAL,12,12,100.0
2024,tasa_paro_nacional_pct,TRIMESTRAL,4,4,100.0
2024,vab_construccion_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2025,confianza_construccion_pct_neto,MENSUAL,12,12,100.0
2025,confianza_consumidor_pct_neto,MENSUAL,12,12,100.0
2025,confianza_industria_manufacturera_pct_neto,MENSUAL,12,12,100.0
2025,ipc_general_variacion_interanual_pct,MENSUAL,12,12,100.0
2025,pib_indice_volumen_base_2020,TRIMESTRAL,4,4,100.0
2025,produccion_industrial_indice_base_2021,MENSUAL,12,12,100.0
