provincia,anio,variable,valor
Albacete,2015,renta_bruta_media_por_hogar_eur,27962
Albacete,2015,renta_bruta_media_por_persona_eur,10616
Albacete,2015,renta_media_por_unidad_consumo_eur,13842
Albacete,2015,renta_mediana_por_unidad_consumo_eur,11550
Albacete,2015,renta_neta_media_por_hogar_eur,24100
Albacete,2015,renta_neta_media_por_persona_eur,9150
Albacete,2016,renta_bruta_media_por_hogar_eur,28893
Albacete,2016,renta_bruta_media_por_persona_eur,11012
Albacete,2016,renta_media_por_unidad_consumo_eur,14270
Albacete,2016,renta_mediana_por_unidad_consumo_eur,12250
Albacete,2016,renta_neta_media_por_hogar_eur,24785
Albacete,2016,renta_neta_media_por_persona_eur,9446
Albacete,2017,renta_bruta_media_por_hogar_eur,29955
Albacete,2017,renta_bruta_media_por_persona_eur,11511
Albacete,2017,renta_media_por_unidad_consumo_eur,14862
Albacete,2017,renta_mediana_por_unidad_consumo_eur,12950
Albacete,2017,renta_neta_media_por_hogar_eur,25627
Albacete,2017,renta_neta_media_por_persona_eur,9847
Albacete,2018,renta_bruta_media_por_hogar_eur,31289
Albacete,2018,renta_bruta_media_por_persona_eur,12121
Albacete,2018,renta_media_por_unidad_consumo_eur,15578
Albacete,2018,renta_mediana_por_unidad_consumo_eur,13650
Albacete,2018,renta_neta_media_por_hogar_eur,26719
Albacete,2018,renta_neta_media_por_persona_eur,10351
Albacete,2019,renta_bruta_media_por_hogar_eur,32889
Albacete,2019,renta_bruta_media_por_persona_eur,12807
Albacete,2019,renta_media_por_unidad_consumo_eur,16369
Albacete,2019,renta_mediana_por_unidad_consumo_eur,14350
Albacete,2019,renta_neta_media_por_hogar_eur,27995
Albacete,2019,renta_neta_media_por_persona_eur,10901
Albacete,2020,renta_bruta_media_por_hogar_eur,33270
Albacete,2020,renta_bruta_media_por_persona_eur,13059
Albacete,2020,renta_media_por_unidad_consumo_eur,16616
Albacete,2020,renta_mediana_por_unidad_consumo_eur,14350
Albacete,2020,renta_neta_media_por_hogar_eur,28288
Albacete,2020,renta_neta_media_por_persona_eur,11104
Albacete,2021,renta_bruta_media_por_hogar_eur,34891
