provincia,anio,variables_esperadas,variables_presentes,variables_con_dato,variables_sin_dato,cobertura_pct
Albacete,2015,6,6,6,0,100.0
Albacete,2016,6,6,6,0,100.0
Albacete,2017,6,6,6,0,100.0
Albacete,2018,6,6,6,0,100.0
Albacete,2019,6,6,6,0,100.0
Albacete,2020,6,6,6,0,100.0
Albacete,2021,6,6,6,0,100.0
Albacete,2022,6,6,6,0,100.0
Albacete,2023,6,6,6,0,100.0
Alicante/Alacant,2015,6,6,6,0,100.0
Alicante/Alacant,2016,6,6,6,0,100.0
Alicante/Alacant,2017,6,6,6,0,100.0
Alicante/Alacant,2018,6,6,6,0,100.0
Alicante/Alacant,2019,6,6,6,0,100.0
Alicante/Alacant,2020,6,6,6,0,100.0
Alicante/Alacant,2021,6,6,6,0,100.0
Alicante/Alacant,2022,6,6,6,0,100.0
Alicante/Alacant,2023,6,6,6,0,100.0
Almería,2015,6,6,6,0,100.0
Almería,2016,6,6,6,0,100.0
Almería,2017,6,6,6,0,100.0
Almería,2018,6,6,6,0,100.0
Almería,2019,6,6,6,0,100.0
Almería,2020,6,6,6,0,100.0
Almería,2021,6,6,6,0,100.0
Almería,2022,6,6,6,0,100.0
Almería,2023,6,6,6,0,100.0
Araba/Álava,2015,6,6,0,6,0.0
Araba/Álava,2016,6,6,0,6,0.0
Araba/Álava,2017,6,6,0,6,0.0
Araba/Álava,2018,6,6,0,6,0.0
Araba/Álava,2019,6,6,0,6,0.0
Araba/Álava,2020,6,6,6,0,100.0
Araba/Álava,2021,6,6,6,0,100.0
Araba/Álava,2022,6,6,6,0,100.0
Araba/Álava,2023,6,6,6,0,100.0
Asturias,2015,6,6,6,0,100.0
Asturias,2016,6,6,6,0,100.0
Asturias,2017,6,6,6,0,100.0
Asturias,2018,6,6,6,0,100.0
Asturias,2019,6,6,6,0,100.0
Asturias,2020,6,6,6,0,100.0
Asturias,2021,6,6,6,0,100.0
Asturias,2022,6,6,6,0,100.0
Asturias,2023,6,6,6,0,100.0
Badajoz,2015,6,6,6,0,100.0
Badajoz,2016,6,6,6,0,100.0
Badajoz,2017,6,6,6,0,100.0
Badajoz,2018,6,6,6,0,100.0
Badajoz,2019,6,6,6,0,100.0
Badajoz,2020,6,6,6,0,100.0
Badajoz,2021,6,6,6,0,100.0
Badajoz,2022,6,6,6,0,100.0
Badajoz,2023,6,6,6,0,100.0
"Balears, Illes",2015,6,6,6,0,100.0
