codigo_serie,numero_secuencial,alias_serie,descripcion,unidad,frecuencia,posicion_columna,variable,grupo,agregacion_anual
DHIENA2025IPVUVT_TTVA.T,5110743,SI_1_5.1,Estadísticas generales. IPV. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,1,ipv_general,precios,media
DHIENA2025IPVUVT_VVN_TTVA.T,5110764,SI_1_5.2,Estadísticas generales. IPV. Vivienda nueva. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2,ipv_vivienda_nueva,precios,media
DHIENA2025IPVUVT_VVU_TTVA.T,5110766,SI_1_5.3,Estadísticas generales. IPV. Vivienda usada. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,3,ipv_vivienda_usada,precios,media
DHIVTNOAPLPMMUVT_RLI.T,2904387,SI_1_5.4,Estadísticas generales. Edificación y vivienda. Precio medio m2 de viviendas libres tasadas. Total nacional,Euros por metro cuadrado,TRIMESTRAL,4,precio_m2_vivienda_libre_nacional,precios,media
D_1KB56100_FOTO,1590003,SI_1_5.11,Estadísticas generales. Edificación y vivienda. Precio de la vivienda. Viviendas de segunda mano. Precio metro cuadrado. Fotocasa,Euros por metro cuadrado,MENSUAL,11,precio_m2_fotocasa,precios,media
D_1KB56100_IDEA,2924738,SI_1_5.12,Estadísticas generales. Edificación y vivienda. Precio de la vivienda. Viviendas de segunda mano. Precio metro cuadrado. Idealista,Euros por metro cuadrado,MENSUAL,12,precio_m2_idealista,precios,media
D_1KB52212,314363,SI_1_5.16,Estadísticas generales. Edificación y vivienda. Visados obra nueva. Viviendas,Viviendas,MENSUAL,16,visados_obra_nueva,oferta,suma
D_1KB02000,247506,SI_1_5.17,Estadísticas generales. Edificación y vivienda. Viviendas iniciadas. Total,Viviendas,MENSUAL,17,viviendas_iniciadas_total,oferta,suma
D_1KB02100,247507,SI_1_5.18,Estadísticas generales. Edificación y vivienda. Viviendas iniciadas. Libres,Viviendas,MENSUAL,18,viviendas_iniciadas_libres,oferta,suma
D_1KB02200,247508,SI_1_5.19,Estadísticas generales. Edificación y vivienda. Viviendas iniciadas. Protegidas,Viviendas,MENSUAL,19,viviendas_iniciadas_protegidas,oferta,suma
DHITINOAPLNCVUVT_RI.M,1638272,SI_1_5.31,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas,Viviendas,MENSUAL,31,compraventas_totales,demanda_efectiva,suma
DHITINOAPLNCVUVT_VVN_RI.M,1638273,SI_1_5.32,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivienda nueva,Viviendas,MENSUAL,32,compraventas_vivienda_nueva,demanda_efectiva,suma
DHITINOAPLNCVUVT_VVU_RI.M,1638274,SI_1_5.33,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivienda usada,Viviendas,MENSUAL,33,compraventas_vivienda_usada,demanda_efectiva,suma
DEPA202110_ES25.T,4637788,SI_1_5.35,Estadísticas generales. INE. EPA. Base 2021. Población de 25 o más años. Total Nacional. Ambos sexos. Trimestral,Miles de personas,TRIMESTRAL,35,poblacion_25_mas_miles,demografia_hogares,media
