anio,ipv_general,ipv_vivienda_nueva,ipv_vivienda_usada,precio_m2_vivienda_libre_nacional,precio_m2_fotocasa,precio_m2_idealista,visados_obra_nueva,viviendas_iniciadas_total,viviendas_iniciadas_libres,viviendas_iniciadas_protegidas,poblacion_25_mas_miles,numero_hogares_miles,ocupados_miles,plazo_medio_hipotecas_meses,relacion_prestamo_valor_pct,prestamos_rpv_superior_80_pct,tipo_interes_hipotecas_pct,precio_vivienda_renta_hogar_anios,esfuerzo_teorico_anual_pct,credito_hipotecario_hogares_tasa_interanual_pct,credito_hipotecario_hogares_pct_pib,prestamos_inmobiliarios_nuevos_miles_euros,creditos_dudosos_vivienda_pct,compraventas_totales,compraventas_vivienda_nueva,compraventas_vivienda_usada
2006,,,,1944.275,2805.1666666666665,2050.0,865561.0,760179.0,664924.0,95255.0,32424.925,16179.775,19939.1,324.0,63.95,17.025,4.234166666666667,8.8325,46.457499999999996,23.264166666666668,54.3275,,0.4125,,,
2007,9.9,11.950000000000001,8.3,2056.35,2911.0833333333335,2089.4166666666665,651427.0,615976.0,532117.0,83859.0,33150.5,16643.025,20579.925000000003,336.75,63.5,14.3,5.253333333333333,9.3575,53.1575,16.995833333333334,59.0,,0.59,775300.0,326382.0,448918.0
2008,-1.475,4.25,-6.225,2071.075,2708.9166666666665,2016.4166666666667,264795.0,328490.0,237959.0,90531.0,33753.825,17067.75,20469.65,319.25,60.55,10.975,5.815,9.045,53.6175,8.2575,60.644999999999996,,1.635,552080.0,278034.0,274046.0
2009,-6.65,-4.15,-8.875,1917.025,2423.8333333333335,1922.0,110849.0,159286.0,80230.0,79056.0,34114.7,17384.275,19106.850000000002,292.5,56.6,10.625,3.356666666666667,8.625,39.585,1.3416666666666668,62.34,,2.9524999999999997,413393.0,218775.0,194618.0
2010,-1.975,-2.65,-1.2,1843.025,2315.6666666666665,1931.0,91662.0,123616.0,63090.0,60526.0,34346.95,17645.225,18724.475,301.25,57.5,11.95,2.598333333333333,8.69,37.405,0.36000000000000004,63.19,,2.6,439591.0,220612.0,218979.0
2011,-7.375,-5.15,-9.475,1740.1999999999998,2182.0833333333335,1968.6666666666667,78286.0,86238.0,51956.0,34282.0,34535.55,17897.325,18421.425,294.5,57.875,12.5,3.4583333333333335,8.11,39.2325,-1.1941666666666666,62.5925,,2.6425,359824.0,174299.0,185525.0
2012,-13.75,-12.275,-14.85,1588.125,1990.5833333333333,1810.9166666666667,44162.0,51735.0,34580.0,17155.0,34603.925,18090.9,17632.675,278.75,58.324999999999996,15.7,3.3966666666666665,7.2725,35.4375,-2.8441666666666667,62.245000000000005,,3.485,318534.0,155890.0,162644.0
2013,-10.5,-10.35,-10.775,1495.35,1789.3333333333333,1656.0,34288.0,35721.0,29232.0,6489.0,34526.625,18212.475,17139.0,266.75,57.45,14.875,3.1925000000000003,6.7075,32.582499999999996,-4.205,60.76,,5.265000000000001,312593.0,143771.0,168822.0
2014,0.325,0.875,0.07500000000000001,1459.4,1673.5833333333333,1573.8333333333333,34873.0,38018.0,32120.0,5898.0,34474.8,18328.9,17344.175,271.75,59.45,13.4,3.1116666666666664,6.735,33.2875,-3.9583333333333335,57.8675,,6.085,318830.0,117519.0,201311.0
2015,3.55,4.75,3.35,1475.2,1634.3333333333333,1540.3333333333333,49695.0,50565.0,45259.0,5306.0,34489.875,18375.975,17866.05,273.75,62.0,14.55,2.499166666666667,6.640000000000001,31.0325,-3.4316666666666666,53.71,,5.2675,355556.0,76954.0,278602.0
2016,4.675,6.525,4.4,1502.625,1631.5833333333333,1509.8333333333333,64038.0,66906.0,60119.0,6787.0,34535.1,18444.175,18341.55,277.5,63.925,14.3,2.3233333333333333,6.68,30.5375,-3.295,49.7775,,4.7325,405385.0,75134.0,330251.0
2017,6.2,5.95,6.25,1538.625,1695.0833333333333,1526.75,80786.0,81275.0,74004.0,7271.0,34636.375,18512.55,18824.8,280.25,65.075,14.025,2.1941666666666664,6.795,30.34,-2.8541666666666665,46.5375,,4.7475000000000005,467644.0,83240.0,384404.0
2018,6.7,6.375,6.75,1590.7,1806.6666666666667,1623.6666666666667,100733.0,103380.0,91477.0,11903.0,34808.825,18580.65,19327.725,283.25,65.7,14.825,2.2125,6.9125,30.692500000000003,-2.0433333333333334,44.1875,58857366.0,4.38,517984.0,91716.0,426268.0
2019,5.1,7.375,4.75,1641.2,1887.25,1706.0833333333333,106266.0,108608.0,96245.0,12363.0,35092.125,18696.55,19779.3,283.0,64.45,12.125,2.2158333333333333,6.8625,30.25,-1.165,42.1075,61157611.0,3.7725,505467.0,92946.0,412521.0
2020,2.125,6.5,1.425,1623.1,1860.5,1727.4166666666667,85535.0,87907.0,75930.0,11977.0,35299.825000000004,18793.875,19202.425,286.5,64.2,9.05,1.9183333333333332,6.9975000000000005,29.705,-1.3983333333333334,43.735,55709345.0,3.3925,420238.0,83561.0,336677.0
