fecha,anio,mes,ambito,grupo,variable,valor,unidad,frecuencia,agregacion_anual,alias_serie,codigo_serie,descripcion
2006-03-01,2006,3,Total nacional,demanda_efectiva,compraventas_totales,255151.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2006-06-01,2006,6,Total nacional,demanda_efectiva,compraventas_totales,232904.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2006-09-01,2006,9,Total nacional,demanda_efectiva,compraventas_totales,224055.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2006-12-01,2006,12,Total nacional,demanda_efectiva,compraventas_totales,203993.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2007-01-01,2007,1,Total nacional,demanda_efectiva,compraventas_totales,83713.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2007-02-01,2007,2,Total nacional,demanda_efectiva,compraventas_totales,72287.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2007-03-01,2007,3,Total nacional,demanda_efectiva,compraventas_totales,74023.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2007-04-01,2007,4,Total nacional,demanda_efectiva,compraventas_totales,60032.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2007-05-01,2007,5,Total nacional,demanda_efectiva,compraventas_totales,75883.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2007-06-01,2007,6,Total nacional,demanda_efectiva,compraventas_totales,66670.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2007-07-01,2007,7,Total nacional,demanda_efectiva,compraventas_totales,63731.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2007-08-01,2007,8,Total nacional,demanda_efectiva,compraventas_totales,58872.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2007-09-01,2007,9,Total nacional,demanda_efectiva,compraventas_totales,61723.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2007-10-01,2007,10,Total nacional,demanda_efectiva,compraventas_totales,58518.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2007-11-01,2007,11,Total nacional,demanda_efectiva,compraventas_totales,56188.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
