anio,archivo,hoja_total,hoja_hombre,hoja_mujer,filas_resultado,provincias_con_salario_hombre,provincias_con_salario_mujer,provincias_sin_salario_hombre,provincias_sin_salario_mujer,salario_nacional,salario_hombre_min,salario_hombre_max,salario_mujer_min,salario_mujer_max,duplicados_clave
2015,Salario hombre y mujer 2015.xlsx,Total Nacional,Hombre,Mujer,52,48,48,4,4,18645.0,13109.0,28284.0,9887.0,20824.0,0
2016,Salario hombre y mujer 2016.xlsx,Total Nacional,Hombre,Mujer,52,48,48,4,4,18835.0,13386.0,28562.0,10217.0,20850.0,0
2017,Salario hombre y mujer 2017.xlsx,Total Nacional,Hombre,Mujer,52,48,48,4,4,19172.0,13902.0,28787.0,10484.0,21112.0,0
2018,Salario hombre y mujer 2018.xlsx,Total Nacional,Hombre,Mujer,52,48,48,4,4,19809.0,14549.0,29573.0,10991.0,21906.0,0
2019,Salario hombre y mujer 2019.xlsx,Total Nacional,Hombre,Mujer,52,48,48,4,4,20566.0,15371.0,30439.0,11762.0,22685.0,0
2020,Salario hombre y mujer 2020.xlsx,Total Nacional,Hombre,Mujer,52,48,48,4,4,20503.0,15098.0,30389.0,12081.0,22890.0,0
2021,Salario hombre y mujer 2021.xlsx,Total Nacional,Hombre,Mujer,52,48,48,4,4,21519.0,16199.0,31585.0,12698.0,24074.0,0
2022,Salario hombre y mujer 2022.xlsx,Total Nacional,Hombre,Mujer,52,48,48,4,4,22781.0,17159.0,33295.0,13459.0,25324.0,0
2023,Salario hombre y mujer 2023.xlsx,Total Nacional,Hombre,Mujer,52,48,48,4,4,23981.0,18306.0,34621.0,14274.0,26673.0,0
2024,Salario hombre y mujer 2024.xlsx,Total Nacional,Hombre,Mujer,52,48,48,4,4,24962.0,19069.0,35873.0,15164.0,27731.0,0
