codigo_provincia,provincia,anio,hoja,variable,motivo
1,Araba/Álava,2015,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
1,Araba/Álava,2015,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
20,Gipuzkoa,2015,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
20,Gipuzkoa,2015,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
31,Navarra,2015,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
31,Navarra,2015,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
48,Bizkaia,2015,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
48,Bizkaia,2015,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
1,Araba/Álava,2016,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
1,Araba/Álava,2016,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
20,Gipuzkoa,2016,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
20,Gipuzkoa,2016,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
31,Navarra,2016,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
31,Navarra,2016,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
48,Bizkaia,2016,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
48,Bizkaia,2016,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
1,Araba/Álava,2017,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
1,Araba/Álava,2017,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
20,Gipuzkoa,2017,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
20,Gipuzkoa,2017,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
31,Navarra,2017,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
31,Navarra,2017,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
48,Bizkaia,2017,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
48,Bizkaia,2017,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
1,Araba/Álava,2018,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
1,Araba/Álava,2018,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
20,Gipuzkoa,2018,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
20,Gipuzkoa,2018,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
31,Navarra,2018,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
31,Navarra,2018,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
48,Bizkaia,2018,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
48,Bizkaia,2018,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
1,Araba/Álava,2019,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
1,Araba/Álava,2019,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
20,Gipuzkoa,2019,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
20,Gipuzkoa,2019,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
31,Navarra,2019,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
31,Navarra,2019,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
48,Bizkaia,2019,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
48,Bizkaia,2019,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
1,Araba/Álava,2020,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
1,Araba/Álava,2020,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
20,Gipuzkoa,2020,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
20,Gipuzkoa,2020,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
31,Navarra,2020,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
31,Navarra,2020,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
48,Bizkaia,2020,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
48,Bizkaia,2020,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
1,Araba/Álava,2021,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
1,Araba/Álava,2021,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
20,Gipuzkoa,2021,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
20,Gipuzkoa,2021,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
31,Navarra,2021,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
31,Navarra,2021,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
48,Bizkaia,2021,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
48,Bizkaia,2021,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
1,Araba/Álava,2022,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
1,Araba/Álava,2022,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
20,Gipuzkoa,2022,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
20,Gipuzkoa,2022,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
31,Navarra,2022,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
31,Navarra,2022,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
48,Bizkaia,2022,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
48,Bizkaia,2022,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
1,Araba/Álava,2023,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
1,Araba/Álava,2023,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
20,Gipuzkoa,2023,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
20,Gipuzkoa,2023,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
31,Navarra,2023,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
31,Navarra,2023,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
48,Bizkaia,2023,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
48,Bizkaia,2023,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
1,Araba/Álava,2024,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
1,Araba/Álava,2024,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
20,Gipuzkoa,2024,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
20,Gipuzkoa,2024,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
31,Navarra,2024,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
31,Navarra,2024,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
48,Bizkaia,2024,Hombre,salario_hombre,Provincia no publicada o no localizada en la fuente
48,Bizkaia,2024,Mujer,salario_mujer,Provincia no publicada o no localizada en la fuente
