comunidad_autonoma,provincia,anio,asalariados_hombre,asalariados_mujer,asalariados_total,percepciones_por_persona_hombre,percepciones_por_persona_mujer,percepciones_por_persona_total,salarios_totales_euros_hombre,salarios_totales_euros_mujer,salarios_totales_euros_total,salario_medio_anual_euros_hombre,salario_medio_anual_euros_mujer,salario_medio_anual_euros_total,diferencia_salarial_hombre_mujer_euros,brecha_salarial_genero_pct,pct_mujeres_asalariadas
Andalucía,Almería,2023,196008,154000,350008,1.52,1.37,1.45,3869136103,2687636518,6556772621,19740,17452,18733,2288,11.590678824721378,43.99899430870152
Andalucía,Cádiz,2023,279518,230236,509754,1.4,1.36,1.38,6599645122,4008614696,10608259819,23611,17411,20811,6200,26.258947100927532,45.16609972653476
Andalucía,Córdoba,2023,180754,156296,337050,1.69,1.49,1.6,3878938657,2689514628,6568453284,21460,17208,19488,4252,19.813606710158435,46.3717549325026
Andalucía,Granada,2023,208020,185559,393579,1.55,1.38,1.47,4633487676,3467814789,8101302465,22274,18688,20584,3586,16.099488192511448,47.14657032006281
Andalucía,Huelva,2023,138430,128425,266855,1.63,1.5,1.56,2859125724,1947410232,4806535956,20654,15164,18012,5490,26.58080759174978,48.125386445822635
Andalucía,Jaén,2023,150251,120961,271212,2.05,1.61,1.86,2865201671,1960111200,4825312871,19069,16204,17792,2865,15.024385127694162,44.60016518443137
Andalucía,Málaga,2023,383745,355498,739243,1.43,1.38,1.4,9091284494,6786551420,15877835914,23691,19090,21479,4601,19.420877126334897,48.089464492731075
Andalucía,Sevilla,2023,470328,413125,883453,1.48,1.42,1.45,11569196902,7757025731,19326222632,24598,18776,21876,5822,23.66859094235304,46.76253292478491
Aragón,Huesca,2023,56744,48795,105539,1.39,1.37,1.38,1409914960,1003338326,2413253286,24847,20562,22866,4285,17.245542721455305,46.2340935578317
Aragón,Teruel,2023,30820,26832,57652,1.36,1.38,1.37,757636070,554953076,1312589146,24583,20683,22767,3900,15.864621893178214,46.541316866717544
Aragón,Zaragoza,2023,251895,223948,475843,1.4,1.36,1.38,7148773043,4960398919,12109171963,28380,22150,25448,6230,21.952078928823116,47.063422179164135
"Asturias, Principado de","Asturias, Principado de",2023,205379,193990,399369,1.34,1.32,1.33,5882123915,4289784118,10171908032,28640,22113,25470,6527,22.78980446927374,48.57412568326535
"Balears, Illes","Balears,Illes",2023,308531,291277,599808,1.38,1.36,1.37,7994167598,6553579862,14547747461,25910,22499,24254,3411,13.164801235044385,48.561706412718735
Canarias,Las Palmas,2023,273991,256854,530845,1.41,1.38,1.4,6341025661,5285690760,11626716421,23143,20579,21902,2564,11.078943957136067,48.385875349678344
Canarias,S. C. Tenerife,2023,241391,229454,470845,1.41,1.37,1.39,5345234801,4693647570,10038882371,22143,20456,21321,1687,7.618660524770808,48.732385392220365
Cantabria,Cantabria,2023,125755,118933,244688,1.3,1.33,1.32,3326880279,2493563803,5820444083,26455,20966,23787,5489,20.74844074844075,48.6059798600667
Castilla - La Mancha,Albacete,2023,97462,79382,176844,1.54,1.4,1.48,2271724513,1543883644,3815608157,23309,19449,21576,3860,16.56012698957484,44.888150007916586
Castilla - La Mancha,Ciudad Real,2023,114769,90377,205146,1.47,1.36,1.42,2687135877,1725759823,4412895699,23413,19095,21511,4318,18.442745483278518,44.054965731722774
