codigo_provincia,provincia,anio,variables_esperadas,variables_presentes,variables_con_dato,variables_sin_dato,cobertura_pct
02,Albacete,2015,20,20,20,0,100.0
02,Albacete,2016,20,20,20,0,100.0
02,Albacete,2017,20,20,20,0,100.0
02,Albacete,2018,20,20,20,0,100.0
03,Alicante,2015,20,20,20,0,100.0
03,Alicante,2016,20,20,20,0,100.0
03,Alicante,2017,20,20,20,0,100.0
03,Alicante,2018,20,20,20,0,100.0
04,Almería,2015,20,20,20,0,100.0
04,Almería,2016,20,20,20,0,100.0
04,Almería,2017,20,20,20,0,100.0
04,Almería,2018,20,20,20,0,100.0
05,Ávila,2015,20,20,20,0,100.0
05,Ávila,2016,20,20,20,0,100.0
05,Ávila,2017,20,20,20,0,100.0
05,Ávila,2018,20,20,20,0,100.0
06,Badajoz,2015,20,20,20,0,100.0
06,Badajoz,2016,20,20,20,0,100.0
06,Badajoz,2017,20,20,20,0,100.0
06,Badajoz,2018,20,20,20,0,100.0
07,"Balears, Illes",2015,20,20,20,0,100.0
07,"Balears, Illes",2016,20,20,20,0,100.0
07,"Balears, Illes",2017,20,20,20,0,100.0
07,"Balears, Illes",2018,20,20,20,0,100.0
08,Barcelona,2015,20,20,20,0,100.0
08,Barcelona,2016,20,20,20,0,100.0
08,Barcelona,2017,20,20,20,0,100.0
08,Barcelona,2018,20,20,20,0,100.0
09,Burgos,2015,20,20,20,0,100.0
09,Burgos,2016,20,20,20,0,100.0
09,Burgos,2017,20,20,20,0,100.0
09,Burgos,2018,20,20,20,0,100.0
10,Cáceres,2015,20,20,20,0,100.0
10,Cáceres,2016,20,20,20,0,100.0
10,Cáceres,2017,20,20,20,0,100.0
10,Cáceres,2018,20,20,20,0,100.0
11,Cádiz,2015,20,20,20,0,100.0
11,Cádiz,2016,20,20,20,0,100.0
11,Cádiz,2017,20,20,20,0,100.0
11,Cádiz,2018,20,20,20,0,100.0
12,Castellón/Castelló,2015,20,20,20,0,100.0
12,Castellón/Castelló,2016,20,20,20,0,100.0
12,Castellón/Castelló,2017,20,20,20,0,100.0
12,Castellón/Castelló,2018,20,20,20,0,100.0
13,Ciudad Real,2015,20,20,20,0,100.0
13,Ciudad Real,2016,20,20,20,0,100.0
13,Ciudad Real,2017,20,20,20,0,100.0
13,Ciudad Real,2018,20,20,20,0,100.0
14,Córdoba,2015,20,20,20,0,100.0
14,Córdoba,2016,20,20,20,0,100.0
14,Córdoba,2017,20,20,20,0,100.0
14,Córdoba,2018,20,20,20,0,100.0
15,"Coruña, A",2015,20,20,20,0,100.0
15,"Coruña, A",2016,20,20,20,0,100.0
15,"Coruña, A",2017,20,20,20,0,100.0
15,"Coruña, A",2018,20,20,20,0,100.0
16,Cuenca,2015,20,20,20,0,100.0
16,Cuenca,2016,20,20,20,0,100.0
16,Cuenca,2017,20,20,20,0,100.0
16,Cuenca,2018,20,20,20,0,100.0
17,Girona,2015,20,20,20,0,100.0
17,Girona,2016,20,20,20,0,100.0
17,Girona,2017,20,20,20,0,100.0
17,Girona,2018,20,20,20,0,100.0
18,Granada,2015,20,20,20,0,100.0
18,Granada,2016,20,20,20,0,100.0
18,Granada,2017,20,20,20,0,100.0
18,Granada,2018,20,20,20,0,100.0
19,Guadalajara,2015,20,20,20,0,100.0
19,Guadalajara,2016,20,20,20,0,100.0
19,Guadalajara,2017,20,20,20,0,100.0
19,Guadalajara,2018,20,20,20,0,100.0
21,Huelva,2015,20,20,20,0,100.0
21,Huelva,2016,20,20,20,0,100.0
21,Huelva,2017,20,20,20,0,100.0
21,Huelva,2018,20,20,20,0,100.0
22,Huesca,2015,20,20,20,0,100.0
22,Huesca,2016,20,20,20,0,100.0
22,Huesca,2017,20,20,20,0,100.0
22,Huesca,2018,20,20,20,0,100.0
23,Jaén,2015,20,20,20,0,100.0
23,Jaén,2016,20,20,20,0,100.0
23,Jaén,2017,20,20,20,0,100.0
23,Jaén,2018,20,20,20,0,100.0
24,León,2015,20,20,20,0,100.0
24,León,2016,20,20,20,0,100.0
24,León,2017,20,20,20,0,100.0
24,León,2018,20,20,20,0,100.0
25,Lleida,2015,20,20,20,0,100.0
25,Lleida,2016,20,20,20,0,100.0
25,Lleida,2017,20,20,20,0,100.0
25,Lleida,2018,20,20,20,0,100.0
26,"Rioja, La",2015,20,20,20,0,100.0
26,"Rioja, La",2016,20,20,20,0,100.0
26,"Rioja, La",2017,20,20,20,0,100.0
26,"Rioja, La",2018,20,20,20,0,100.0
27,Lugo,2015,20,20,20,0,100.0
