codigo_provincia,provincia,anio,residencia,variable,meses_observados,meses_con_dato,valor_anual
05,Ávila,2020,residentes_espana,pernoctaciones,12,10,229275
05,Ávila,2020,residentes_espana,viajeros,12,10,138115
05,Ávila,2020,residentes_extranjero,pernoctaciones,12,10,18019
05,Ávila,2020,residentes_extranjero,viajeros,12,10,9676
05,Ávila,2020,total,pernoctaciones,12,10,247292
05,Ávila,2020,total,viajeros,12,10,147788
14,Córdoba,2022,residentes_extranjero,viajeros,12,11,342572
24,León,2020,residentes_espana,pernoctaciones,12,10,443578
24,León,2020,residentes_espana,viajeros,12,10,240582
24,León,2020,residentes_extranjero,pernoctaciones,12,10,37259
24,León,2020,residentes_extranjero,viajeros,12,10,22388
24,León,2020,total,pernoctaciones,12,10,480839
24,León,2020,total,viajeros,12,10,262969
34,Palencia,2020,residentes_espana,pernoctaciones,12,10,137178
34,Palencia,2020,residentes_espana,viajeros,12,10,68811
34,Palencia,2020,residentes_extranjero,pernoctaciones,12,10,22155
34,Palencia,2020,residentes_extranjero,viajeros,12,10,10948
34,Palencia,2020,total,pernoctaciones,12,10,159334
34,Palencia,2020,total,viajeros,12,10,79761
40,Segovia,2020,residentes_espana,pernoctaciones,12,10,264040
40,Segovia,2020,residentes_espana,viajeros,12,10,145106
40,Segovia,2020,residentes_extranjero,pernoctaciones,12,10,50613
40,Segovia,2020,residentes_extranjero,viajeros,12,10,19144
40,Segovia,2020,total,pernoctaciones,12,10,314652
40,Segovia,2020,total,viajeros,12,10,164250
49,Zamora,2020,residentes_espana,pernoctaciones,12,10,157529
49,Zamora,2020,residentes_espana,viajeros,12,10,91209
49,Zamora,2020,residentes_extranjero,pernoctaciones,12,10,13223
49,Zamora,2020,residentes_extranjero,viajeros,12,10,7770
49,Zamora,2020,total,pernoctaciones,12,10,170750
49,Zamora,2020,total,viajeros,12,10,98978
51,Ceuta,2020,residentes_espana,pernoctaciones,12,10,53553
51,Ceuta,2020,residentes_espana,viajeros,12,10,19868
51,Ceuta,2020,residentes_extranjero,pernoctaciones,12,10,13043
51,Ceuta,2020,residentes_extranjero,viajeros,12,10,5882
51,Ceuta,2020,total,pernoctaciones,12,10,66596
51,Ceuta,2020,total,viajeros,12,10,25749
52,Melilla,2020,residentes_espana,pernoctaciones,12,10,43400
52,Melilla,2020,residentes_espana,viajeros,12,10,16939
52,Melilla,2020,residentes_extranjero,pernoctaciones,12,10,12236
52,Melilla,2020,residentes_extranjero,viajeros,12,10,6243
52,Melilla,2020,total,pernoctaciones,12,10,55634
52,Melilla,2020,total,viajeros,12,10,23181
