codigo_provincia,provincia,anio,pernoctaciones_residentes_espana,viajeros_residentes_espana,pernoctaciones_residentes_extranjero,viajeros_residentes_extranjero,pernoctaciones_total,viajeros_total,estancia_media_total,estancia_media_residentes_espana,estancia_media_residentes_extranjero
01,Araba/Álava,2015,487701,279463,181491,107225,669193,386688,1.7305760716650116,1.7451362076553962,1.6926183259501049
01,Araba/Álava,2016,501649,283843,209032,117529,710680,401372,1.770626750246654,1.7673467374569745,1.7785567817304666
01,Araba/Álava,2017,554935,296429,223915,124020,778850,420450,1.852420026162445,1.8720671729149307,1.8054749233994516
01,Araba/Álava,2018,564408,295267,227253,125299,791660,420566,1.8823680468701702,1.911517372412088,1.8136856638919705
01,Araba/Álava,2019,552658,292597,229502,119525,782157,412124,1.8978681173627354,1.8888026876557176,1.9201171303074671
01,Araba/Álava,2020,264319,135072,66247,35077,330565,170149,1.9427971953993264,1.9568748519308221,1.8886164723322976
01,Araba/Álava,2021,468141,239888,119925,67294,588067,307185,1.9143740742549278,1.9514981991596079,1.7821053882961333
01,Araba/Álava,2022,583521,294842,229478,126006,812999,420849,1.9318068951096474,1.979097279220735,1.8211672460041586
01,Araba/Álava,2023,651080,318214,280811,143661,931891,461878,2.0176128761274623,2.046044485786295,1.9546780267435142
01,Araba/Álava,2024,694660,337122,313415,152454,1008077,489577,2.059077530194433,2.060559678691987,2.0558004381649546
01,Araba/Álava,2025,745920,354052,354879,157871,1100800,511928,2.1503023862730695,2.1068091692745696,2.2479049350419014
02,Albacete,2015,568340,286261,49813,23337,618150,309598,1.9966214252030052,1.985390954408739,2.134507434546
02,Albacete,2016,582029,299563,55410,28643,637440,328209,1.9421770883796605,1.9429268634644465,1.934504067311385
02,Albacete,2017,616200,314157,65606,30111,681806,344267,1.9804570289920322,1.961439662334438,2.1788050878416527
02,Albacete,2018,632854,325909,59618,32402,692471,358314,1.932581478814671,1.941811978190231,1.8399481513486822
02,Albacete,2019,672118,347685,73183,36564,745298,384249,1.9396224843786192,1.9331233731682413,2.0015042117930206
02,Albacete,2020,276698,163957,34419,14021,311118,177979,1.7480601644014182,1.687625413980495,2.45481777333999
02,Albacete,2021,453512,264371,45860,21620,499373,285989,1.7461265992747972,1.7154377749450582,2.1211840888066607
02,Albacete,2022,643212,339510,85848,38589,729062,378099,1.9282304370019492,1.8945303525669348,2.2246754256394308
02,Albacete,2023,686186,342257,83090,40814,769274,383071,2.0081760300309863,2.0048852178333827,2.0358210417993825
02,Albacete,2024,744515,347136,88048,46913,832562,394048,2.112844120513237,2.1447357807890857,1.8768358450749258
02,Albacete,2025,775103,372729,90369,51675,865473,424405,2.0392620256594527,2.0795349972768418,1.7487953555878084
03,Alicante/Alacant,2015,8416856,2244723,8138343,1536200,16555200,3780922,4.378614528413969,3.74961899530588,5.297710584559302
03,Alicante/Alacant,2016,8736468,2303761,9060152,1761377,17796620,4065138,4.377863678920617,3.792263173132977,5.143789205831574
03,Alicante/Alacant,2017,8130018,2344255,9919845,2041052,18049863,4385308,4.115985239805277,3.4680604285796552,4.860162798400041
03,Alicante/Alacant,2018,8130481,2386988,9849942,2052473,17980425,4439462,4.050136029996428,3.406167521579497,4.799060450490701
03,Alicante/Alacant,2019,8623618,2578721,9198413,2003803,17822031,4582523,3.8891307255850105,3.344145411620722,4.590477706640822
03,Alicante/Alacant,2020,2950699,1158176,1820155,462927,4770852,1621103,2.9429666097712484,2.5477120921172602,3.9318402253487053
03,Alicante/Alacant,2021,5585174,1972812,2721084,736406,8306259,2709218,3.065924927414479,2.8310726009371394,3.695086677729405
03,Alicante/Alacant,2022,7839888,2417966,8240105,1868986,16079995,4286953,3.75091469395629,3.242348320861418,4.408863950826812
03,Alicante/Alacant,2023,7636985,2438391,9657950,2189594,17294937,4627982,3.7370363583955166,3.131977193157291,4.41084054852178
03,Alicante/Alacant,2024,7713673,2403927,10837541,2440889,18551215,4844818,3.829083982102114,3.208780050309348,4.439997476329321
03,Alicante/Alacant,2025,7456812,2429001,11476067,2634352,18932879,5063353,3.7391979188494266,3.0699089872750154,4.356314949558753
04,Almería,2015,3583300,1016722,1226613,238201,4809912,1254923,3.832834365136347,3.524365559120389,5.149487197786743
04,Almería,2016,3816768,1061681,1698367,313928,5515132,1375607,4.009235195808105,3.5950233638917903,5.41005262353151
04,Almería,2017,3625650,1051823,1927167,355400,5552819,1407222,3.945943852498042,3.447015324821762,5.4225295441755765
04,Almería,2018,3789743,1137121,1780686,355766,5570430,1492886,3.731316389865,3.3327526270291377,5.005216912240068
04,Almería,2019,3760491,1151028,1645014,341883,5405503,1492910,3.6207829005097425,3.267071695910091,4.811628539588105
04,Almería,2020,1350200,476655,245205,75527,1595407,552182,2.889277448377528,2.832656743346865,3.246587313146292
04,Almería,2021,2632004,843715,467717,132666,3099721,976380,3.174707593355046,3.119541551353241,3.5255227413203083
04,Almería,2022,3491483,1100004,1185759,277106,4677243,1377110,3.3964193129089177,3.1740639124948635,4.279080929319466
04,Almería,2023,3598772,1117611,1302160,301633,4900931,1419244,3.453198322487183,3.2200577839695566,4.317034276753538
04,Almería,2024,3788860,1143600,1349042,334793,5137903,1478392,3.4753319823159217,3.3130989856593214,4.029480903125215
04,Almería,2025,3952722,1245967,1362179,326016,5314903,1571984,3.3810159645390794,3.172413073540471,4.178258122300746
05,Ávila,2015,481694,308737,96874,53367,578568,362103,1.597799521130728,1.5602082030984301,1.8152416287218693
05,Ávila,2016,451313,292631,73288,43672,524601,336303,1.5599057992346188,1.54225970590949,1.678146180619161
05,Ávila,2017,522007,332649,87812,57787,609820,390437,1.5618909068556515,1.569242655171066,1.5195805284925676
05,Ávila,2018,542092,351486,73364,47159,615452,398646,1.5438559523988702,1.5422861792503826,1.5556733603341886
05,Ávila,2019,550398,352255,85744,52150,636142,404407,1.5730242058124613,1.5624987580020155,1.6441802492809203
05,Ávila,2021,357479,218007,35658,16818,393134,234825,1.674157351218993,1.6397592737847868,2.120228326792722
05,Ávila,2022,480811,304308,83827,40091,564637,344402,1.6394707347808666,1.5800143275891532,2.090918161183308
05,Ávila,2023,546983,341497,92110,52311,639095,393808,1.6228593629382846,1.601721244988975,1.7608151249259238
05,Ávila,2024,545781,341591,105610,63438,651392,405027,1.6082680907692573,1.5977616506289685,1.66477505596015
05,Ávila,2025,526032,328855,100742,64609,626773,393465,1.5929574422121409,1.5995864438734397,1.559256450339736
06,Badajoz,2015,882706,513772,156885,117114,1039593,630886,1.6478301943615803,1.7180889577477947,1.3395921922229623
06,Badajoz,2016,910203,536662,146972,107396,1057176,644056,1.6414349062814413,1.6960451830015912,1.3685053447055757
06,Badajoz,2017,968565,554816,175276,130904,1143840,685721,1.6680836666807637,1.7457409303264506,1.3389659597873251
06,Badajoz,2018,1042590,598420,204069,145594,1246659,744015,1.6755831535654524,1.7422378931185456,1.401630561698971
