codigo_provincia,provincia,anio,variable,meses_observados,meses_con_dato,valor_anual
05,Ávila,2020,establecimientos_abiertos_estimados,12,10,74.1
05,Ávila,2020,grado_ocupacion_habitaciones_pct,12,10,21.776999999999997
05,Ávila,2020,grado_ocupacion_plazas_fin_semana_pct,12,10,27.944
05,Ávila,2020,grado_ocupacion_plazas_pct,12,10,19.087
05,Ávila,2020,habitaciones_estimadas,12,10,1792.2
05,Ávila,2020,personal_empleado,12,10,364.0
05,Ávila,2020,plazas_estimadas,12,10,3610.8
24,León,2020,establecimientos_abiertos_estimados,12,10,182.0
24,León,2020,grado_ocupacion_habitaciones_pct,12,10,25.708999999999996
24,León,2020,grado_ocupacion_plazas_fin_semana_pct,12,10,22.369999999999997
24,León,2020,grado_ocupacion_plazas_pct,12,10,20.173
24,León,2020,habitaciones_estimadas,12,10,3733.2
24,León,2020,personal_empleado,12,10,538.2
24,León,2020,plazas_estimadas,12,10,6721.2
34,Palencia,2020,establecimientos_abiertos_estimados,12,10,51.4
34,Palencia,2020,grado_ocupacion_habitaciones_pct,12,10,29.054000000000002
34,Palencia,2020,grado_ocupacion_plazas_fin_semana_pct,12,10,24.449
34,Palencia,2020,grado_ocupacion_plazas_pct,12,10,23.294
34,Palencia,2020,habitaciones_estimadas,12,10,1043.8
34,Palencia,2020,personal_empleado,12,10,180.1
34,Palencia,2020,plazas_estimadas,12,10,1916.5
40,Segovia,2020,establecimientos_abiertos_estimados,12,10,87.7
40,Segovia,2020,grado_ocupacion_habitaciones_pct,12,10,25.916000000000004
40,Segovia,2020,grado_ocupacion_plazas_fin_semana_pct,12,10,29.355
40,Segovia,2020,grado_ocupacion_plazas_pct,12,10,21.854
40,Segovia,2020,habitaciones_estimadas,12,10,2047.0
40,Segovia,2020,personal_empleado,12,10,369.2
40,Segovia,2020,plazas_estimadas,12,10,3931.4
49,Zamora,2020,establecimientos_abiertos_estimados,12,10,68.7
49,Zamora,2020,grado_ocupacion_habitaciones_pct,12,10,24.21
49,Zamora,2020,grado_ocupacion_plazas_fin_semana_pct,12,10,22.211
49,Zamora,2020,grado_ocupacion_plazas_pct,12,10,19.808
49,Zamora,2020,habitaciones_estimadas,12,10,1283.9
49,Zamora,2020,personal_empleado,12,10,302.0
49,Zamora,2020,plazas_estimadas,12,10,2391.2
51,Ceuta,2020,establecimientos_abiertos_estimados,12,10,8.5
51,Ceuta,2020,grado_ocupacion_habitaciones_pct,12,10,36.675
51,Ceuta,2020,grado_ocupacion_plazas_fin_semana_pct,12,10,28.287
51,Ceuta,2020,grado_ocupacion_plazas_pct,12,10,32.675
51,Ceuta,2020,habitaciones_estimadas,12,10,315.7
51,Ceuta,2020,personal_empleado,12,10,108.8
51,Ceuta,2020,plazas_estimadas,12,10,591.6
52,Melilla,2020,establecimientos_abiertos_estimados,12,10,6.4
52,Melilla,2020,grado_ocupacion_habitaciones_pct,12,10,32.554
52,Melilla,2020,grado_ocupacion_plazas_fin_semana_pct,12,10,24.294999999999998
52,Melilla,2020,grado_ocupacion_plazas_pct,12,10,23.919
52,Melilla,2020,habitaciones_estimadas,12,10,353.3
52,Melilla,2020,personal_empleado,12,10,96.7
52,Melilla,2020,plazas_estimadas,12,10,676.3
