codigo_provincia,provincia,anio,mes,periodo,variable,valor
01,Araba/Álava,2015,1,2015M01,establecimientos_abiertos_estimados,67.0
01,Araba/Álava,2015,1,2015M01,grado_ocupacion_habitaciones_pct,33.32
01,Araba/Álava,2015,1,2015M01,grado_ocupacion_plazas_fin_semana_pct,29.39
01,Araba/Álava,2015,1,2015M01,grado_ocupacion_plazas_pct,27.3
01,Araba/Álava,2015,1,2015M01,habitaciones_estimadas,2073.0
01,Araba/Álava,2015,1,2015M01,personal_empleado,456.0
01,Araba/Álava,2015,1,2015M01,plazas_estimadas,3998.0
01,Araba/Álava,2015,2,2015M02,establecimientos_abiertos_estimados,73.0
01,Araba/Álava,2015,2,2015M02,grado_ocupacion_habitaciones_pct,37.23
01,Araba/Álava,2015,2,2015M02,grado_ocupacion_plazas_fin_semana_pct,33.21
01,Araba/Álava,2015,2,2015M02,grado_ocupacion_plazas_pct,28.98
01,Araba/Álava,2015,2,2015M02,habitaciones_estimadas,2167.0
01,Araba/Álava,2015,2,2015M02,personal_empleado,528.0
01,Araba/Álava,2015,2,2015M02,plazas_estimadas,4175.0
01,Araba/Álava,2015,3,2015M03,establecimientos_abiertos_estimados,73.0
01,Araba/Álava,2015,3,2015M03,grado_ocupacion_habitaciones_pct,41.66
01,Araba/Álava,2015,3,2015M03,grado_ocupacion_plazas_fin_semana_pct,42.59
01,Araba/Álava,2015,3,2015M03,grado_ocupacion_plazas_pct,34.13
01,Araba/Álava,2015,3,2015M03,habitaciones_estimadas,2199.0
01,Araba/Álava,2015,3,2015M03,personal_empleado,533.0
01,Araba/Álava,2015,3,2015M03,plazas_estimadas,4234.0
01,Araba/Álava,2015,4,2015M04,establecimientos_abiertos_estimados,75.0
01,Araba/Álava,2015,4,2015M04,grado_ocupacion_habitaciones_pct,43.66
01,Araba/Álava,2015,4,2015M04,grado_ocupacion_plazas_fin_semana_pct,50.38
01,Araba/Álava,2015,4,2015M04,grado_ocupacion_plazas_pct,36.06
01,Araba/Álava,2015,4,2015M04,habitaciones_estimadas,2226.0
01,Araba/Álava,2015,4,2015M04,personal_empleado,536.0
01,Araba/Álava,2015,4,2015M04,plazas_estimadas,4292.0
01,Araba/Álava,2015,5,2015M05,establecimientos_abiertos_estimados,76.0
01,Araba/Álava,2015,5,2015M05,grado_ocupacion_habitaciones_pct,52.49
01,Araba/Álava,2015,5,2015M05,grado_ocupacion_plazas_fin_semana_pct,52.59
01,Araba/Álava,2015,5,2015M05,grado_ocupacion_plazas_pct,42.94
01,Araba/Álava,2015,5,2015M05,habitaciones_estimadas,2231.0
01,Araba/Álava,2015,5,2015M05,personal_empleado,537.0
01,Araba/Álava,2015,5,2015M05,plazas_estimadas,4303.0
01,Araba/Álava,2015,6,2015M06,establecimientos_abiertos_estimados,73.0
01,Araba/Álava,2015,6,2015M06,grado_ocupacion_habitaciones_pct,50.82
01,Araba/Álava,2015,6,2015M06,grado_ocupacion_plazas_fin_semana_pct,55.89
01,Araba/Álava,2015,6,2015M06,grado_ocupacion_plazas_pct,41.45
01,Araba/Álava,2015,6,2015M06,habitaciones_estimadas,2203.0
01,Araba/Álava,2015,6,2015M06,personal_empleado,536.0
01,Araba/Álava,2015,6,2015M06,plazas_estimadas,4248.0
01,Araba/Álava,2015,7,2015M07,establecimientos_abiertos_estimados,74.0
01,Araba/Álava,2015,7,2015M07,grado_ocupacion_habitaciones_pct,59.38
01,Araba/Álava,2015,7,2015M07,grado_ocupacion_plazas_fin_semana_pct,66.27
01,Araba/Álava,2015,7,2015M07,grado_ocupacion_plazas_pct,52.52
01,Araba/Álava,2015,7,2015M07,habitaciones_estimadas,2214.0
01,Araba/Álava,2015,7,2015M07,personal_empleado,582.0
01,Araba/Álava,2015,7,2015M07,plazas_estimadas,4273.0
01,Araba/Álava,2015,8,2015M08,establecimientos_abiertos_estimados,72.0
01,Araba/Álava,2015,8,2015M08,grado_ocupacion_habitaciones_pct,70.85
01,Araba/Álava,2015,8,2015M08,grado_ocupacion_plazas_fin_semana_pct,74.15
01,Araba/Álava,2015,8,2015M08,grado_ocupacion_plazas_pct,68.94
01,Araba/Álava,2015,8,2015M08,habitaciones_estimadas,2199.0
01,Araba/Álava,2015,8,2015M08,personal_empleado,587.0
01,Araba/Álava,2015,8,2015M08,plazas_estimadas,4243.0
01,Araba/Álava,2015,9,2015M09,establecimientos_abiertos_estimados,73.0
01,Araba/Álava,2015,9,2015M09,grado_ocupacion_habitaciones_pct,60.04
01,Araba/Álava,2015,9,2015M09,grado_ocupacion_plazas_fin_semana_pct,63.74
01,Araba/Álava,2015,9,2015M09,grado_ocupacion_plazas_pct,49.81
01,Araba/Álava,2015,9,2015M09,habitaciones_estimadas,2235.0
01,Araba/Álava,2015,9,2015M09,personal_empleado,528.0
01,Araba/Álava,2015,9,2015M09,plazas_estimadas,4302.0
01,Araba/Álava,2015,10,2015M10,establecimientos_abiertos_estimados,72.0
01,Araba/Álava,2015,10,2015M10,grado_ocupacion_habitaciones_pct,55.8
01,Araba/Álava,2015,10,2015M10,grado_ocupacion_plazas_fin_semana_pct,58.98
01,Araba/Álava,2015,10,2015M10,grado_ocupacion_plazas_pct,46.43
01,Araba/Álava,2015,10,2015M10,habitaciones_estimadas,2225.0
01,Araba/Álava,2015,10,2015M10,personal_empleado,534.0
01,Araba/Álava,2015,10,2015M10,plazas_estimadas,4285.0
01,Araba/Álava,2015,11,2015M11,establecimientos_abiertos_estimados,72.0
01,Araba/Álava,2015,11,2015M11,grado_ocupacion_habitaciones_pct,47.2
01,Araba/Álava,2015,11,2015M11,grado_ocupacion_plazas_fin_semana_pct,52.05
01,Araba/Álava,2015,11,2015M11,grado_ocupacion_plazas_pct,38.43
01,Araba/Álava,2015,11,2015M11,habitaciones_estimadas,2221.0
01,Araba/Álava,2015,11,2015M11,personal_empleado,527.0
01,Araba/Álava,2015,11,2015M11,plazas_estimadas,4283.0
01,Araba/Álava,2015,12,2015M12,establecimientos_abiertos_estimados,72.0
01,Araba/Álava,2015,12,2015M12,grado_ocupacion_habitaciones_pct,46.84
01,Araba/Álava,2015,12,2015M12,grado_ocupacion_plazas_fin_semana_pct,46.99
01,Araba/Álava,2015,12,2015M12,grado_ocupacion_plazas_pct,42.99
01,Araba/Álava,2015,12,2015M12,habitaciones_estimadas,2227.0
01,Araba/Álava,2015,12,2015M12,personal_empleado,477.0
01,Araba/Álava,2015,12,2015M12,plazas_estimadas,4290.0
01,Araba/Álava,2016,1,2016M01,establecimientos_abiertos_estimados,64.0
01,Araba/Álava,2016,1,2016M01,grado_ocupacion_habitaciones_pct,37.16
01,Araba/Álava,2016,1,2016M01,grado_ocupacion_plazas_fin_semana_pct,38.54
01,Araba/Álava,2016,1,2016M01,grado_ocupacion_plazas_pct,30.14
01,Araba/Álava,2016,1,2016M01,habitaciones_estimadas,2084.0
01,Araba/Álava,2016,1,2016M01,personal_empleado,430.0
01,Araba/Álava,2016,1,2016M01,plazas_estimadas,4008.0
01,Araba/Álava,2016,2,2016M02,establecimientos_abiertos_estimados,67.0
01,Araba/Álava,2016,2,2016M02,grado_ocupacion_habitaciones_pct,40.3
01,Araba/Álava,2016,2,2016M02,grado_ocupacion_plazas_fin_semana_pct,40.65
01,Araba/Álava,2016,2,2016M02,grado_ocupacion_plazas_pct,30.99
01,Araba/Álava,2016,2,2016M02,habitaciones_estimadas,2137.0
01,Araba/Álava,2016,2,2016M02,personal_empleado,476.0
01,Araba/Álava,2016,2,2016M02,plazas_estimadas,4120.0
01,Araba/Álava,2016,3,2016M03,establecimientos_abiertos_estimados,70.0
01,Araba/Álava,2016,3,2016M03,grado_ocupacion_habitaciones_pct,49.44
01,Araba/Álava,2016,3,2016M03,grado_ocupacion_plazas_fin_semana_pct,59.67
01,Araba/Álava,2016,3,2016M03,grado_ocupacion_plazas_pct,41.55
01,Araba/Álava,2016,3,2016M03,habitaciones_estimadas,2193.0
01,Araba/Álava,2016,3,2016M03,personal_empleado,492.0
01,Araba/Álava,2016,3,2016M03,plazas_estimadas,4236.0
