periodo;codigo_provincia;provincia;salario_medio_anual_euros_total;salario_medio_anual_euros_hombre;salario_medio_anual_euros_mujer;indice_precios_consumo_base_2015;pct_35_64;tasa_migracion_neta_exterior_por_1000_habitantes;compraventas_viviendas;pct_compraventas_vivienda_nueva;importe_medio_hipoteca_vivienda_eur;visados_obra_nueva_viviendas
2015T1;1;Araba/Álava;27956,0;31787,0;23571,0;98,71;42,62;-0,36;456;29,82;73828,72;177
2015T2;1;Araba/Álava;27956,0;31787,0;23571,0;100,73;42,62;-0,36;536;36,01;112497,42;153
2015T3;1;Araba/Álava;27956,0;31787,0;23571,0;99,87;42,62;-0,36;496;22,18;106469,03;164
2015T4;1;Araba/Álava;27956,0;31787,0;23571,0;100,7;42,62;-0,36;403;17,62;113703,7;256
2016T1;1;Araba/Álava;27893,0;31648,0;23676,0;98,35;42,58;2,21;638;31,82;116735,61;102
2016T2;1;Araba/Álava;27893,0;31648,0;23676,0;99,98;42,58;2,21;628;20,86;107101,27;163
2016T3;1;Araba/Álava;27893,0;31648,0;23676,0;99,73;42,58;2,21;497;18,31;107728,29;141
2016T4;1;Araba/Álava;27893,0;31648,0;23676,0;101,61;42,58;2,21;454;22,47;105553,61;117
2017T1;1;Araba/Álava;28704,0;32653,0;24402,0;101,05;42,5;3,42;745;19,87;97096,36;216
2017T2;1;Araba/Álava;28704,0;32653,0;24402,0;102,02;42,5;3,42;684;12,87;113034,31;226
2017T3;1;Araba/Álava;28704,0;32653,0;24402,0;101,66;42,5;3,42;682;16,13;114048,54;178
2017T4;1;Araba/Álava;28704,0;32653,0;24402,0;103,13;42,5;3,42;696;23,85;99517,95;106
2018T1;1;Araba/Álava;28898,0;32723,0;24693,0;101,78;42,2;4,88;911;27,88;118804,62;136
2018T2;1;Araba/Álava;28898,0;32723,0;24693,0;103,67;42,2;4,88;889;16,76;115669,23;241
2018T3;1;Araba/Álava;28898,0;32723,0;24693,0;103,58;42,2;4,88;744;12,37;117814,7;161
2018T4;1;Araba/Álava;28898,0;32723,0;24693,0;104,51;42,2;4,88;632;12,34;123903,91;313
2019T1;1;Araba/Álava;30031,0;34005,0;25639,0;102,95;41,96;7,14;937;13,02;125440,33;211
2019T2;1;Araba/Álava;30031,0;34005,0;25639,0;104,7;41,96;7,14;889;14,29;128364,71;298
2019T3;1;Araba/Álava;30031,0;34005,0;25639,0;104,14;41,96;7,14;761;11,17;122483,11;169
2019T4;1;Araba/Álava;30031,0;34005,0;25639,0;105,27;41,96;7,14;722;20,91;121558,68;166
2020T1;1;Araba/Álava;30677,0;34674,0;26353,0;103,62;41,71;2,38;854;13,7;125454,79;144
2020T2;1;Araba/Álava;30677,0;34674,0;26353,0;103,99;41,71;2,38;590;18,64;142418,3;97
2020T3;1;Araba/Álava;30677,0;34674,0;26353,0;103,56;41,71;2,38;1163;7,05;92538,59;84
2020T4;1;Araba/Álava;30677,0;34674,0;26353,0;104,49;41,71;2,38;773;9,31;137038,02;122
2021T1;1;Araba/Álava;31530,0;35523,0;27134,0;104,29;41,64;2,68;866;14,09;140912,74;399
2021T2;1;Araba/Álava;31530,0;35523,0;27134,0;106,86;41,64;2,68;933;15,11;138014,51;259
2021T3;1;Araba/Álava;31530,0;35523,0;27134,0;107,13;41,64;2,68;842;10,1;117049,27;357
2021T4;1;Araba/Álava;31530,0;35523,0;27134,0;110,56;41,64;2,68;842;15,68;154893,94;416
2022T1;1;Araba/Álava;32799,0;36885,0;28321,0;112,54;41,27;10,73;896;10,27;141822,03;417
2022T2;1;Araba/Álava;32799,0;36885,0;28321,0;116,3;41,27;10,73;1055;19,05;148721,23;241
2022T3;1;Araba/Álava;32799,0;36885,0;28321,0;117,59;41,27;10,73;984;20,43;124203,14;128
2022T4;1;Araba/Álava;32799,0;36885,0;28321,0;117,13;41,27;10,73;907;25,47;138073,39;399
2023T1;1;Araba/Álava;34386,0;38582,0;29750,0;117,69;40,92;8,89;936;18,8;146592,07;270
2023T2;1;Araba/Álava;34386,0;38582,0;29750,0;119,26;40,92;8,89;693;11,69;147166,92;299
2023T3;1;Araba/Álava;34386,0;38582,0;29750,0;120,39;40,92;8,89;821;10,11;142561,7;166
2023T4;1;Araba/Álava;34386,0;38582,0;29750,0;120,31;40,92;8,89;633;19,27;138360,77;352
2024T1;1;Araba/Álava;35761,0;40042,0;30998,0;120,75;40,92;11,43;831;20,1;144308,15;457
2024T2;1;Araba/Álava;35761,0;40042,0;30998,0;123,07;40,92;11,43;868;38,02;133801,68;104
2024T3;1;Araba/Álava;35761,0;40042,0;30998,0;122,64;40,92;11,43;1056;36,36;143331,62;415
2024T4;1;Araba/Álava;35761,0;40042,0;30998,0;123,23;40,92;11,43;942;30,68;147580,28;148
2015T1;2;Albacete;15728,0;16985,0;14033,0;98,96;39,53;-0,54;545;26,24;82770,64;74
2015T2;2;Albacete;15728,0;16985,0;14033,0;100,89;39,53;-0,54;460;26,3;78629,41;117
2015T3;2;Albacete;15728,0;16985,0;14033,0;99,69;39,53;-0,54;481;21,21;78082,22;133
2015T4;2;Albacete;15728,0;16985,0;14033,0;100,46;39,53;-0,54;482;22,41;86327,87;316
2016T1;2;Albacete;15780,0;17082,0;14046,0;97,91;39,86;0,83;565;20,0;87970,46;108
2016T2;2;Albacete;15780,0;17082,0;14046,0;99,67;39,86;0,83;592;18,92;100889,44;172
2016T3;2;Albacete;15780,0;17082,0;14046,0;99,28;39,86;0,83;552;21,74;83195,65;156
2016T4;2;Albacete;15780,0;17082,0;14046,0;101,23;39,86;0,83;469;18,12;80906,98;147
