codigo_provincia,provincia,tamano_hogar,fecha,anio,trimestre,periodo,numero_hogares
02,Albacete,1,2021-01-01,2021,1,2021-T1,41.838
02,Albacete,1,2021-04-01,2021,2,2021-T2,42.322
02,Albacete,1,2021-07-01,2021,3,2021-T3,42.821
02,Albacete,1,2021-10-01,2021,4,2021-T4,43.185
02,Albacete,1,2022-01-01,2022,1,2022-T1,43.461
02,Albacete,1,2022-04-01,2022,2,2022-T2,43.519
02,Albacete,1,2022-07-01,2022,3,2022-T3,43.628
02,Albacete,1,2022-10-01,2022,4,2022-T4,44.022
02,Albacete,1,2023-01-01,2023,1,2023-T1,44.412
02,Albacete,1,2023-04-01,2023,2,2023-T2,44.669
02,Albacete,1,2023-07-01,2023,3,2023-T3,44.969
02,Albacete,1,2023-10-01,2023,4,2023-T4,45.256
02,Albacete,1,2024-01-01,2024,1,2024-T1,45.453
02,Albacete,1,2024-04-01,2024,2,2024-T2,45.462
02,Albacete,1,2024-07-01,2024,3,2024-T3,45.548
02,Albacete,1,2024-10-01,2024,4,2024-T4,45.835
02,Albacete,1,2025-01-01,2025,1,2025-T1,46.079
02,Albacete,1,2025-04-01,2025,2,2025-T2,46.207
02,Albacete,1,2025-07-01,2025,3,2025-T3,46.532
02,Albacete,1,2025-10-01,2025,4,2025-T4,46.93
02,Albacete,1,2026-01-01,2026,1,2026-T1,47.207
02,Albacete,1,2026-04-01,2026,2,2026-T2,47.612
02,Albacete,2,2021-01-01,2021,1,2021-T1,39.627
02,Albacete,2,2021-04-01,2021,2,2021-T2,39.914
02,Albacete,2,2021-07-01,2021,3,2021-T3,40.201
02,Albacete,2,2021-10-01,2021,4,2021-T4,40.482
02,Albacete,2,2022-01-01,2022,1,2022-T1,40.707
02,Albacete,2,2022-04-01,2022,2,2022-T2,40.924
02,Albacete,2,2022-07-01,2022,3,2022-T3,41.157
02,Albacete,2,2022-10-01,2022,4,2022-T4,41.486
02,Albacete,2,2023-01-01,2023,1,2023-T1,41.819
02,Albacete,2,2023-04-01,2023,2,2023-T2,42.088
02,Albacete,2,2023-07-01,2023,3,2023-T3,42.361
02,Albacete,2,2023-10-01,2023,4,2023-T4,42.572
02,Albacete,2,2024-01-01,2024,1,2024-T1,42.705
02,Albacete,2,2024-04-01,2024,2,2024-T2,42.893
02,Albacete,2,2024-07-01,2024,3,2024-T3,43.157
02,Albacete,2,2024-10-01,2024,4,2024-T4,43.394
02,Albacete,2,2025-01-01,2025,1,2025-T1,43.589
02,Albacete,2,2025-04-01,2025,2,2025-T2,43.571
02,Albacete,2,2025-07-01,2025,3,2025-T3,43.708
02,Albacete,2,2025-10-01,2025,4,2025-T4,43.994
02,Albacete,2,2026-01-01,2026,1,2026-T1,44.188
02,Albacete,2,2026-04-01,2026,2,2026-T2,44.475
02,Albacete,3,2021-01-01,2021,1,2021-T1,31.076
02,Albacete,3,2021-04-01,2021,2,2021-T2,31.082
02,Albacete,3,2021-07-01,2021,3,2021-T3,31.06
02,Albacete,3,2021-10-01,2021,4,2021-T4,31.066
02,Albacete,3,2022-01-01,2022,1,2022-T1,31.041
02,Albacete,3,2022-04-01,2022,2,2022-T2,31.016
02,Albacete,3,2022-07-01,2022,3,2022-T3,31.008
02,Albacete,3,2022-10-01,2022,4,2022-T4,31.047
02,Albacete,3,2023-01-01,2023,1,2023-T1,31.087
02,Albacete,3,2023-04-01,2023,2,2023-T2,31.096
02,Albacete,3,2023-07-01,2023,3,2023-T3,31.095
02,Albacete,3,2023-10-01,2023,4,2023-T4,31.119
02,Albacete,3,2024-01-01,2024,1,2024-T1,31.085
02,Albacete,3,2024-04-01,2024,2,2024-T2,31.074
02,Albacete,3,2024-07-01,2024,3,2024-T3,31.113
02,Albacete,3,2024-10-01,2024,4,2024-T4,31.069
02,Albacete,3,2025-01-01,2025,1,2025-T1,31.003
02,Albacete,3,2025-04-01,2025,2,2025-T2,31.0
02,Albacete,3,2025-07-01,2025,3,2025-T3,31.123
02,Albacete,3,2025-10-01,2025,4,2025-T4,31.146
02,Albacete,3,2026-01-01,2026,1,2026-T1,31.086
02,Albacete,3,2026-04-01,2026,2,2026-T2,31.178
02,Albacete,4 y más,2021-01-01,2021,1,2021-T1,38.721
02,Albacete,4 y más,2021-04-01,2021,2,2021-T2,38.451
02,Albacete,4 y más,2021-07-01,2021,3,2021-T3,38.128
02,Albacete,4 y más,2021-10-01,2021,4,2021-T4,37.956
02,Albacete,4 y más,2022-01-01,2022,1,2022-T1,37.758
02,Albacete,4 y más,2022-04-01,2022,2,2022-T2,37.668
02,Albacete,4 y más,2022-07-01,2022,3,2022-T3,37.595
02,Albacete,4 y más,2022-10-01,2022,4,2022-T4,37.422
02,Albacete,4 y más,2023-01-01,2023,1,2023-T1,37.249
02,Albacete,4 y más,2023-04-01,2023,2,2023-T2,37.107
02,Albacete,4 y más,2023-07-01,2023,3,2023-T3,36.955
02,Albacete,4 y más,2023-10-01,2023,4,2023-T4,36.911
02,Albacete,4 y más,2024-01-01,2024,1,2024-T1,36.798
02,Albacete,4 y más,2024-04-01,2024,2,2024-T2,36.704
02,Albacete,4 y más,2024-07-01,2024,3,2024-T3,36.656
02,Albacete,4 y más,2024-10-01,2024,4,2024-T4,36.613
02,Albacete,4 y más,2025-01-01,2025,1,2025-T1,36.548
02,Albacete,4 y más,2025-04-01,2025,2,2025-T2,36.407
02,Albacete,4 y más,2025-07-01,2025,3,2025-T3,36.414
02,Albacete,4 y más,2025-10-01,2025,4,2025-T4,36.359
02,Albacete,4 y más,2026-01-01,2026,1,2026-T1,36.199
02,Albacete,4 y más,2026-04-01,2026,2,2026-T2,36.206
02,Albacete,Total,2021-01-01,2021,1,2021-T1,151.262
02,Albacete,Total,2021-04-01,2021,2,2021-T2,151.769
02,Albacete,Total,2021-07-01,2021,3,2021-T3,152.21
02,Albacete,Total,2021-10-01,2021,4,2021-T4,152.689
02,Albacete,Total,2022-01-01,2022,1,2022-T1,152.967
02,Albacete,Total,2022-04-01,2022,2,2022-T2,153.127
02,Albacete,Total,2022-07-01,2022,3,2022-T3,153.388
02,Albacete,Total,2022-10-01,2022,4,2022-T4,153.977
02,Albacete,Total,2023-01-01,2023,1,2023-T1,154.567
02,Albacete,Total,2023-04-01,2023,2,2023-T2,154.96
