codigo_provincia,provincia,provincia_original,anio,tipo_edificacion,tipo_dato,valor,valor_original,edificacion_normalizada,dato_normalizado,variable
02,Albacete,02 Albacete,2015,Total,Variación anual,-1.0,"-1,0",general,variacion_anual,ipva_variacion_anual_general
02,Albacete,02 Albacete,2015,Vivienda colectiva,Variación anual,-0.9,"-0,9",colectiva,variacion_anual,ipva_variacion_anual_colectiva
02,Albacete,02 Albacete,2015,Vivienda unifamiliar,Variación anual,-2.0,"-2,0",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
02,Albacete,02 Albacete,2015,Total,Índice,100.0,"100,000",general,indice,ipva_indice_general
02,Albacete,02 Albacete,2015,Vivienda colectiva,Índice,100.0,"100,000",colectiva,indice,ipva_indice_colectiva
02,Albacete,02 Albacete,2015,Vivienda unifamiliar,Índice,100.0,"100,000",unifamiliar,indice,ipva_indice_unifamiliar
02,Albacete,02 Albacete,2016,Total,Variación anual,1.3,"1,3",general,variacion_anual,ipva_variacion_anual_general
02,Albacete,02 Albacete,2016,Vivienda colectiva,Variación anual,1.3,"1,3",colectiva,variacion_anual,ipva_variacion_anual_colectiva
02,Albacete,02 Albacete,2016,Vivienda unifamiliar,Variación anual,1.6,"1,6",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
02,Albacete,02 Albacete,2016,Total,Índice,101.322,"101,322",general,indice,ipva_indice_general
02,Albacete,02 Albacete,2016,Vivienda colectiva,Índice,101.296,"101,296",colectiva,indice,ipva_indice_colectiva
02,Albacete,02 Albacete,2016,Vivienda unifamiliar,Índice,101.599,"101,599",unifamiliar,indice,ipva_indice_unifamiliar
02,Albacete,02 Albacete,2017,Total,Variación anual,0.9,"0,9",general,variacion_anual,ipva_variacion_anual_general
02,Albacete,02 Albacete,2017,Vivienda colectiva,Variación anual,0.8,"0,8",colectiva,variacion_anual,ipva_variacion_anual_colectiva
02,Albacete,02 Albacete,2017,Vivienda unifamiliar,Variación anual,2.1,"2,1",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
02,Albacete,02 Albacete,2017,Total,Índice,102.266,"102,266",general,indice,ipva_indice_general
02,Albacete,02 Albacete,2017,Vivienda colectiva,Índice,102.126,"102,126",colectiva,indice,ipva_indice_colectiva
02,Albacete,02 Albacete,2017,Vivienda unifamiliar,Índice,103.763,"103,763",unifamiliar,indice,ipva_indice_unifamiliar
02,Albacete,02 Albacete,2018,Total,Variación anual,1.6,"1,6",general,variacion_anual,ipva_variacion_anual_general
02,Albacete,02 Albacete,2018,Vivienda colectiva,Variación anual,1.7,"1,7",colectiva,variacion_anual,ipva_variacion_anual_colectiva
02,Albacete,02 Albacete,2018,Vivienda unifamiliar,Variación anual,0.9,"0,9",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
02,Albacete,02 Albacete,2018,Total,Índice,103.92,"103,920",general,indice,ipva_indice_general
02,Albacete,02 Albacete,2018,Vivienda colectiva,Índice,103.848,"103,848",colectiva,indice,ipva_indice_colectiva
02,Albacete,02 Albacete,2018,Vivienda unifamiliar,Índice,104.716,"104,716",unifamiliar,indice,ipva_indice_unifamiliar
02,Albacete,02 Albacete,2019,Total,Variación anual,2.8,"2,8",general,variacion_anual,ipva_variacion_anual_general
02,Albacete,02 Albacete,2019,Vivienda colectiva,Variación anual,2.8,"2,8",colectiva,variacion_anual,ipva_variacion_anual_colectiva
02,Albacete,02 Albacete,2019,Vivienda unifamiliar,Variación anual,2.3,"2,3",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
02,Albacete,02 Albacete,2019,Total,Índice,106.825,"106,825",general,indice,ipva_indice_general
02,Albacete,02 Albacete,2019,Vivienda colectiva,Índice,106.803,"106,803",colectiva,indice,ipva_indice_colectiva
02,Albacete,02 Albacete,2019,Vivienda unifamiliar,Índice,107.121,"107,121",unifamiliar,indice,ipva_indice_unifamiliar
02,Albacete,02 Albacete,2020,Total,Variación anual,0.8,"0,8",general,variacion_anual,ipva_variacion_anual_general
02,Albacete,02 Albacete,2020,Vivienda colectiva,Variación anual,0.8,"0,8",colectiva,variacion_anual,ipva_variacion_anual_colectiva
02,Albacete,02 Albacete,2020,Vivienda unifamiliar,Variación anual,0.6,"0,6",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
02,Albacete,02 Albacete,2020,Total,Índice,107.678,"107,678",general,indice,ipva_indice_general
02,Albacete,02 Albacete,2020,Vivienda colectiva,Índice,107.674,"107,674",colectiva,indice,ipva_indice_colectiva
02,Albacete,02 Albacete,2020,Vivienda unifamiliar,Índice,107.798,"107,798",unifamiliar,indice,ipva_indice_unifamiliar
02,Albacete,02 Albacete,2021,Total,Variación anual,2.3,"2,3",general,variacion_anual,ipva_variacion_anual_general
02,Albacete,02 Albacete,2021,Vivienda colectiva,Variación anual,2.3,"2,3",colectiva,variacion_anual,ipva_variacion_anual_colectiva
02,Albacete,02 Albacete,2021,Vivienda unifamiliar,Variación anual,1.7,"1,7",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
02,Albacete,02 Albacete,2021,Total,Índice,110.121,"110,121",general,indice,ipva_indice_general
02,Albacete,02 Albacete,2021,Vivienda colectiva,Índice,110.188,"110,188",colectiva,indice,ipva_indice_colectiva
02,Albacete,02 Albacete,2021,Vivienda unifamiliar,Índice,109.634,"109,634",unifamiliar,indice,ipva_indice_unifamiliar
02,Albacete,02 Albacete,2022,Total,Variación anual,2.3,"2,3",general,variacion_anual,ipva_variacion_anual_general
02,Albacete,02 Albacete,2022,Vivienda colectiva,Variación anual,2.4,"2,4",colectiva,variacion_anual,ipva_variacion_anual_colectiva
02,Albacete,02 Albacete,2022,Vivienda unifamiliar,Variación anual,1.4,"1,4",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
02,Albacete,02 Albacete,2022,Total,Índice,112.628,"112,628",general,indice,ipva_indice_general
02,Albacete,02 Albacete,2022,Vivienda colectiva,Índice,112.811,"112,811",colectiva,indice,ipva_indice_colectiva
02,Albacete,02 Albacete,2022,Vivienda unifamiliar,Índice,111.116,"111,116",unifamiliar,indice,ipva_indice_unifamiliar
02,Albacete,02 Albacete,2023,Total,Variación anual,2.2,"2,2",general,variacion_anual,ipva_variacion_anual_general
02,Albacete,02 Albacete,2023,Vivienda colectiva,Variación anual,2.3,"2,3",colectiva,variacion_anual,ipva_variacion_anual_colectiva
02,Albacete,02 Albacete,2023,Vivienda unifamiliar,Variación anual,1.5,"1,5",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
02,Albacete,02 Albacete,2023,Total,Índice,115.13,"115,130",general,indice,ipva_indice_general
02,Albacete,02 Albacete,2023,Vivienda colectiva,Índice,115.411,"115,411",colectiva,indice,ipva_indice_colectiva
02,Albacete,02 Albacete,2023,Vivienda unifamiliar,Índice,112.802,"112,802",unifamiliar,indice,ipva_indice_unifamiliar
02,Albacete,02 Albacete,2024,Total,Variación anual,3.0,"3,0",general,variacion_anual,ipva_variacion_anual_general
02,Albacete,02 Albacete,2024,Vivienda colectiva,Variación anual,3.2,"3,2",colectiva,variacion_anual,ipva_variacion_anual_colectiva
02,Albacete,02 Albacete,2024,Vivienda unifamiliar,Variación anual,1.6,"1,6",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
02,Albacete,02 Albacete,2024,Total,Índice,118.601,"118,601",general,indice,ipva_indice_general
02,Albacete,02 Albacete,2024,Vivienda colectiva,Índice,119.071,"119,071",colectiva,indice,ipva_indice_colectiva
02,Albacete,02 Albacete,2024,Vivienda unifamiliar,Índice,114.66,"114,660",unifamiliar,indice,ipva_indice_unifamiliar
03,Alicante/Alacant,03 Alicante/Alacant,2015,Total,Variación anual,0.4,"0,4",general,variacion_anual,ipva_variacion_anual_general
03,Alicante/Alacant,03 Alicante/Alacant,2015,Vivienda colectiva,Variación anual,0.2,"0,2",colectiva,variacion_anual,ipva_variacion_anual_colectiva
03,Alicante/Alacant,03 Alicante/Alacant,2015,Vivienda unifamiliar,Variación anual,1.3,"1,3",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
03,Alicante/Alacant,03 Alicante/Alacant,2015,Total,Índice,100.0,"100,000",general,indice,ipva_indice_general
03,Alicante/Alacant,03 Alicante/Alacant,2015,Vivienda colectiva,Índice,100.0,"100,000",colectiva,indice,ipva_indice_colectiva
03,Alicante/Alacant,03 Alicante/Alacant,2015,Vivienda unifamiliar,Índice,100.0,"100,000",unifamiliar,indice,ipva_indice_unifamiliar
03,Alicante/Alacant,03 Alicante/Alacant,2016,Total,Variación anual,1.8,"1,8",general,variacion_anual,ipva_variacion_anual_general
03,Alicante/Alacant,03 Alicante/Alacant,2016,Vivienda colectiva,Variación anual,1.8,"1,8",colectiva,variacion_anual,ipva_variacion_anual_colectiva
03,Alicante/Alacant,03 Alicante/Alacant,2016,Vivienda unifamiliar,Variación anual,1.8,"1,8",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
03,Alicante/Alacant,03 Alicante/Alacant,2016,Total,Índice,101.842,"101,842",general,indice,ipva_indice_general
03,Alicante/Alacant,03 Alicante/Alacant,2016,Vivienda colectiva,Índice,101.846,"101,846",colectiva,indice,ipva_indice_colectiva
03,Alicante/Alacant,03 Alicante/Alacant,2016,Vivienda unifamiliar,Índice,101.82,"101,820",unifamiliar,indice,ipva_indice_unifamiliar
03,Alicante/Alacant,03 Alicante/Alacant,2017,Total,Variación anual,1.5,"1,5",general,variacion_anual,ipva_variacion_anual_general
