codigo_provincia,provincia,anio,ipva_indice_general,ipva_indice_colectiva,ipva_indice_unifamiliar,ipva_variacion_anual_general,ipva_variacion_anual_colectiva,ipva_variacion_anual_unifamiliar
02,Albacete,2015,100.0,100.0,100.0,-1.0,-0.9,-2.0
02,Albacete,2016,101.322,101.296,101.599,1.3,1.3,1.6
02,Albacete,2017,102.266,102.126,103.763,0.9,0.8,2.1
02,Albacete,2018,103.92,103.848,104.716,1.6,1.7,0.9
02,Albacete,2019,106.825,106.803,107.121,2.8,2.8,2.3
02,Albacete,2020,107.678,107.674,107.798,0.8,0.8,0.6
02,Albacete,2021,110.121,110.188,109.634,2.3,2.3,1.7
02,Albacete,2022,112.628,112.811,111.116,2.3,2.4,1.4
02,Albacete,2023,115.13,115.411,112.802,2.2,2.3,1.5
02,Albacete,2024,118.601,119.071,114.66,3.0,3.2,1.6
03,Alicante/Alacant,2015,100.0,100.0,100.0,0.4,0.2,1.3
03,Alicante/Alacant,2016,101.842,101.846,101.82,1.8,1.8,1.8
03,Alicante/Alacant,2017,103.381,103.537,102.586,1.5,1.7,0.8
03,Alicante/Alacant,2018,105.671,105.804,104.993,2.2,2.2,2.3
03,Alicante/Alacant,2019,108.985,109.418,106.801,3.1,3.4,1.7
03,Alicante/Alacant,2020,109.775,110.272,107.274,0.7,0.8,0.4
03,Alicante/Alacant,2021,112.182,112.688,109.634,2.2,2.2,2.2
03,Alicante/Alacant,2022,115.537,116.179,112.319,3.0,3.1,2.4
03,Alicante/Alacant,2023,119.031,119.849,114.915,3.0,3.2,2.3
03,Alicante/Alacant,2024,124.481,125.49,119.378,4.6,4.7,3.9
04,Almería,2015,100.0,100.0,100.0,-0.6,-0.7,-0.3
04,Almería,2016,101.718,101.609,102.32,1.7,1.6,2.3
04,Almería,2017,102.822,102.685,103.579,1.1,1.1,1.2
04,Almería,2018,104.755,104.665,105.254,1.9,1.9,1.6
04,Almería,2019,107.809,107.893,107.319,2.9,3.1,2.0
04,Almería,2020,109.501,109.699,108.355,1.6,1.7,1.0
04,Almería,2021,111.744,111.993,110.321,2.0,2.1,1.8
04,Almería,2022,114.64,115.016,112.51,2.6,2.7,2.0
04,Almería,2023,117.471,118.055,114.181,2.5,2.6,1.5
04,Almería,2024,121.611,122.352,117.432,3.5,3.6,2.8
05,Ávila,2015,100.0,100.0,100.0,-1.2,-1.0,-2.5
05,Ávila,2016,101.512,101.062,103.685,1.5,1.1,3.7
05,Ávila,2017,102.227,102.018,103.278,0.7,0.9,-0.4
05,Ávila,2018,104.675,104.361,106.218,2.4,2.3,2.8
05,Ávila,2019,107.705,107.82,107.214,2.9,3.3,0.9
05,Ávila,2020,108.981,108.816,109.807,1.2,0.9,2.4
05,Ávila,2021,111.371,111.236,112.072,2.2,2.2,2.1
05,Ávila,2022,114.48,114.655,113.764,2.8,3.1,1.5
05,Ávila,2023,117.837,118.116,116.64,2.9,3.0,2.5
05,Ávila,2024,122.619,123.155,120.201,4.1,4.3,3.1
06,Badajoz,2015,100.0,100.0,100.0,-0.3,-0.4,0.6
06,Badajoz,2016,101.831,101.997,100.72,1.8,2.0,0.7
06,Badajoz,2017,102.726,102.795,102.257,0.9,0.8,1.5
06,Badajoz,2018,104.002,104.174,102.862,1.2,1.3,0.6
06,Badajoz,2019,106.518,106.893,104.048,2.4,2.6,1.2
06,Badajoz,2020,107.611,107.971,105.234,1.0,1.0,1.1
06,Badajoz,2021,109.386,109.886,106.195,1.6,1.8,0.9
06,Badajoz,2022,112.018,112.709,107.702,2.4,2.6,1.4
06,Badajoz,2023,114.436,115.347,108.838,2.2,2.3,1.1
06,Badajoz,2024,118.024,119.165,111.05,3.1,3.3,2.0
07,"Balears, Illes",2015,100.0,100.0,100.0,1.3,1.2,1.5
07,"Balears, Illes",2016,102.167,102.16,102.192,2.2,2.2,2.2
07,"Balears, Illes",2017,105.011,105.112,104.642,2.8,2.9,2.4
07,"Balears, Illes",2018,109.221,109.628,107.725,4.0,4.3,2.9
07,"Balears, Illes",2019,113.469,114.538,109.533,3.9,4.5,1.7
07,"Balears, Illes",2020,113.259,114.293,109.452,-0.2,-0.2,-0.1
07,"Balears, Illes",2021,115.745,116.655,112.338,2.2,2.1,2.6
07,"Balears, Illes",2022,120.007,121.051,116.144,3.7,3.8,3.4
07,"Balears, Illes",2023,123.906,125.109,119.506,3.2,3.4,2.9
07,"Balears, Illes",2024,128.808,130.27,123.546,4.0,4.1,3.4
08,Barcelona,2015,100.0,100.0,100.0,0.6,0.6,1.1
08,Barcelona,2016,101.801,101.788,101.924,1.8,1.8,1.9
08,Barcelona,2017,104.134,104.225,103.304,2.3,2.4,1.4
08,Barcelona,2018,107.785,108.053,105.299,3.5,3.7,1.9
08,Barcelona,2019,111.871,112.448,106.423,3.8,4.1,1.1
08,Barcelona,2020,113.04,113.632,107.437,1.0,1.1,1.0
08,Barcelona,2021,114.388,114.918,109.388,1.2,1.1,1.8
08,Barcelona,2022,117.306,117.853,112.128,2.6,2.6,2.5
