provincia,anio,precio_suelo_m2,n_trimestres_disponibles
Albacete,2015,79.71,4
Albacete,2016,93.01,4
Albacete,2017,81.66,4
Albacete,2018,78.18,4
Albacete,2019,92.02,4
Albacete,2020,86.43,4
Albacete,2021,94.86,4
Albacete,2022,81.49,4
Albacete,2023,96.91,4
Albacete,2024,99.49,4
Albacete,2025,122.6,4
Alicante/Alacant,2015,149.18,4
Alicante/Alacant,2016,135.71,4
Alicante/Alacant,2017,147.33,4
Alicante/Alacant,2018,154.92,4
Alicante/Alacant,2019,161.34,4
Alicante/Alacant,2020,170.87,4
Alicante/Alacant,2021,165.92,4
Alicante/Alacant,2022,193.18,4
Alicante/Alacant,2023,186.49,4
Alicante/Alacant,2024,210.42,4
Alicante/Alacant,2025,245.0,4
Almería,2015,169.32,4
Almería,2016,151.29,4
Almería,2017,148.96,4
Almería,2018,149.74,4
Almería,2019,150.81,4
Almería,2020,147.62,4
Almería,2021,153.86,4
Almería,2022,154.74,4
Almería,2023,174.59,4
Almería,2024,153.69,4
Almería,2025,198.7,4
Avila,2015,53.41,4
Avila,2016,57.66,4
Avila,2017,53.69,4
Avila,2018,59.05,4
Avila,2019,70.18,4
Avila,2020,53.07,3
Avila,2021,59.3,4
Avila,2022,59.83,4
Avila,2023,66.68,4
Avila,2024,71.78,4
Avila,2025,59.11,4
Badajoz,2015,95.5,4
Badajoz,2016,98.22,4
Badajoz,2017,97.66,4
Badajoz,2018,93.51,4
Badajoz,2019,89.98,4
Badajoz,2020,101.72,4
Badajoz,2021,107.76,4
Badajoz,2022,100.08,4
Badajoz,2023,120.78,4
Badajoz,2024,107.16,4
Badajoz,2025,124.05,4
Barcelona,2015,234.28,4
Barcelona,2016,230.2,4
Barcelona,2017,242.42,4
Barcelona,2018,223.75,4
Barcelona,2019,222.53,4
Barcelona,2020,200.48,4
Barcelona,2021,193.5,4
Barcelona,2022,203.2,4
Barcelona,2023,186.83,4
Barcelona,2024,204.16,4
Barcelona,2025,214.23,4
Burgos,2015,60.04,4
Burgos,2016,49.43,4
Burgos,2017,57.99,4
Burgos,2018,61.47,4
Burgos,2019,73.54,4
Burgos,2020,75.79,4
Burgos,2021,47.34,4
Burgos,2022,62.92,4
Burgos,2023,78.96,4
Burgos,2024,74.11,4
Burgos,2025,74.38,4
Castellón/Castelló,2015,123.0,4
Castellón/Castelló,2016,128.9,4
Castellón/Castelló,2017,136.92,4
Castellón/Castelló,2018,114.78,4
Castellón/Castelló,2019,102.88,4
Castellón/Castelló,2020,121.96,4
Castellón/Castelló,2021,114.32,4
Castellón/Castelló,2022,121.61,4
Castellón/Castelló,2023,136.68,4
Castellón/Castelló,2024,133.38,4
Castellón/Castelló,2025,140.71,4
Ciudad Real,2015,94.43,4
Ciudad Real,2016,111.95,4
Ciudad Real,2017,96.26,4
Ciudad Real,2018,109.82,4
Ciudad Real,2019,106.86,4
Ciudad Real,2020,102.37,4
Ciudad Real,2021,107.66,4
Ciudad Real,2022,120.08,4
Ciudad Real,2023,117.48,4
Ciudad Real,2024,121.86,4
Ciudad Real,2025,128.5,4
Coruña (A),2015,73.38,4
Coruña (A),2016,71.82,4
Coruña (A),2017,88.99,4
Coruña (A),2018,91.29,4
Coruña (A),2019,105.07,4
Coruña (A),2020,109.75,4
Coruña (A),2021,96.16,4
Coruña (A),2022,108.29,4
Coruña (A),2023,102.25,4
Coruña (A),2024,115.96,4
Coruña (A),2025,98.59,4
Cuenca,2015,68.81,4
Cuenca,2016,69.41,4
Cuenca,2017,64.42,4
Cuenca,2018,72.0,4
Cuenca,2019,88.27,4
Cuenca,2020,69.62,4
Cuenca,2021,72.81,4
Cuenca,2022,87.27,4
Cuenca,2023,81.7,4
Cuenca,2024,91.1,4
Cuenca,2025,101.13,4
Cáceres,2015,86.0,4
Cáceres,2016,84.36,4
Cáceres,2017,105.25,4
Cáceres,2018,93.5,4
Cáceres,2019,118.32,4
Cáceres,2020,119.95,4
Cáceres,2021,130.61,4
Cáceres,2022,112.73,4
Cáceres,2023,122.8,4
Cáceres,2024,109.27,4
Cáceres,2025,113.12,4
Cádiz,2015,150.32,4
Cádiz,2016,148.45,4
Cádiz,2017,137.66,4
Cádiz,2018,154.18,4
Cádiz,2019,161.02,4
Cádiz,2020,160.03,4
Cádiz,2021,173.73,4
Cádiz,2022,172.1,4
Cádiz,2023,198.14,4
Cádiz,2024,192.74,4
Cádiz,2025,201.16,4
Córdoba,2015,119.83,4
Córdoba,2016,135.27,4
Córdoba,2017,134.51,4
Córdoba,2018,127.1,4
Córdoba,2019,137.94,4
Córdoba,2020,127.72,4
Córdoba,2021,136.63,4
Córdoba,2022,146.71,4
Córdoba,2023,128.18,4
Córdoba,2024,149.22,4
Córdoba,2025,160.03,4
Girona,2015,141.06,4
Girona,2016,137.9,4
Girona,2017,143.48,4
Girona,2018,141.79,4
Girona,2019,159.16,4
Girona,2020,148.16,4
Girona,2021,155.27,4
Girona,2022,170.82,4
