provincia,anio,trimestre,periodo,precio_suelo_m2
Albacete,2004,1,2004-T1,92.52
Albacete,2004,2,2004-T2,99.92
Albacete,2004,3,2004-T3,106.37
Albacete,2004,4,2004-T4,100.75
Albacete,2005,1,2005-T1,103.52
Albacete,2005,2,2005-T2,140.09
Albacete,2005,3,2005-T3,143.12
Albacete,2005,4,2005-T4,126.56
Albacete,2006,1,2006-T1,142.2
Albacete,2006,2,2006-T2,191.4
Albacete,2006,3,2006-T3,231.78
Albacete,2006,4,2006-T4,181.78
Albacete,2007,1,2007-T1,151.05
Albacete,2007,2,2007-T2,162.83
Albacete,2007,3,2007-T3,145.37
Albacete,2007,4,2007-T4,171.91
Albacete,2008,1,2008-T1,157.53
Albacete,2008,2,2008-T2,148.52
Albacete,2008,3,2008-T3,147.03
Albacete,2008,4,2008-T4,161.55
Albacete,2009,1,2009-T1,150.8
Albacete,2009,2,2009-T2,140.1
Albacete,2009,3,2009-T3,148.61
Albacete,2009,4,2009-T4,144.06
Albacete,2010,1,2010-T1,100.09
Albacete,2010,2,2010-T2,147.86
Albacete,2010,3,2010-T3,120.95
Albacete,2010,4,2010-T4,114.94
Albacete,2011,1,2011-T1,111.31
Albacete,2011,2,2011-T2,127.84
Albacete,2011,3,2011-T3,125.66
Albacete,2011,4,2011-T4,97.63
Albacete,2012,1,2012-T1,144.59
Albacete,2012,2,2012-T2,142.87
Albacete,2012,3,2012-T3,97.8
Albacete,2012,4,2012-T4,101.24
Albacete,2013,1,2013-T1,101.97
Albacete,2013,2,2013-T2,95.93
Albacete,2013,3,2013-T3,82.68
Albacete,2013,4,2013-T4,99.06
Albacete,2014,1,2014-T1,42.73
Albacete,2014,2,2014-T2,80.33
Albacete,2014,3,2014-T3,81.83
Albacete,2014,4,2014-T4,92.0
Albacete,2015,1,2015-T1,88.71
Albacete,2015,2,2015-T2,74.26
Albacete,2015,3,2015-T3,70.96
Albacete,2015,4,2015-T4,84.92
Albacete,2016,1,2016-T1,83.25
Albacete,2016,2,2016-T2,96.18
Albacete,2016,3,2016-T3,80.79
Albacete,2016,4,2016-T4,111.82
Albacete,2017,1,2017-T1,79.81
Albacete,2017,2,2017-T2,78.59
Albacete,2017,3,2017-T3,86.8
Albacete,2017,4,2017-T4,81.45
Albacete,2018,1,2018-T1,80.13
Albacete,2018,2,2018-T2,57.36
Albacete,2018,3,2018-T3,74.46
Albacete,2018,4,2018-T4,100.75
Albacete,2019,1,2019-T1,95.03
Albacete,2019,2,2019-T2,85.92
Albacete,2019,3,2019-T3,94.88
Albacete,2019,4,2019-T4,92.24
Albacete,2020,1,2020-T1,95.4
Albacete,2020,2,2020-T2,64.01
Albacete,2020,3,2020-T3,93.63
Albacete,2020,4,2020-T4,92.67
Albacete,2021,1,2021-T1,71.18
Albacete,2021,2,2021-T2,117.81
Albacete,2021,3,2021-T3,91.34
Albacete,2021,4,2021-T4,99.09
Albacete,2022,1,2022-T1,65.81
Albacete,2022,2,2022-T2,91.69
Albacete,2022,3,2022-T3,84.68
Albacete,2022,4,2022-T4,83.77
Albacete,2023,1,2023-T1,91.48
Albacete,2023,2,2023-T2,108.34
Albacete,2023,3,2023-T3,110.9
Albacete,2023,4,2023-T4,76.93
Albacete,2024,1,2024-T1,94.11
Albacete,2024,2,2024-T2,128.91
Albacete,2024,3,2024-T3,84.08
Albacete,2024,4,2024-T4,90.86
Albacete,2025,1,2025-T1,128.39
Albacete,2025,2,2025-T2,89.15
Albacete,2025,3,2025-T3,156.51
Albacete,2025,4,2025-T4,116.33
Albacete,2026,1,2026-T1,116.01
Alicante/Alacant,2004,1,2004-T1,234.26
Alicante/Alacant,2004,2,2004-T2,274.57
Alicante/Alacant,2004,3,2004-T3,283.85
Alicante/Alacant,2004,4,2004-T4,367.11
Alicante/Alacant,2005,1,2005-T1,419.73
Alicante/Alacant,2005,2,2005-T2,413.07
Alicante/Alacant,2005,3,2005-T3,450.07
Alicante/Alacant,2005,4,2005-T4,472.6
Alicante/Alacant,2006,1,2006-T1,456.45
Alicante/Alacant,2006,2,2006-T2,465.34
Alicante/Alacant,2006,3,2006-T3,458.21
Alicante/Alacant,2006,4,2006-T4,528.13
Alicante/Alacant,2007,1,2007-T1,410.52
Alicante/Alacant,2007,2,2007-T2,378.38
Alicante/Alacant,2007,3,2007-T3,369.03
Alicante/Alacant,2007,4,2007-T4,352.66
Alicante/Alacant,2008,1,2008-T1,317.1
Alicante/Alacant,2008,2,2008-T2,277.42
Alicante/Alacant,2008,3,2008-T3,334.62
Alicante/Alacant,2008,4,2008-T4,291.91
Alicante/Alacant,2009,1,2009-T1,274.5
Alicante/Alacant,2009,2,2009-T2,263.0
Alicante/Alacant,2009,3,2009-T3,268.96
Alicante/Alacant,2009,4,2009-T4,254.86
