provincia,anio,superficie_m2,n_trimestres_disponibles
Albacete,2004,499.6,4
Albacete,2005,414.6,4
Albacete,2006,995.0,4
Albacete,2007,974.20313,4
Albacete,2008,633.76,4
Albacete,2009,156.60000000000002,4
Albacete,2010,129.64,4
Albacete,2011,161.93,4
Albacete,2012,73.28,4
Albacete,2013,71.66,4
Albacete,2014,461.69,4
Albacete,2015,126.46,4
Albacete,2016,210.58999999999997,4
Albacete,2017,191.94,4
Albacete,2018,178.81,4
Albacete,2019,156.16,4
Albacete,2020,124.25,4
Albacete,2021,218.13,4
Albacete,2022,400.06,4
Albacete,2023,90.92,4
Albacete,2024,93.28,4
Albacete,2025,129.4,4
Albacete,2026,236.72,1
Alicante/Alacant,2004,4268.4,4
Alicante/Alacant,2005,2056.1,4
Alicante/Alacant,2006,1586.1999999999998,4
Alicante/Alacant,2007,2711.4678,4
Alicante/Alacant,2008,1336.13,4
Alicante/Alacant,2009,813.32,4
Alicante/Alacant,2010,613.46,4
Alicante/Alacant,2011,767.84,4
Alicante/Alacant,2012,974.27,4
Alicante/Alacant,2013,668.13,4
Alicante/Alacant,2014,1006.78,4
Alicante/Alacant,2015,1487.7,4
Alicante/Alacant,2016,1217.25,4
Alicante/Alacant,2017,1384.3899999999999,4
Alicante/Alacant,2018,1498.6699999999998,4
Alicante/Alacant,2019,1326.4,4
Alicante/Alacant,2020,867.39,4
Alicante/Alacant,2021,893.29,4
Alicante/Alacant,2022,915.9200000000001,4
Alicante/Alacant,2023,1705.5500000000002,4
Alicante/Alacant,2024,805.27,4
Alicante/Alacant,2025,1578.2,4
Alicante/Alacant,2026,380.15,1
Almería,2004,2406.5,4
Almería,2005,1985.5,4
Almería,2006,949.8,4
Almería,2007,730.8326999999999,4
Almería,2008,633.23,4
Almería,2009,644.75,4
Almería,2010,305.28,4
Almería,2011,272.28,4
Almería,2012,212.71,4
Almería,2013,240.99,4
Almería,2014,211.78,4
Almería,2015,269.59,4
Almería,2016,258.18,4
Almería,2017,382.43,4
Almería,2018,347.95000000000005,4
Almería,2019,414.65999999999997,4
Almería,2020,194.57,4
Almería,2021,391.71,4
Almería,2022,407.94,4
Almería,2023,431.47,4
Almería,2024,845.13,4
Almería,2025,474.99,4
Almería,2026,92.5,1
Avila,2004,633.2,4
Avila,2005,1148.0,4
Avila,2006,297.7,4
Avila,2007,305.13939,4
Avila,2008,342.0,4
Avila,2009,167.51999999999998,4
Avila,2010,153.79,4
Avila,2011,138.26,4
Avila,2012,83.2,4
Avila,2013,150.71,4
Avila,2014,45.22,4
Avila,2015,32.24,4
Avila,2016,62.69,4
Avila,2017,75.21000000000001,4
Avila,2018,48.17,4
Avila,2019,26.380000000000003,4
Avila,2020,48.510000000000005,4
Avila,2021,92.34,4
Avila,2022,144.82,4
Avila,2023,100.83,4
Avila,2024,89.15,4
Avila,2025,547.12,4
Avila,2026,42.33,1
Badajoz,2004,1181.8000000000002,4
Badajoz,2005,1103.3,4
Badajoz,2006,831.3,4
Badajoz,2007,730.92767,4
Badajoz,2008,853.0699999999999,4
Badajoz,2009,772.38,4
Badajoz,2010,369.77,4
Badajoz,2011,733.43,4
Badajoz,2012,240.33,4
Badajoz,2013,190.96,4
Badajoz,2014,310.3,4
Badajoz,2015,275.67,4
Badajoz,2016,242.24,4
Badajoz,2017,322.91999999999996,4
Badajoz,2018,247.07,4
Badajoz,2019,247.3,4
Badajoz,2020,235.6,4
Badajoz,2021,429.84999999999997,4
Badajoz,2022,358.82000000000005,4
Badajoz,2023,285.98,4
Badajoz,2024,301.38,4
Badajoz,2025,294.89,4
Badajoz,2026,88.06,1
Barcelona,2004,14177.5,4
Barcelona,2005,12183.7,4
Barcelona,2006,8470.8,4
Barcelona,2007,7517.23784,4
Barcelona,2008,5279.13,4
Barcelona,2009,2213.08,4
Barcelona,2010,1644.95,4
Barcelona,2011,2895.05,4
Barcelona,2012,2137.31,4
Barcelona,2013,2344.69,4
Barcelona,2014,2918.2200000000003,4
Barcelona,2015,1913.05,4
Barcelona,2016,2520.8,4
Barcelona,2017,2961.9700000000003,4
Barcelona,2018,3009.66,4
Barcelona,2019,1938.58,4
