provincia,anio,trimestre,periodo,numero_transacciones
Albacete,2004,1,2004-T1,174.0
Albacete,2004,2,2004-T2,236.0
Albacete,2004,3,2004-T3,143.0
Albacete,2004,4,2004-T4,176.0
Albacete,2005,1,2005-T1,177.0
Albacete,2005,2,2005-T2,185.0
Albacete,2005,3,2005-T3,115.0
Albacete,2005,4,2005-T4,69.0
Albacete,2006,1,2006-T1,171.0
Albacete,2006,2,2006-T2,113.0
Albacete,2006,3,2006-T3,107.0
Albacete,2006,4,2006-T4,198.0
Albacete,2007,1,2007-T1,161.0
Albacete,2007,2,2007-T2,94.0
Albacete,2007,3,2007-T3,83.0
Albacete,2007,4,2007-T4,115.0
Albacete,2008,1,2008-T1,91.0
Albacete,2008,2,2008-T2,82.0
Albacete,2008,3,2008-T3,85.0
Albacete,2008,4,2008-T4,77.0
Albacete,2009,1,2009-T1,65.0
Albacete,2009,2,2009-T2,76.0
Albacete,2009,3,2009-T3,55.0
Albacete,2009,4,2009-T4,54.0
Albacete,2010,1,2010-T1,39.0
Albacete,2010,2,2010-T2,77.0
Albacete,2010,3,2010-T3,34.0
Albacete,2010,4,2010-T4,51.0
Albacete,2011,1,2011-T1,42.0
Albacete,2011,2,2011-T2,39.0
Albacete,2011,3,2011-T3,53.0
Albacete,2011,4,2011-T4,49.0
Albacete,2012,1,2012-T1,35.0
Albacete,2012,2,2012-T2,33.0
Albacete,2012,3,2012-T3,30.0
Albacete,2012,4,2012-T4,34.0
Albacete,2013,1,2013-T1,37.0
Albacete,2013,2,2013-T2,24.0
Albacete,2013,3,2013-T3,33.0
Albacete,2013,4,2013-T4,34.0
Albacete,2014,1,2014-T1,132.0
Albacete,2014,2,2014-T2,32.0
Albacete,2014,3,2014-T3,28.0
Albacete,2014,4,2014-T4,28.0
Albacete,2015,1,2015-T1,33.0
Albacete,2015,2,2015-T2,25.0
Albacete,2015,3,2015-T3,44.0
Albacete,2015,4,2015-T4,24.0
Albacete,2016,1,2016-T1,29.0
Albacete,2016,2,2016-T2,24.0
Albacete,2016,3,2016-T3,34.0
Albacete,2016,4,2016-T4,24.0
Albacete,2017,1,2017-T1,35.0
Albacete,2017,2,2017-T2,39.0
Albacete,2017,3,2017-T3,34.0
Albacete,2017,4,2017-T4,55.0
Albacete,2018,1,2018-T1,25.0
Albacete,2018,2,2018-T2,67.0
Albacete,2018,3,2018-T3,28.0
Albacete,2018,4,2018-T4,30.0
Albacete,2019,1,2019-T1,32.0
Albacete,2019,2,2019-T2,42.0
Albacete,2019,3,2019-T3,43.0
Albacete,2019,4,2019-T4,30.0
Albacete,2020,1,2020-T1,10.0
Albacete,2020,2,2020-T2,18.0
Albacete,2020,3,2020-T3,34.0
Albacete,2020,4,2020-T4,51.0
Albacete,2021,1,2021-T1,40.0
