codigo_provincia,provincia,anio,valor_tasado_m2,valor_tasado_variacion_pct
01,Araba/Álava,1995,860.8,
01,Araba/Álava,1996,923.72,7.309
01,Araba/Álava,1997,1013.65,9.736
01,Araba/Álava,1998,1151.88,13.637
01,Araba/Álava,1999,1392.32,20.874
01,Araba/Álava,2000,1475.25,5.956
01,Araba/Álava,2001,1653.38,12.075
01,Araba/Álava,2002,1833.9,10.918
01,Araba/Álava,2003,1978.55,7.888
01,Araba/Álava,2004,2210.2,11.708
01,Araba/Álava,2005,2387.93,8.041
01,Araba/Álava,2006,2517.3,5.418
01,Araba/Álava,2007,2516.68,-0.025
01,Araba/Álava,2008,2467.57,-1.951
01,Araba/Álava,2009,2305.9,-6.552
01,Araba/Álava,2010,2259.28,-2.022
01,Araba/Álava,2011,2201.95,-2.538
01,Araba/Álava,2012,2202.75,0.036
01,Araba/Álava,2013,2083.35,-5.42
01,Araba/Álava,2014,1992.95,-4.339
01,Araba/Álava,2015,1976.25,-0.838
01,Araba/Álava,2016,1903.35,-3.689
01,Araba/Álava,2017,1921.82,0.97
01,Araba/Álava,2018,1914.28,-0.392
01,Araba/Álava,2019,1959.55,2.365
01,Araba/Álava,2020,1946.1,-0.686
01,Araba/Álava,2021,2009.8,3.273
01,Araba/Álava,2022,2028.9,0.95
01,Araba/Álava,2023,2087.38,2.882
01,Araba/Álava,2024,2133.07,2.189
01,Araba/Álava,2025,2336.18,9.522
02,Albacete,1995,438.95,
02,Albacete,1996,446.02,1.611
02,Albacete,1997,464.58,4.161
02,Albacete,1998,487.72,4.981
02,Albacete,1999,530.05,8.679
02,Albacete,2000,563.6,6.33
02,Albacete,2001,636.17,12.876
02,Albacete,2002,728.68,14.542
02,Albacete,2003,792.75,8.793
02,Albacete,2004,905.15,14.178
02,Albacete,2005,1160.18,28.175
02,Albacete,2006,1265.97,9.118
02,Albacete,2007,1343.2,6.1
02,Albacete,2008,1333.2,-0.744
02,Albacete,2009,1179.18,-11.553
02,Albacete,2010,1225.35,3.915
02,Albacete,2011,1177.68,-3.89
02,Albacete,2012,1093.25,-7.169
02,Albacete,2013,984.1,-9.984
02,Albacete,2014,934.62,-5.028
02,Albacete,2015,958.95,2.603
02,Albacete,2016,940.12,-1.964
02,Albacete,2017,926.38,-1.462
02,Albacete,2018,915.3,-1.196
02,Albacete,2019,927.02,1.28
02,Albacete,2020,899.58,-2.96
02,Albacete,2021,909.78,1.134
02,Albacete,2022,930.8,2.31
02,Albacete,2023,967.7,3.964
02,Albacete,2024,1011.05,4.48
02,Albacete,2025,1102.18,9.013
03,Alicante/Alacant,1995,475.88,
03,Alicante/Alacant,1996,492.3,3.45
03,Alicante/Alacant,1997,512.12,4.026
03,Alicante/Alacant,1998,565.17,10.359
03,Alicante/Alacant,1999,642.92,13.757
03,Alicante/Alacant,2000,742.78,15.532
03,Alicante/Alacant,2001,863.5,16.252
03,Alicante/Alacant,2002,1026.85,18.917
03,Alicante/Alacant,2003,1202.55,17.111
03,Alicante/Alacant,2004,1372.95,14.17
03,Alicante/Alacant,2005,1581.0,15.154
03,Alicante/Alacant,2006,1691.45,6.986
03,Alicante/Alacant,2007,1736.3,2.652
03,Alicante/Alacant,2008,1722.08,-0.819
03,Alicante/Alacant,2009,1544.08,-10.336
03,Alicante/Alacant,2010,1440.25,-6.724
03,Alicante/Alacant,2011,1374.25,-4.583
03,Alicante/Alacant,2012,1262.78,-8.111
03,Alicante/Alacant,2013,1215.62,-3.735
03,Alicante/Alacant,2014,1207.78,-0.645
03,Alicante/Alacant,2015,1229.53,1.801
03,Alicante/Alacant,2016,1231.7,0.176
03,Alicante/Alacant,2017,1243.3,0.942
03,Alicante/Alacant,2018,1272.08,2.315
03,Alicante/Alacant,2019,1312.18,3.152
03,Alicante/Alacant,2020,1282.8,-2.239
03,Alicante/Alacant,2021,1334.0,3.991
03,Alicante/Alacant,2022,1406.52,5.436
03,Alicante/Alacant,2023,1488.22,5.809
03,Alicante/Alacant,2024,1596.35,7.266
03,Alicante/Alacant,2025,1806.4,13.158
04,Almería,1995,433.8,
04,Almería,1996,460.5,6.155
04,Almería,1997,487.52,5.868
04,Almería,1998,524.1,7.503
04,Almería,1999,556.85,6.249
04,Almería,2000,636.35,14.277
04,Almería,2001,729.85,14.693
04,Almería,2002,857.7,17.517
04,Almería,2003,972.85,13.425
04,Almería,2004,1153.18,18.536
04,Almería,2005,1356.22,17.607
04,Almería,2006,1514.12,11.643
04,Almería,2007,1620.02,6.994
04,Almería,2008,1674.08,3.337
04,Almería,2009,1531.62,-8.51
04,Almería,2010,1467.9,-4.16
04,Almería,2011,1375.15,-6.319
04,Almería,2012,1203.28,-12.498
04,Almería,2013,1161.95,-3.435
04,Almería,2014,1106.6,-4.764
04,Almería,2015,1089.03,-1.588
04,Almería,2016,1094.92,0.541
04,Almería,2017,1092.12,-0.256
04,Almería,2018,1090.62,-0.137
04,Almería,2019,1122.6,2.932
04,Almería,2020,1103.9,-1.666
04,Almería,2021,1128.68,2.245
04,Almería,2022,1154.92,2.325
04,Almería,2023,1183.32,2.459
04,Almería,2024,1243.65,5.098
04,Almería,2025,1342.48,7.947
05,Ávila,1995,593.67,
05,Ávila,1996,596.22,0.43
05,Ávila,1997,604.22,1.342
05,Ávila,1998,615.6,1.883
05,Ávila,1999,639.2,3.834
05,Ávila,2000,691.58,8.195
05,Ávila,2001,721.82,4.373
05,Ávila,2002,772.85,7.07
05,Ávila,2003,858.25,11.05
05,Ávila,2004,1036.53,20.773
05,Ávila,2005,1150.0,10.947
05,Ávila,2006,1314.95,14.343
05,Ávila,2007,1410.05,7.232
05,Ávila,2008,1410.9,0.06
05,Ávila,2009,1267.55,-10.16
05,Ávila,2010,1235.65,-2.517
05,Ávila,2011,1163.62,-5.829
05,Ávila,2012,1127.6,-3.096
05,Ávila,2013,935.65,-17.023
05,Ávila,2014,864.0,-7.658
05,Ávila,2015,839.6,-2.824
05,Ávila,2016,856.53,2.016
05,Ávila,2017,833.45,-2.695
05,Ávila,2018,832.62,-0.1
05,Ávila,2019,815.98,-1.999
05,Ávila,2020,807.75,-1.009
05,Ávila,2021,824.42,2.064
05,Ávila,2022,862.0,4.558
05,Ávila,2023,875.6,1.578
05,Ávila,2024,939.38,7.284
05,Ávila,2025,1040.9,10.807
06,Badajoz,1995,388.72,
06,Badajoz,1996,404.78,4.132
06,Badajoz,1997,399.8,-1.23
06,Badajoz,1998,415.85,4.015
06,Badajoz,1999,446.45,7.358
06,Badajoz,2000,483.4,8.276
06,Badajoz,2001,526.72,8.962
06,Badajoz,2002,579.72,10.062
06,Badajoz,2003,647.7,11.726
06,Badajoz,2004,740.28,14.294
06,Badajoz,2005,846.62,14.365
06,Badajoz,2006,936.82,10.654
06,Badajoz,2007,1031.15,10.069
06,Badajoz,2008,1050.18,1.846
06,Badajoz,2009,1034.62,-1.482
06,Badajoz,2010,1017.1,-1.693
06,Badajoz,2011,962.62,-5.356
06,Badajoz,2012,888.5,-7.7
06,Badajoz,2013,885.85,-0.298
06,Badajoz,2014,854.7,-3.516
06,Badajoz,2015,879.98,2.958
06,Badajoz,2016,874.15,-0.663
06,Badajoz,2017,858.92,-1.742
06,Badajoz,2018,865.85,0.807
06,Badajoz,2019,864.6,-0.144
06,Badajoz,2020,861.4,-0.37
06,Badajoz,2021,859.78,-0.188
06,Badajoz,2022,888.8,3.375
06,Badajoz,2023,900.8,1.35
06,Badajoz,2024,924.78,2.662
06,Badajoz,2025,948.05,2.516
07,"Balears, Illes",1995,592.1,
07,"Balears, Illes",1996,603.45,1.917
07,"Balears, Illes",1997,642.65,6.496
07,"Balears, Illes",1998,748.52,16.474
