codigo_provincia,provincia,anio,valor_tasado_m2,valor_tasado_variacion_pct
01,Araba/Álava,2015,1976.25,-0.838
01,Araba/Álava,2016,1903.35,-3.689
01,Araba/Álava,2017,1921.82,0.97
01,Araba/Álava,2018,1914.28,-0.392
01,Araba/Álava,2019,1959.55,2.365
01,Araba/Álava,2020,1946.1,-0.686
01,Araba/Álava,2021,2009.8,3.273
01,Araba/Álava,2022,2028.9,0.95
01,Araba/Álava,2023,2087.38,2.882
01,Araba/Álava,2024,2133.07,2.189
01,Araba/Álava,2025,2336.18,9.522
02,Albacete,2015,958.95,2.603
02,Albacete,2016,940.12,-1.964
02,Albacete,2017,926.38,-1.462
02,Albacete,2018,915.3,-1.196
02,Albacete,2019,927.02,1.28
02,Albacete,2020,899.58,-2.96
02,Albacete,2021,909.78,1.134
02,Albacete,2022,930.8,2.31
02,Albacete,2023,967.7,3.964
02,Albacete,2024,1011.05,4.48
02,Albacete,2025,1102.18,9.013
03,Alicante/Alacant,2015,1229.53,1.801
03,Alicante/Alacant,2016,1231.7,0.176
03,Alicante/Alacant,2017,1243.3,0.942
03,Alicante/Alacant,2018,1272.08,2.315
03,Alicante/Alacant,2019,1312.18,3.152
03,Alicante/Alacant,2020,1282.8,-2.239
03,Alicante/Alacant,2021,1334.0,3.991
03,Alicante/Alacant,2022,1406.52,5.436
03,Alicante/Alacant,2023,1488.22,5.809
03,Alicante/Alacant,2024,1596.35,7.266
03,Alicante/Alacant,2025,1806.4,13.158
04,Almería,2015,1089.03,-1.588
04,Almería,2016,1094.92,0.541
04,Almería,2017,1092.12,-0.256
04,Almería,2018,1090.62,-0.137
04,Almería,2019,1122.6,2.932
04,Almería,2020,1103.9,-1.666
04,Almería,2021,1128.68,2.245
04,Almería,2022,1154.92,2.325
04,Almería,2023,1183.32,2.459
04,Almería,2024,1243.65,5.098
04,Almería,2025,1342.48,7.947
05,Ávila,2015,839.6,-2.824
05,Ávila,2016,856.53,2.016
05,Ávila,2017,833.45,-2.695
05,Ávila,2018,832.62,-0.1
05,Ávila,2019,815.98,-1.999
05,Ávila,2020,807.75,-1.009
05,Ávila,2021,824.42,2.064
05,Ávila,2022,862.0,4.558
05,Ávila,2023,875.6,1.578
05,Ávila,2024,939.38,7.284
05,Ávila,2025,1040.9,10.807
06,Badajoz,2015,879.98,2.958
06,Badajoz,2016,874.15,-0.663
06,Badajoz,2017,858.92,-1.742
06,Badajoz,2018,865.85,0.807
06,Badajoz,2019,864.6,-0.144
06,Badajoz,2020,861.4,-0.37
06,Badajoz,2021,859.78,-0.188
06,Badajoz,2022,888.8,3.375
