provincia,anio,valor_transacciones_miles_euros,n_trimestres_disponibles
Albacete,2015,5580.469999999999,4
Albacete,2016,10629.11,4
Albacete,2017,8262.64,4
Albacete,2018,8515.36,4
Albacete,2019,12429.22,4
Albacete,2020,9358.34,4
Albacete,2021,12224.02,4
Albacete,2022,11876.779999999999,4
Albacete,2023,6119.759999999999,4
Albacete,2024,7433.37,4
Albacete,2025,9625.17,4
Alicante/Alacant,2015,102360.36,4
Alicante/Alacant,2016,124218.43,4
Alicante/Alacant,2017,151084.89,4
Alicante/Alacant,2018,154191.11000000002,4
Alicante/Alacant,2019,131325.75,4
Alicante/Alacant,2020,90617.45999999999,4
Alicante/Alacant,2021,123562.91,4
Alicante/Alacant,2022,169698.46,4
Alicante/Alacant,2023,145144.59,4
Alicante/Alacant,2024,147233.6,4
Alicante/Alacant,2025,262553.05,4
Almería,2015,31775.05,4
Almería,2016,24485.06,4
Almería,2017,27118.1,4
Almería,2018,33331.28,4
Almería,2019,31785.0,4
Almería,2020,16333.51,4
Almería,2021,38068.91,4
Almería,2022,56765.18,4
Almería,2023,53909.54000000001,4
Almería,2024,52325.69,4
Almería,2025,77278.84,4
Avila,2015,1969.0800000000002,4
Avila,2016,4091.21,4
Avila,2017,2728.19,4
Avila,2018,2253.51,4
Avila,2019,1726.5900000000001,4
Avila,2020,1701.46,4
Avila,2021,4400.65,4
Avila,2022,4568.4,4
Avila,2023,4527.200000000001,4
Avila,2024,4861.38,4
Avila,2025,29629.07,4
Badajoz,2015,15233.67,4
Badajoz,2016,19430.02,4
Badajoz,2017,26415.65,4
Badajoz,2018,17633.0,4
Badajoz,2019,15355.79,4
Badajoz,2020,18753.67,4
Badajoz,2021,33679.6,4
Badajoz,2022,26614.66,4
Badajoz,2023,36460.79,4
Badajoz,2024,29265.52,4
Badajoz,2025,36295.37,4
Barcelona,2015,259114.3,4
Barcelona,2016,319672.52,4
Barcelona,2017,452462.48000000004,4
Barcelona,2018,442406.2,4
Barcelona,2019,299165.02,4
Barcelona,2020,291663.62,4
Barcelona,2021,593322.76,4
Barcelona,2022,453211.58,4
Barcelona,2023,375682.88,4
Barcelona,2024,350709.71,4
Barcelona,2025,487286.13,4
Burgos,2015,28441.27,4
Burgos,2016,12235.02,4
Burgos,2017,17857.1,4
Burgos,2018,43401.81,4
Burgos,2019,7276.34,4
Burgos,2020,11154.98,4
Burgos,2021,21317.11,4
Burgos,2022,21286.14,4
Burgos,2023,24536.489999999998,4
Burgos,2024,18839.67,4
Burgos,2025,27829.9,4
Castellón/Castelló,2015,15549.92,4
Castellón/Castelló,2016,29096.8,4
Castellón/Castelló,2017,21291.2,4
Castellón/Castelló,2018,30409.5,4
Castellón/Castelló,2019,11222.5,4
Castellón/Castelló,2020,53348.47,4
Castellón/Castelló,2021,42348.07,4
Castellón/Castelló,2022,39306.55,4
Castellón/Castelló,2023,28496.260000000002,4
Castellón/Castelló,2024,47623.020000000004,4
Castellón/Castelló,2025,48939.11,4
Ceuta,2015,721.74,4
Ceuta,2016,186.0,4
Ceuta,2017,454.27,4
Ceuta,2018,208.0,4
Ceuta,2019,0.0,4
Ceuta,2020,200.0,4
Ceuta,2021,1902.89,4
Ceuta,2022,92.0,4
Ceuta,2023,40.0,4
Ceuta,2024,40.0,4
Ceuta,2025,750.0,4
Ciudad Real,2015,18234.42,4
Ciudad Real,2016,17663.34,4
Ciudad Real,2017,20305.86,4
Ciudad Real,2018,18980.32,4
Ciudad Real,2019,16277.119999999999,4
Ciudad Real,2020,13296.23,4
Ciudad Real,2021,24417.48,4
Ciudad Real,2022,22353.989999999998,4
Ciudad Real,2023,17991.4,4
Ciudad Real,2024,20896.67,4
Ciudad Real,2025,29523.03,4
Coruña (A),2015,14458.52,4
Coruña (A),2016,6056.09,4
Coruña (A),2017,14311.65,4
Coruña (A),2018,23295.73,4
Coruña (A),2019,19636.8,4
Coruña (A),2020,13439.779999999999,4
Coruña (A),2021,28761.25,4
Coruña (A),2022,23265.24,4
Coruña (A),2023,16935.670000000002,4
Coruña (A),2024,20901.37,4
Coruña (A),2025,25014.15,4
Cuenca,2015,4585.14,4
Cuenca,2016,4096.9400000000005,4
Cuenca,2017,3463.89,4
Cuenca,2018,3065.75,4
Cuenca,2019,9910.49,4
Cuenca,2020,5402.01,4
Cuenca,2021,7941.76,4
Cuenca,2022,10808.39,4
Cuenca,2023,6899.66,4
Cuenca,2024,5217.099999999999,4
Cuenca,2025,10813.57,4
Cáceres,2015,11895.09,4
Cáceres,2016,13676.89,4
Cáceres,2017,8656.27,4
Cáceres,2018,9918.72,4
Cáceres,2019,18513.879999999997,4
Cáceres,2020,7816.24,4
Cáceres,2021,17126.45,4
Cáceres,2022,11813.23,4
Cáceres,2023,14585.369999999999,4
Cáceres,2024,12687.71,4
Cáceres,2025,15288.3,4
Cádiz,2015,38988.479999999996,4
Cádiz,2016,46868.45,4
Cádiz,2017,70398.0,4
Cádiz,2018,116670.56999999999,4
Cádiz,2019,53479.94,4
Cádiz,2020,55876.119999999995,4
Cádiz,2021,113303.2,4
Cádiz,2022,72802.05,4
Cádiz,2023,90085.75,4
Cádiz,2024,121777.51,4
Cádiz,2025,94434.29,4
Córdoba,2015,18203.95,4
Córdoba,2016,43483.6,4
Córdoba,2017,35688.96,4
Córdoba,2018,38449.08,4
Córdoba,2019,44258.12,4
Córdoba,2020,24501.98,4
Córdoba,2021,53316.34,4
Córdoba,2022,40384.5,4
Córdoba,2023,26401.18,4
Córdoba,2024,25973.99,4
Córdoba,2025,34715.21,4
Girona,2015,83471.51,4
Girona,2016,97327.12,4
Girona,2017,139983.03999999998,4
Girona,2018,120949.44,4
Girona,2019,111031.67,4
Girona,2020,92320.66,4
Girona,2021,174843.09,4
Girona,2022,189599.25,4
Girona,2023,152146.72,4
Girona,2024,152664.56,4
Girona,2025,203557.62,4
Granada,2015,48340.549999999996,4
Granada,2016,21790.82,4
Granada,2017,75392.94,4
Granada,2018,49392.43,4
Granada,2019,52190.33,4
Granada,2020,38174.380000000005,4
Granada,2021,70211.72,4
Granada,2022,60832.06,4
Granada,2023,53710.56,4
Granada,2024,58077.22,4
Granada,2025,64867.09,4
Guadalajara,2015,44293.79,4
Guadalajara,2016,35988.09,4
Guadalajara,2017,55428.979999999996,4
Guadalajara,2018,152076.36,4
Guadalajara,2019,21182.45,4
Guadalajara,2020,18884.550000000003,4
Guadalajara,2021,62482.41,4
Guadalajara,2022,85886.37,4
Guadalajara,2023,63018.340000000004,4
Guadalajara,2024,32838.4,4
Guadalajara,2025,123410.65,4
Guipúzcoa,2015,32737.7,4
Guipúzcoa,2016,23395.43,4
Guipúzcoa,2017,21751.07,4
Guipúzcoa,2018,23991.23,4
Guipúzcoa,2019,32575.8,4
Guipúzcoa,2020,38151.14,4
Guipúzcoa,2021,24341.44,4
Guipúzcoa,2022,44843.100000000006,4
Guipúzcoa,2023,19184.25,4
Guipúzcoa,2024,20036.71,4
Guipúzcoa,2025,22063.559999999998,4
Huelva,2015,42391.560000000005,4
Huelva,2016,10039.5,4
Huelva,2017,19106.53,4
Huelva,2018,13217.32,4
Huelva,2019,17394.75,4
Huelva,2020,11713.48,4
Huelva,2021,20915.77,4
Huelva,2022,19720.36,4
Huelva,2023,16476.36,4
Huelva,2024,27572.649999999998,4
Huelva,2025,34698.66,4
Huesca,2015,7562.52,4
Huesca,2016,7270.389999999999,4
Huesca,2017,9609.93,4
Huesca,2018,13143.66,4
Huesca,2019,7492.04,4
Huesca,2020,6929.03,4
Huesca,2021,18392.34,4
Huesca,2022,16442.66,4
Huesca,2023,17730.76,4
Huesca,2024,9193.82,4
Huesca,2025,16244.51,4
Jaén,2015,18138.89,4
Jaén,2016,14843.900000000001,4
Jaén,2017,21116.690000000002,4
Jaén,2018,18858.07,4
Jaén,2019,14079.37,4
Jaén,2020,12140.05,4
Jaén,2021,25677.57,4
Jaén,2022,26834.129999999997,4
Jaén,2023,22898.13,4
Jaén,2024,12429.87,4
Jaén,2025,15366.869999999999,4
León,2015,6625.54,4
León,2016,7546.94,4
León,2017,11256.59,4
León,2018,11196.560000000001,4
León,2019,24807.21,4
León,2020,10753.66,4
León,2021,13563.01,4
León,2022,7518.37,4
León,2023,10879.39,4
